TextId,CISI,Site,Type,ReadingTokens,AbstractSigns,SemanticFrame,ControlledSentenceGloss,StructuralParse,SlotFillers,ReconstructionConfidence,PhoneticReadiness,PhoneticTest
2851.1,M-355,Mohenjo-daro,SEAL:R,140-919-520-360-861-002-235-231-705-033-032-877-740,M07-R145-T02-R126-C02-A01-M01-R21-A13-A11-A07-R81-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_520)[140-919] | 520:TERMINAL_TITLE_OR_SUFFIX | 360:SIGN | NAME_LIKE_BLOCK[861-002-235] | 231:SIGN | 705:SLOT_INITIAL_MODIFIER | 033:SLOT_FINAL_MODIFIER | 032:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(032_740)[877] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|520:140-919@1-2; 032|740:877@12-12,0.77,High,"compare all artifacts in frames 032|740, <START>|520; inspect minimal alternation(s) involving 877"
3485.1,M-1114,Mohenjo-daro,SEAL:S,920-060-741-002-140-740,M04-A06-A03-A01-M07-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_741)[920-060] | 741:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[140] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|741:920-060@1-2; 002|740:140@5-5,0.75,High,"compare all artifacts in frames 002|740, <START>|741; test reused filler(s) 140, 920-060 across frames; inspect minimal alternation(s) involving 140"
4232.1,-,Dholavira,SEAL:S,235-520,M01-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520],<START>|520:235@1-1; 235|<END>:520@2-2,0.74,High,"compare all artifacts in frames 235|<END>, <START>|520; test reused filler(s) 235, 520 across frames; inspect minimal alternation(s) involving 235, 520"
5421.1,-,Kanmer,SEAL:S,031-520,M03-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520],<START>|520:031@1-1; 031|<END>:520@2-2,0.74,High,"compare all artifacts in frames 031|<END>, <START>|520; test reused filler(s) 031, 520 across frames; inspect minimal alternation(s) involving 031, 520"
1189.1,H-148,Harappa,SEAL:R,235-240-520,M01-A02-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-520],<START>|240:235@1-1; 235|<END>:240-520@2-3,0.74,High,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235, 240-520 across frames; inspect minimal alternation(s) involving 235, 240-520"
1430.1,H-440,Harappa,SEAL:S,031-240-740-090,M03-A02-T01-A10,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[031] | PRODUCTIVE_SLOT(031_<END>)[240-740-090],<START>|240:031@1-1; 031|<END>:240-740-090@2-4,0.74,High,"compare all artifacts in frames 031|<END>, <START>|240; test reused filler(s) 031, 240-740-090 across frames; inspect minimal alternation(s) involving 031, 240-740-090"
2013.1,L-41,Lothal,SEAL:S,817-002-233-740-090,C03-A01-A04-T01-A10,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233] | PRODUCTIVE_SLOT(233_<END>)[740-090],<START>|233:817-002@1-2; 002|740:233@3-3; 233|<END>:740-090@4-5,0.74,High,"compare all artifacts in frames 002|740, 233|<END>, <START>|233; test reused filler(s) 233, 817-002 across frames; inspect minimal alternation(s) involving 233, 740-090, 817-002"
3122.1,M-686,Mohenjo-daro,SEAL,806-235-520,M06-M01-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[806-235] | PRODUCTIVE_SLOT(235_<END>)[520],<START>|520:806-235@1-2; 235|<END>:520@3-3,0.74,High,"compare all artifacts in frames 235|<END>, <START>|520; test reused filler(s) 520 across frames; inspect minimal alternation(s) involving 520, 806-235"
3134.1,M-708,Mohenjo-daro,SEAL:S,140-390-002-061-740,M07-M02-A01-R29-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[061] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|390:140@1-1; 002|740:061@4-4,0.74,High,"compare all artifacts in frames 002|740, <START>|390; test reused filler(s) 140 across frames; inspect minimal alternation(s) involving 061, 140"
5269.1,Rhd-1,Rahman-deri,SEAL,031-520,M03-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520],<START>|520:031@1-1; 031|<END>:520@2-2,0.74,High,"compare all artifacts in frames 031|<END>, <START>|520; test reused filler(s) 031, 520 across frames; inspect minimal alternation(s) involving 031, 520"
71.1,C-53,Chanhu-daro,SEAL:S,861-002-235-222-740-031-032,C02-A01-M01-R31-T01-M03-A07,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],002|740:235-222@3-4; 031|<END>:032@7-7,0.71,High,"compare all artifacts in frames 002|740, 031|<END>; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
74.1,C-58,Chanhu-daro,SEAL:S,861-002-235-222-740-031-032,C02-A01-M01-R31-T01-M03-A07,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],002|740:235-222@3-4; 031|<END>:032@7-7,0.71,High,"compare all artifacts in frames 002|740, 031|<END>; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
70.1,C-70,Chanhu-daro,SEAL:S,235-240-740-151-031-032,M01-A02-T01-T05-M03-A07,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-151-031-032],<START>|240:235@1-1; 235|<END>:240-740-151-031-032@2-6,0.71,High,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
