"Sign","Id","Cisi","Site","Region","Type","Complete","Direction","Position","TextLength","PositionClass","PreviousSign","NextSign","ReadingOrderText","SourceText","ArtifactReviewStatus","ReviewQuestion"
"705","117.1","C-35","Chanhu-daro","Lower Indus","TAB:B","?","-","2","3","Medial","167","031","167-705-031","+031-705-167[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4276.1","-","Dholavira","Gujarat/Kutch","SEAL:R","?","R/L","1","3","Initial","","090","705-090-705","]705-090-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4276.1","-","Dholavira","Gujarat/Kutch","SEAL:R","?","R/L","3","3","Terminal","090","","705-090-705","]705-090-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4210.1","-","Dholavira","Gujarat/Kutch","SEAL:S","?","R/L","3","5","Medial","235","033","803-235-705-033-520","+520-033-705-235-803[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","171.1","H-1502","Harappa","Inter-Riverine","MISC","?","-","1","2","Initial","","035","705-035","]035-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","336.1","-","Harappa","Inter-Riverine","POT:T:g","?","NR","1","1","Initial","","","705","]705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1502.1","H-531","Harappa","Inter-Riverine","SEAL:S","?","R/L","1","4","Initial","","033","705-033-520-482","]482-520-033-705[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1661.1","H-769","Harappa","Inter-Riverine","TAB:B","?","R/L","4","4","Terminal","233","","803-235-233-705","]705-233-235-803+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1761.1","H-878","Harappa","Inter-Riverine","TAB:B","?","R/L","2","2","Terminal","692","","692-705","]705-692[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","412.1","H-2014","Harappa","Inter-Riverine","TAB:B","?","L/R","2","3","Medial","235","033","235-705-033","+033-705-235[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1768.1","H-885","Harappa","Inter-Riverine","TAB:I","?","L/R","1","2","Initial","","400","705-400","]400-705[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","734.2","H-2157","Harappa","Inter-Riverine","TAB:I","?","-","1","1","Initial","","","705","+705[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2919.1","H-2584","Harappa","Inter-Riverine","TAG:R","?","R/L","1","6","Initial","","033","705-033-095-520-468-806","]806-468-520-095-033-705[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2107.1","L-183","Lothal","Gujarat/Kutch","TAG","?","-","2","3","Medial","002","717","002-705-717","]717-705-002[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2200.1","M-2003","Mohenjo-daro","Lower Indus","POT:T:s","?","R/L","1","4","Initial","","820","705-820-831-740","]740-831-820-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2211.1","-","Mohenjo-daro","Lower Indus","SEAL","?","R/L","1","2","Initial","","140","705-140","+140-705[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2326.1","M-1967","Mohenjo-daro","Lower Indus","SEAL:R","?","R/L","3","5","Medial","002","033","585-002-705-033-520","+520-033-705-002-585[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3633.1","M-1328","Mohenjo-daro","Lower Indus","SEAL:R","?","R/L","2","6","Medial","233","033","233-705-033-807-388-740","+740-388-807-033-705-233[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2245.1","M-1890","Mohenjo-daro","Lower Indus","SEAL:S","?","R/L","3","5","Medial","240","033","235-240-705-033-520","+520-033-705-240-235[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2567.1","M-39","Mohenjo-daro","Lower Indus","SEAL:S","?","R/L","6","6","Terminal","240","","346-204-013-235-240-705","]705-240-235-013-204-346+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3399.1","M-1014","Mohenjo-daro","Lower Indus","SEAL:S","?","R/L","2","5","Medial","717","297","717-705-297-391-842","+842-391-297-705-717[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3441.1","M-1067","Mohenjo-daro","Lower Indus","SEAL:S","?","R/L","1","2","Initial","","140","705-140","+140-705[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3442.1","M-1068","Mohenjo-daro","Lower Indus","SEAL:S","?","R/L","2","4","Medial","240","033","240-705-033-520","+520-033-705-240[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","53.1","Ch-1","Chandigarh","Eastern Headwaters","POT:T:g","N","-","1","4","Initial","","550","705-550-740-220","+220-000-740-550-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","63.1","C-64","Chanhu-daro","Lower Indus","SEAL:S","N","R/L","2","5","Medial","240","033","240-705-033-838-220","]000-220-838-033-705-240+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","95.1","C-7","Chanhu-daro","Lower Indus","SEAL:S","N","R/L","4","6","Medial","240","033","002-798-240-705-033-520","+520-033-705-240-798-002-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4249.1","-","Dholavira","Gujarat/Kutch","SEAL:S","N","R/L","1","1","Initial","","","705","+705-000-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4312.1","-","Dholavira","Gujarat/Kutch","TAG","N","R/L","2","3","Medial","906","229","906-705-229","]000-229-705-906+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4330.1","-","Dholavira","Gujarat/Kutch","TAG","N","R/L","3","3","Terminal","906","","550-906-705","]000-705-906-550+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4345.1","-","Dholavira","Gujarat/Kutch","TAG","N","R/L","3","3","Terminal","002","","861-002-705","+000-705-002-861+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","5584.1","-","Dholavira","Gujarat/Kutch","TAG","N","-","1","1","Initial","","","705","]705-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1177.1","H-136","Harappa","Inter-Riverine","SEAL:R","N","R/L","2","5","Medial","235","033","235-705-033-585-405","+405-585-033-705-235-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1554.1","H-639","Harappa","Inter-Riverine","SEAL:R","N","R/L","8","9","Medial","832","407","747-717-002-235-845-904-832-705-407","+407-000-000-705-832-904-845-235-002-717-747+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
