"Sign","TotalTokens","TextCount","SiteCount","RegionCount","TypeCount","DamagedContextTokens","RarityBand","PositionTotal","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","CandidateClasses"
"740","1928","1904","41","10","22","810","Dominant500Plus","1371","4","924","433","10","0.0029","0.674","0.3158","0.0073","0.8782","DominantCode"
"000","1881","1337","44","9","26","1881","ErodedUnknown","0","0","0","0","0","0","0","0","0","0","ErodedUnknown"
"002","851","848","29","9","21","380","Dominant500Plus","605","7","23","563","12","0.0116","0.038","0.9306","0.0198","0.3576","DominantCode;MedialCandidate"
"032","588","566","20","6","19","250","Dominant500Plus","442","151","37","207","47","0.3416","0.0837","0.4683","0.1063","0.3767","DominantCode"
"700","578","577","12","6","13","164","Dominant500Plus","459","67","359","22","11","0.146","0.7821","0.0479","0.024","0.8163","DominantCode;TerminalCandidate"
"033","523","506","18","6","19","213","Dominant500Plus","387","160","37","165","25","0.4134","0.0956","0.4264","0.0646","0.3684","DominantCode"
"400","502","497","13","6","13","181","Dominant500Plus","360","1","325","34","0","0.0028","0.9028","0.0944","0","0.9583","DominantCode;TerminalCandidate"
"220","477","470","29","9","22","226","Common100To499","318","37","17","254","10","0.1164","0.0535","0.7987","0.0314","0.4602","Unclassified"
"240","354","354","13","6","12","111","Common100To499","278","67","1","210","0","0.241","0.0036","0.7554","0","0.4053","Unclassified"
"520","321","320","16","7","12","120","Common100To499","255","1","213","41","0","0.0039","0.8353","0.1608","0","0.9293","TerminalCandidate"
"390","290","280","25","7","16","106","Common100To499","216","8","104","96","8","0.037","0.4815","0.4444","0.037","0.7544","Unclassified"
"861","272","272","15","5","13","93","Common100To499","212","130","36","46","0","0.6132","0.1698","0.217","0","0.2572","Unclassified"
"003","259","253","14","7","18","77","Common100To499","201","116","3","76","6","0.5771","0.0149","0.3781","0.0299","0.2576","Unclassified"
"031","258","252","16","8","17","125","Common100To499","173","57","16","90","10","0.3295","0.0925","0.5202","0.0578","0.3745","Unclassified"
"235","250","250","12","6","12","87","Common100To499","195","82","1","111","1","0.4205","0.0051","0.5692","0.0051","0.2488","Unclassified"
"820","244","239","18","6","17","107","Common100To499","170","125","14","26","5","0.7353","0.0824","0.1529","0.0294","0.1676","Unclassified"
"590","228","228","17","7","11","82","Common100To499","166","39","10","117","0","0.2349","0.0602","0.7048","0","0.4388","Unclassified"
"741","225","223","16","5","14","99","Common100To499","170","16","3","151","0","0.0941","0.0176","0.8882","0","0.3382","MedialCandidate"
"060","222","220","17","8","13","91","Common100To499","181","2","2","177","0","0.011","0.011","0.9779","0","0.2832","MedialCandidate"
"817","221","221","14","8","13","93","Common100To499","164","146","4","14","0","0.8902","0.0244","0.0854","0","0.0628","InitialCandidate"
"705","219","218","13","6","19","108","Common100To499","148","40","2","105","1","0.2703","0.0135","0.7095","0.0068","0.3261","Unclassified"
"176","217","217","10","4","9","75","Common100To499","166","68","1","97","0","0.4096","0.006","0.5843","0","0.3304","Unclassified"
"001","213","212","17","9","16","92","Common100To499","155","8","11","132","4","0.0516","0.071","0.8516","0.0258","0.4791","MedialCandidate"
"090","195","193","14","8","16","98","Common100To499","128","8","97","20","3","0.0625","0.7578","0.1562","0.0234","0.8652","TerminalCandidate"
"233","192","192","10","4","10","71","Common100To499","146","33","2","111","0","0.226","0.0137","0.7603","0","0.3922","Unclassified"
"034","184","182","7","2","10","59","Common100To499","141","111","15","4","11","0.7872","0.1064","0.0284","0.078","0.1652","InitialCandidate"
"415","176","176","17","7","12","69","Common100To499","130","45","5","79","1","0.3462","0.0385","0.6077","0.0077","0.2906","Unclassified"
"920","153","151","13","5","15","61","Common100To499","119","69","3","47","0","0.5798","0.0252","0.395","0","0.194","Unclassified"
"798","151","151","10","4","13","63","Common100To499","107","28","1","78","0","0.2617","0.0093","0.729","0","0.3753","Unclassified"
"407","143","128","8","5","8","42","Common100To499","123","0","68","55","0","0","0.5528","0.4472","0","0.8357","Unclassified"
"255","136","136","11","7","10","58","Common100To499","98","36","2","60","0","0.3673","0.0204","0.6122","0","0.3267","Unclassified"
"806","135","133","4","3","12","34","Common100To499","111","53","1","57","0","0.4775","0.009","0.5135","0","0.2582","Unclassified"
"100","134","134","10","5","13","43","Common100To499","98","3","2","93","0","0.0306","0.0204","0.949","0","0.632","MedialCandidate"
"760","134","134","10","5","11","62","Common100To499","90","1","1","88","0","0.0111","0.0111","0.9778","0","0.6654","MedialCandidate"
"803","134","134","12","5","10","50","Common100To499","106","43","0","63","0","0.4057","0","0.5943","0","0.3042","Unclassified"
"840","132","132","14","7","12","52","Common100To499","98","21","2","65","10","0.2143","0.0204","0.6633","0.102","0.4108","Unclassified"
"550","124","123","9","5","14","57","Common100To499","89","36","4","47","2","0.4045","0.0449","0.5281","0.0225","0.3546","Unclassified"
"368","120","119","11","5","11","42","Common100To499","91","5","29","57","0","0.0549","0.3187","0.6264","0","0.5382","Unclassified"
"690","119","119","7","4","10","44","Common100To499","91","9","20","62","0","0.0989","0.2198","0.6813","0","0.6522","Unclassified"
"405","118","116","13","6","10","32","Common100To499","94","1","34","58","1","0.0106","0.3617","0.617","0.0106","0.6184","Unclassified"
"900","112","110","11","5","10","39","Common100To499","85","17","1","67","0","0.2","0.0118","0.7882","0","0.486","Unclassified"
"140","110","110","8","4","13","47","Common100To499","74","31","4","39","0","0.4189","0.0541","0.527","0","0.3365","Unclassified"
"156","107","107","8","3","7","30","Common100To499","95","3","71","18","3","0.0316","0.7474","0.1895","0.0316","0.8814","Unclassified"
"706","102","102","8","4","10","43","Common100To499","74","25","4","43","2","0.3378","0.0541","0.5811","0.027","0.3456","Unclassified"
"004","99","98","13","6","13","33","Active20To99","77","27","1","43","6","0.3506","0.013","0.5584","0.0779","0.4222","Unclassified"
"231","95","95","7","4","8","43","Active20To99","70","22","1","47","0","0.3143","0.0143","0.6714","0","0.3498","Unclassified"
"151","94","94","10","5","8","36","Active20To99","72","1","61","9","1","0.0139","0.8472","0.125","0.0139","0.9308","TerminalCandidate"
"061","93","93","9","5","8","34","Active20To99","78","22","0","56","0","0.2821","0","0.7179","0","0.4072","Unclassified"
"892","90","90","11","5","9","33","Active20To99","65","9","18","36","2","0.1385","0.2769","0.5538","0.0308","0.557","Unclassified"
"017","82","82","9","5","9","35","Active20To99","65","17","0","48","0","0.2615","0","0.7385","0","0.3508","Unclassified"
"503","82","82","5","3","5","23","Active20To99","69","52","1","16","0","0.7536","0.0145","0.2319","0","0.1337","InitialCandidate"
"142","81","81","7","4","8","30","Active20To99","59","17","2","40","0","0.2881","0.0339","0.678","0","0.4624","Unclassified"
"575","81","81","7","3","7","39","Active20To99","57","19","1","36","1","0.3333","0.0175","0.6316","0.0175","0.2973","Unclassified"
"617","77","77","5","4","7","24","Active20To99","63","12","40","11","0","0.1905","0.6349","0.1746","0","0.7202","Unclassified"
"692","77","75","6","4","8","31","Active20To99","55","43","2","9","1","0.7818","0.0364","0.1636","0.0182","0.129","InitialCandidate"
"435","75","75","5","4","9","35","Active20To99","54","1","3","50","0","0.0185","0.0556","0.9259","0","0.4864","MedialCandidate"
"615","73","73","7","4","8","21","Active20To99","60","6","2","52","0","0.1","0.0333","0.8667","0","0.3909","MedialCandidate"
"904","64","61","5","3","13","27","Active20To99","42","5","2","35","0","0.119","0.0476","0.8333","0","0.55","Unclassified"
"527","63","63","7","4","9","25","Active20To99","47","2","41","4","0","0.0426","0.8723","0.0851","0","0.9255","TerminalCandidate"
"055","62","61","11","6","11","35","Active20To99","46","11","1","34","0","0.2391","0.0217","0.7391","0","0.4602","Unclassified"
"585","60","60","6","5","9","27","Active20To99","47","0","2","45","0","0","0.0426","0.9574","0","0.5974","MedialCandidate"
"125","59","59","14","4","6","18","Active20To99","49","15","4","30","0","0.3061","0.0816","0.6122","0","0.3033","Unclassified"
"388","59","59","7","3","11","27","Active20To99","36","9","1","26","0","0.25","0.0278","0.7222","0","0.4488","Unclassified"
"440","58","58","10","4","9","24","Active20To99","46","10","1","23","12","0.2174","0.0217","0.5","0.2609","0.412","Unclassified"
"413","57","57","8","4","10","20","Active20To99","42","29","4","6","3","0.6905","0.0952","0.1429","0.0714","0.2068","Unclassified"
"416","57","57","9","5","7","21","Active20To99","44","23","6","9","6","0.5227","0.1364","0.2045","0.1364","0.3203","Unclassified"
