"Rank","Sign","TotalTokens","TokenPct","CumulativeCoverage","CoreGroup","PositionRole","MechanismHypothesis","StartPct","MedialPct","EndPct","SingletonPct","PositionEntropy10","LeftNeighborEntropy","RightNeighborEntropy","DominantLeftNeighbor","DominantLeftShare","DominantRightNeighbor","DominantRightShare","RegionEntropy","SiteEntropy","TypeEntropy","AdjacentSelfRepeats","CandidateClasses"
"1","740","1928","0.10685","0.10685","Core50","TerminalMarker","FormulaOrGrammarMarker","0.0029","0.3158","0.674","0.0073","0.4763","0.7998","0.554","176","0.0818","400","0.4266","0.4379","0.3772","0.6017","8","DominantCode"
"2","002","851","0.047162","0.154012","Core50","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.0116","0.9306","0.038","0.0198","0.7896","0.6462","0.8208","861","0.2294","240","0.1089","0.5023","0.4723","0.5137","4","DominantCode;MedialCandidate"
"3","032","588","0.032587","0.186599","Core50","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.3416","0.4683","0.0837","0.1063","0.8402","0.8151","0.7104","002","0.1635","700","0.2151","0.545","0.4518","0.6605","12","DominantCode"
"4","700","578","0.032033","0.218632","Core50","TerminalMarker","FormulaOrGrammarMarker","0.146","0.0479","0.7821","0.024","0.3083","0.49","0.7226","033","0.3621","033","0.2966","0.1647","0.1495","0.446","2","DominantCode;TerminalCandidate"
"5","033","523","0.028985","0.247617","Core50","MixedPosition","CorePhoneticOrMorphemicCandidate","0.4134","0.4264","0.0956","0.0646","0.7529","0.6042","0.651","705","0.391","700","0.3823","0.4592","0.3871","0.6512","32","DominantCode"
"6","400","502","0.027821","0.275438","Core50","TerminalMarker","FormulaOrGrammarMarker","0.0028","0.0944","0.9028","0","0.1971","0.5787","0.7974","740","0.5167","740","0.3409","0.3269","0.2978","0.5567","0","DominantCode;TerminalCandidate"
"7","220","477","0.026435","0.301873","Core50","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.1164","0.7987","0.0535","0.0314","0.8811","0.7242","0.8042","415","0.2459","520","0.1749","0.5259","0.4655","0.6114","0","Unclassified"
"8","240","354","0.019619","0.321492","Core50","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.241","0.7554","0.0036","0","0.8902","0.701","0.8499","002","0.332","520","0.1394","0.5295","0.4549","0.6098","0","Unclassified"
"9","520","321","0.01779","0.339282","Core50","TerminalMarker","FormulaOrGrammarMarker","0.0039","0.1608","0.8353","0","0.3171","0.7329","0.8049","220","0.2182","400","0.2807","0.5643","0.5004","0.6093","0","TerminalCandidate"
"10","390","290","0.016072","0.355354","Core50","MixedPosition","CorePhoneticOrMorphemicCandidate","0.037","0.4444","0.4815","0.037","0.6991","0.7315","0.688","590","0.2885","740","0.4184","0.5842","0.5564","0.521","8","Unclassified"
"11","861","272","0.015074","0.370428","Core50","InitialMarker","FormulaOrGrammarMarker","0.6132","0.217","0.1698","0","0.7752","0.8192","0.3389","003","0.3085","002","0.7955","0.6504","0.557","0.6235","0","Unclassified"
"12","003","259","0.014354","0.384782","Core50","InitialMarker","FormulaOrGrammarMarker","0.5771","0.3781","0.0149","0.0299","0.8134","0.8095","0.7921","002","0.2778","156","0.1558","0.4999","0.5108","0.6678","8","Unclassified"
"13","031","258","0.014298","0.39908","Core50","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.3295","0.5202","0.0925","0.0578","0.8853","0.8835","0.9077","002","0.1456","002","0.0769","0.5384","0.6099","0.6359","4","Unclassified"
"14","235","250","0.013855","0.412935","Core50","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.4205","0.5692","0.0051","0.0051","0.8775","0.7808","0.7934","002","0.2817","240","0.1923","0.5057","0.491","0.6296","0","Unclassified"
"15","820","244","0.013523","0.426458","Core50","InitialMarker","FormulaOrGrammarMarker","0.7353","0.1529","0.0824","0.0294","0.7827","0.9593","0.5767","033","0.0909","002","0.5","0.6154","0.536","0.5672","0","Unclassified"
"16","590","228","0.012636","0.439093","Core50","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.2349","0.7048","0.0602","0","0.9337","0.86","0.6881","032","0.1227","390","0.3687","0.5623","0.4979","0.6795","0","Unclassified"
"17","741","225","0.01247","0.451563","Core50","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.0941","0.8882","0.0176","0","0.7989","0.8446","0.8936","060","0.2","176","0.0721","0.6659","0.5686","0.4501","0","MedialCandidate"
"18","060","222","0.012303","0.463866","Core50","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.011","0.9779","0.011","0","0.6889","0.6435","0.8512","920","0.3009","741","0.1784","0.5288","0.5324","0.487","0","MedialCandidate"
"19","817","221","0.012248","0.476114","Core50","InitialMarker","FormulaOrGrammarMarker","0.8902","0.0854","0.0244","0","0.7011","0.9513","0.3551","491","0.1786","002","0.7647","0.5445","0.5732","0.6132","0","InitialCandidate"
"20","705","219","0.012137","0.488251","Core50","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.2703","0.7095","0.0135","0.0068","0.9175","0.8249","0.6114","235","0.1633","033","0.52","0.5918","0.5264","0.6944","0","Unclassified"
"21","176","217","0.012026","0.500277","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.4096","0.5843","0.006","0","0.832","0.843","0.4113","220","0.1488","740","0.7186","0.5793","0.4524","0.7291","0","Unclassified"
"22","001","213","0.011804","0.512082","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.0516","0.8516","0.071","0.0258","0.8894","0.8569","0.9291","740","0.1198","055","0.0707","0.5667","0.559","0.6847","0","MedialCandidate"
"23","090","195","0.010807","0.522888","Core75","TerminalMarker","FormulaOrGrammarMarker","0.0625","0.1562","0.7578","0.0234","0.5349","0.3687","0.875","740","0.7799","400","0.2581","0.6269","0.6096","0.6841","0","TerminalCandidate"
"24","233","192","0.010641","0.533529","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.226","0.7603","0.0137","0","0.8658","0.784","0.8726","240","0.1655","520","0.1356","0.6818","0.5255","0.5981","0","Unclassified"
"25","034","184","0.010197","0.543726","Core75","InitialMarker","FormulaOrGrammarMarker","0.7872","0.0284","0.1064","0.078","0.3894","0.7818","0.2118","700","0.4516","700","0.9134","0.3046","0.2248","0.5594","4","InitialCandidate"
"26","415","176","0.009754","0.55348","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.3462","0.6077","0.0385","0.0077","0.8721","0.8145","0.4778","798","0.211","220","0.5688","0.5276","0.4426","0.6747","0","Unclassified"
"27","920","153","0.008479","0.56196","Core75","InitialMarker","FormulaOrGrammarMarker","0.5798","0.395","0.0252","0","0.8224","0.815","0.6632","320","0.2188","060","0.4545","0.6021","0.5216","0.5572","0","Unclassified"
"28","798","151","0.008368","0.570328","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.2617","0.729","0.0093","0","0.8944","0.8909","0.6941","002","0.1682","740","0.3597","0.6923","0.5367","0.6305","0","Unclassified"
"29","407","143","0.007925","0.578253","Core75","MixedPosition","CorePhoneticOrMorphemicCandidate","0","0.4472","0.5528","0","0.5094","0.792","0.7199","845","0.1857","740","0.3016","0.459","0.3947","0.6036","0","Unclassified"
"30","255","136","0.007537","0.58579","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.3673","0.6122","0.0204","0","0.9177","0.8982","0.6072","920","0.1519","435","0.488","0.5274","0.524","0.7041","0","Unclassified"
"31","806","135","0.007482","0.593272","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.4775","0.5135","0.009","0","0.8811","0.8174","0.8505","002","0.2714","235","0.1508","0.7951","0.6583","0.6576","0","Unclassified"
"32","100","134","0.007426","0.600698","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.0306","0.949","0.0204","0","0.7927","0.7301","0.2027","415","0.3496","740","0.918","0.584","0.5204","0.6635","0","MedialCandidate"
"33","760","134","0.007426","0.608125","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.0111","0.9778","0.0111","0","0.7506","0.9215","0.1571","605","0.0776","740","0.9457","0.6455","0.5566","0.6285","0","MedialCandidate"
"34","803","134","0.007426","0.615551","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.4057","0.5943","0","0","0.9746","0.7396","0.8366","002","0.4198","740","0.1508","0.5779","0.5194","0.4969","0","Unclassified"
"35","840","132","0.007315","0.622866","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.2143","0.6633","0.0204","0.102","0.8791","0.8892","0.6673","013","0.191","032","0.3909","0.5796","0.5605","0.7159","0","Unclassified"
"36","550","124","0.006872","0.629738","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.4045","0.5281","0.0449","0.0225","0.9247","0.8751","0.7271","033","0.1642","060","0.2718","0.6608","0.5958","0.7105","0","Unclassified"
"37","368","120","0.00665","0.636389","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.0549","0.6264","0.3187","0","0.7828","0.8642","0.8755","817","0.1869","002","0.1558","0.6588","0.5928","0.5173","0","Unclassified"
"38","690","119","0.006595","0.642984","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.0989","0.6813","0.2198","0","0.805","0.74","0.5015","435","0.3958","740","0.6629","0.5522","0.4758","0.7051","0","Unclassified"
"39","405","118","0.00654","0.649523","Core75","MixedPosition","CorePhoneticOrMorphemicCandidate","0.0106","0.617","0.3617","0.0106","0.6933","0.7482","0.5791","501","0.2613","002","0.4507","0.4911","0.4467","0.7268","0","Unclassified"
"40","900","112","0.006207","0.65573","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.2","0.7882","0.0118","0","0.8955","0.8236","0.7166","003","0.1786","740","0.4112","0.6074","0.519","0.7561","0","Unclassified"
"41","140","110","0.006096","0.661827","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.4189","0.527","0.0541","0","0.9219","0.9159","0.9284","002","0.1552","920","0.1064","0.6471","0.5772","0.6001","0","Unclassified"
"42","156","107","0.00593","0.667757","Core75","TerminalMarker","FormulaOrGrammarMarker","0.0316","0.1895","0.7474","0.0316","0.3202","0.7229","0.6297","003","0.3789","400","0.6667","0.7611","0.5056","0.6793","0","Unclassified"
"43","706","102","0.005653","0.673409","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.3378","0.5811","0.0541","0.027","0.9033","0.9272","0.6662","590","0.1045","033","0.5","0.6299","0.5386","0.7607","0","Unclassified"
"44","004","99","0.005487","0.678896","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.3506","0.5584","0.013","0.0779","0.8571","0.7867","0.7778","002","0.386","390","0.2875","0.6346","0.553","0.7764","2","Unclassified"
"45","231","95","0.005265","0.684161","Core75","FlexibleCarrier","CorePhoneticOrMorphemicCandidate","0.3143","0.6714","0.0143","0","0.9217","0.8362","0.9046","002","0.25","520","0.1136","0.6809","0.6059","0.6934","0","Unclassified"
"46","151","94","0.005209","0.68937","Core75","TerminalMarker","FormulaOrGrammarMarker","0.0139","0.125","0.8472","0.0139","0.2158","0.8875","0.9163","740","0.1494","400","0.3636","0.6381","0.6603","0.5046","0","TerminalCandidate"
"47","061","93","0.005154","0.694524","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.2821","0.7179","0","0","0.8422","0.7841","0.7505","845","0.3043","407","0.2874","0.5224","0.4751","0.6928","0","Unclassified"
