"LocalCode","IcitWellsCode","Status","TotalTokens","RarityBand","CandidateClasses","Evidence"
"000","","ErodedUnknown","1881","ErodedUnknown","ErodedUnknown","ICIT documentation treats 000 as one eroded sign."
"001","001","ProvisionalIdentity","213","Common100To499","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"002","002","ProvisionalIdentity","851","Dominant500Plus","DominantCode;MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"003","003","ProvisionalIdentity","259","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"004","004","ProvisionalIdentity","99","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"005","005","ProvisionalIdentity","49","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"006","006","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"007","007","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"012","012","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"013","013","ProvisionalIdentity","50","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"014","014","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"015","015","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"016","016","ProvisionalIdentity","49","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"017","017","ProvisionalIdentity","82","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"018","018","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"019","019","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"020","020","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"025","025","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"026","026","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"027","027","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"028","028","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"029","029","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
