"ClusterId","Size","Signs","TokenSum","Threshold"
"N001","11","176 222 362 482 630 760 772 773 792 923 927","542","0.9"
"N002","9","090 151 161 400 520 565 621 679 740","3109","0.9"
"N003","8","110 416 515 540 698 749 777 942","136","0.9"
"N004","4","465 467 468 472","31","0.9"
"N005","4","817 820 861 880","748","0.9"
"N006","3","422 423 426","22","0.9"
"N007","3","027 028 905","24","0.9"
"N008","3","201 692 920","235","0.9"
"N009","2","435 436","92","0.9"
"N010","2","526 527","76","0.9"
"N011","2","347 849","18","0.9"
"N012","2","098 137","26","0.9"
"N013","2","263 634","11","0.9"
"N014","2","705 706","321","0.9"
"N015","2","636 642","30","0.9"
"N016","2","033 034","707","0.9"
"N017","2","681 687","10","0.9"
"N018","2","167 868","32","0.9"
