"Sign","Side","Neighbor","Count"
"001","Next","END","15"
"001","Next","055","13"
"001","Next","003","7"
"001","Next","031","6"
"001","Next","240","6"
"001","Next","142","6"
"001","Next","004","6"
"001","Next","760","5"
"001","Next","235","5"
"001","Next","821","4"
"001","Next","176","3"
"001","Next","100","3"
"001","Next","904","3"
"001","Next","520","3"
"001","Next","416","3"
"001","Next","233","2"
"001","Next","435","2"
"001","Next","752","2"
"001","Next","806","2"
"001","Next","798","2"
"001","Next","415","2"
"001","Next","255","2"
"001","Next","220","2"
"001","Next","033","2"
"001","Next","061","2"
"001","Next","005","2"
"001","Next","032","2"
"001","Next","215","2"
"001","Next","704","1"
"001","Next","740","1"
"001","Next","950","1"
"001","Next","692","1"
"001","Next","575","1"
"001","Next","554","1"
"001","Next","645","1"
"001","Next","590","1"
"001","Next","890","1"
"001","Next","803","1"
"001","Next","893","1"
"001","Next","820","1"
"001","Next","900","1"
"001","Next","832","1"
"001","Next","912","1"
"001","Next","790","1"
"001","Next","838","1"
"001","Next","202","1"
"001","Next","138","1"
"001","Next","125","1"
"001","Next","320","1"
"001","Next","319","1"
"001","Next","243","1"
"001","Next","018","1"
"001","Next","016","1"
"001","Next","015","1"
"001","Next","093","1"
"001","Next","060","1"
"001","Next","034","1"
"001","Next","472","1"
"001","Next","469","1"
"001","Next","468","1"
"001","Next","002","1"
"001","Next","518","1"
"001","Next","482","1"
"001","Next","354","1"
"001","Next","350","1"
"001","Next","328","1"
"001","Next","467","1"
"001","Next","456","1"
"001","Next","368","1"
"001","Prev","740","19"
"001","Prev","741","15"
"001","Prev","820","15"
"001","Prev","START","12"
"001","Prev","368","9"
"001","Prev","480","7"
"001","Prev","595","6"
"001","Prev","032","4"
"001","Prev","060","4"
"001","Prev","031","4"
"001","Prev","520","3"
"001","Prev","550","3"
"001","Prev","220","3"
"001","Prev","692","3"
"001","Prev","140","3"
"001","Prev","920","3"
"001","Prev","407","2"
"001","Prev","900","2"
"001","Prev","746","2"
"001","Prev","440","2"
"001","Prev","033","2"
"001","Prev","233","2"
"001","Prev","139","1"
"001","Prev","095","1"
"001","Prev","617","1"
"001","Prev","142","1"
"001","Prev","694","1"
"001","Prev","706","1"
"001","Prev","745","1"
"001","Prev","055","1"
"001","Prev","924","1"
"001","Prev","003","1"
"001","Prev","821","1"
"001","Prev","091","1"
"001","Prev","803","1"
"001","Prev","063","1"
"001","Prev","615","1"
"001","Prev","390","1"
"001","Prev","405","1"
"001","Prev","250","1"
"001","Prev","297","1"
"001","Prev","300","1"
"001","Prev","304","1"
"001","Prev","367","1"
"001","Prev","423","1"
"001","Prev","165","1"
"001","Prev","565","1"
"001","Prev","150","1"
"001","Prev","542","1"
"001","Prev","240","1"
"001","Prev","505","1"
"001","Prev","223","1"
"002","Next","240","71"
"002","Next","END","35"
"002","Next","032","33"
"002","Next","235","30"
"002","Next","803","29"
"002","Next","003","25"
"002","Next","004","20"
"002","Next","233","19"
"002","Next","806","15"
"002","Next","176","15"
"002","Next","031","14"
"002","Next","798","14"
"002","Next","061","13"
"002","Next","231","13"
"002","Next","415","12"
"002","Next","048","12"
"002","Next","220","11"
"002","Next","016","10"
"002","Next","590","8"
"002","Next","017","8"
"002","Next","005","8"
"002","Next","417","8"
"002","Next","140","7"
"002","Next","705","7"
"002","Next","350","6"
"002","Next","503","6"
"002","Next","236","6"
"002","Next","255","4"
"002","Next","706","4"
"002","Next","550","4"
"002","Next","222","3"
"002","Next","840","3"
"002","Next","175","3"
"002","Next","142","3"
"002","Next","104","3"
"002","Next","554","3"
"002","Next","717","3"
"002","Next","519","3"
"002","Next","832","3"
"002","Next","495","3"
"002","Next","416","3"
"002","Next","825","2"
"002","Next","605","2"
"002","Next","772","2"
"002","Next","900","2"
"002","Next","384","2"
"002","Next","388","2"
"002","Next","391","2"
"002","Next","540","2"
"002","Next","335","2"
"002","Next","354","2"
"002","Next","156","2"
"002","Next","072","2"
"002","Next","125","2"
"002","Next","055","2"
"002","Next","049","2"
"002","Next","219","2"
"002","Next","101","2"
"002","Next","137","2"
"002","Next","136","2"
"002","Next","552","1"
"002","Next","778","1"
"002","Next","760","1"
"002","Next","042","1"
"002","Next","721","1"
"002","Next","710","1"
"002","Next","070","1"
"002","Next","555","1"
"002","Next","093","1"
"002","Next","606","1"
"002","Next","062","1"
"002","Next","621","1"
"002","Next","617","1"
"002","Next","844","1"
"002","Next","850","1"
"002","Next","838","1"
"002","Next","015","1"
"002","Next","869","1"
"002","Next","920","1"
"002","Next","013","1"
"002","Next","014","1"
"002","Next","904","1"
"002","Next","019","1"
"002","Next","035","1"
"002","Next","034","1"
"002","Next","790","1"
"002","Next","792","1"
"002","Next","805","1"
"002","Next","029","1"
"002","Next","830","1"
"002","Next","033","1"
"002","Next","820","1"
"002","Next","168","1"
"002","Next","362","1"
"002","Next","190","1"
"002","Next","336","1"
"002","Next","150","1"
"002","Next","390","1"
"002","Next","382","1"
"002","Next","155","1"
"002","Next","315","1"
"002","Next","215","1"
"002","Next","241","1"
"002","Next","226","1"
"002","Next","221","1"
"002","Next","260","1"
"002","Next","268","1"
"002","Next","242","1"
"002","Next","191","1"
"002","Next","139","1"
"002","Next","506","1"
"002","Next","103","1"
