"SignA","SignB","TotalA","TotalB","SharedFeatures","Cosine","ReviewPriority"
"027","028","6","5","2","1","High"
"636","642","22","8","3","0.999777","High"
"347","849","10","8","2","0.992278","High"
"110","777","6","7","2","0.991241","High"
"027","905","6","13","2","0.990443","High"
"028","905","5","13","2","0.990443","High"
"110","942","6","10","2","0.989949","High"
"201","692","5","77","2","0.988031","High"
"526","527","13","63","5","0.982841","High"
"777","942","7","10","2","0.981278","High"
"467","468","9","10","3","0.975376","High"
"167","868","19","13","3","0.967096","High"
"817","861","221","272","7","0.96502","High"
"465","468","6","10","2","0.961161","High"
"817","820","221","244","11","0.956926","High"
"705","706","219","102","24","0.953396","High"
"692","920","77","153","10","0.95317","High"
"090","565","195","15","5","0.953096","High"
"422","423","8","7","2","0.951875","High"
"423","426","7","7","2","0.951303","High"
"400","565","502","15","6","0.950984","High"
"090","400","195","502","10","0.949789","High"
"435","436","75","17","3","0.949715","High"
"090","679","195","19","3","0.946794","High"
"201","920","5","153","2","0.946676","High"
"482","772","41","10","5","0.944688","High"
"151","740","94","1928","34","0.94302","High"
"465","467","6","9","2","0.942111","High"
"422","426","8","7","2","0.941742","High"
"467","472","9","6","4","0.940753","High"
"565","679","15","19","3","0.940234","High"
"176","927","217","11","9","0.94012","High"
"098","137","10","16","3","0.937473","High"
"176","792","217","13","4","0.936572","High"
"698","777","10","7","2","0.930233","High"
"151","161","94","13","5","0.928616","High"
"681","687","5","5","2","0.928571","High"
"468","472","10","6","3","0.927686","High"
"772","773","10","9","2","0.924473","High"
"820","861","244","272","9","0.924203","High"
"820","880","244","11","3","0.920347","High"
"760","923","134","45","8","0.919178","High"
"151","400","94","502","13","0.919148","High"
"176","630","217","40","9","0.918785","High"
"416","698","57","10","3","0.918185","High"
"760","773","134","9","4","0.917987","High"
"110","749","6","6","2","0.917663","High"
"263","634","6","5","3","0.916698","High"
"482","773","41","9","4","0.915337","High"
"400","621","502","22","7","0.915002","High"
"110","698","6","10","2","0.914991","High"
"400","679","502","19","5","0.913864","High"
"773","927","9","11","5","0.912871","High"
"151","520","94","321","12","0.910987","High"
"630","792","40","13","2","0.91097","High"
"749","942","6","10","2","0.90844","High"
"033","034","523","184","9","0.90829","High"
"698","942","10","10","2","0.905795","High"
"817","880","221","11","2","0.905099","High"
"222","760","17","134","5","0.903336","High"
"176","362","217","5","3","0.902176","High"
"923","927","45","11","5","0.901191","High"
"540","777","22","7","2","0.900765","High"
"110","540","6","22","2","0.90007","High"
"110","515","6","18","2","0.9","High"
"565","621","15","22","4","0.899462","Medium"
"440","540","58","22","4","0.898992","Medium"
"137","234","16","9","3","0.898513","Medium"
"176","388","217","59","11","0.898303","Medium"
"101","362","8","5","3","0.898146","Medium"
"520","740","321","1928","28","0.897513","Medium"
"151","621","94","22","4","0.897272","Medium"
"241","740","12","1928","9","0.897086","Medium"
"545","853","10","11","3","0.896854","Medium"
"100","760","134","134","12","0.896519","Medium"
"031","416","258","57","12","0.895563","Medium"
"773","923","9","45","5","0.894208","Medium"
"285","817","5","221","3","0.893538","Medium"
"156","423","107","7","3","0.893368","Medium"
"222","773","17","9","5","0.892679","Medium"
"156","426","107","7","3","0.892664","Medium"
"241","520","12","321","7","0.892384","Medium"
"749","777","6","7","2","0.892132","Medium"
"630","717","40","55","8","0.891949","Medium"
"540","942","22","10","2","0.891024","Medium"
"515","942","18","10","2","0.890955","Medium"
"153","241","5","12","5","0.890916","Medium"
"326","817","7","221","2","0.890512","Medium"
"176","384","217","33","10","0.890469","Medium"
"556","698","11","10","2","0.890348","Medium"
"760","927","134","11","5","0.889927","Medium"
"006","777","7","7","2","0.88962","Medium"
"151","241","94","12","4","0.889519","Medium"
"370","820","10","244","5","0.889376","Medium"
"176","717","217","55","15","0.88933","Medium"
"416","540","57","22","6","0.888519","Medium"
"215","540","11","22","4","0.887925","Medium"
"101","176","8","217","4","0.88593","Medium"
"515","777","18","7","2","0.884492","Medium"
"006","110","7","6","2","0.883883","Medium"
