"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"740","1361","924","4","433","0","0.6789","0.0029","0.3181","0","0.119","-0.676"
"002","593","23","7","563","0","0.0388","0.0118","0.9494","0","0.6453","-0.027"
"700","448","359","67","22","0","0.8013","0.1496","0.0491","0","0.1759","-0.6518"
"032","395","37","151","207","0","0.0937","0.3823","0.5241","0","0.638","0.2886"
"033","362","37","160","165","0","0.1022","0.442","0.4558","0","0.6406","0.3398"
"400","360","325","1","34","0","0.9028","0.0028","0.0944","0","0.0417","-0.9"
"220","308","17","37","254","0","0.0552","0.1201","0.8247","0","0.541","0.0649"
"240","278","1","67","210","0","0.0036","0.241","0.7554","0","0.5947","0.2374"
"520","255","213","1","41","0","0.8353","0.0039","0.1608","0","0.0707","-0.8314"
"861","212","36","130","46","0","0.1698","0.6132","0.217","0","0.7428","0.4434"
"390","208","104","8","96","0","0.5","0.0385","0.4615","0","0.2358","-0.4615"
"003","195","3","116","76","0","0.0154","0.5949","0.3897","0","0.7499","0.5795"
"235","194","1","82","111","0","0.0052","0.4227","0.5722","0","0.7525","0.4175"
"060","181","2","2","177","0","0.011","0.011","0.9779","0","0.7168","0"
"741","170","3","16","151","0","0.0176","0.0941","0.8882","0","0.6618","0.0765"
"176","166","1","68","97","0","0.006","0.4096","0.5843","0","0.6696","0.4036"
"590","166","10","39","117","0","0.0602","0.2349","0.7048","0","0.5612","0.1747"
"820","165","14","125","26","0","0.0848","0.7576","0.1576","0","0.8424","0.6727"
"817","164","4","146","14","0","0.0244","0.8902","0.0854","0","0.9372","0.8659"
"031","163","16","57","90","0","0.0982","0.3497","0.5521","0","0.6332","0.2515"
"001","151","11","8","132","0","0.0728","0.053","0.8742","0","0.5215","-0.0199"
"705","147","2","40","105","0","0.0136","0.2721","0.7143","0","0.675","0.2585"
"233","146","2","33","111","0","0.0137","0.226","0.7603","0","0.6078","0.2123"
"034","130","15","111","4","0","0.1154","0.8538","0.0308","0","0.8631","0.7385"
"415","129","5","45","79","0","0.0388","0.3488","0.6124","0","0.7111","0.3101"
"090","125","97","8","20","0","0.776","0.064","0.16","0","0.126","-0.712"
"407","123","68","0","55","0","0.5528","0","0.4472","0","0.1643","-0.5528"
"920","119","3","69","47","0","0.0252","0.5798","0.395","0","0.806","0.5546"
"806","111","1","53","57","0","0.009","0.4775","0.5135","0","0.7418","0.4685"
"798","107","1","28","78","0","0.0093","0.2617","0.729","0","0.6247","0.2523"
"803","106","0","43","63","0","0","0.4057","0.5943","0","0.6958","0.4057"
"100","98","2","3","93","0","0.0204","0.0306","0.949","0","0.368","0.0102"
"255","98","2","36","60","0","0.0204","0.3673","0.6122","0","0.6733","0.3469"
"405","93","34","1","58","0","0.3656","0.0108","0.6237","0","0.3803","-0.3548"
"156","92","71","3","18","0","0.7717","0.0326","0.1957","0","0.1062","-0.7391"
"368","91","29","5","57","0","0.3187","0.0549","0.6264","0","0.4618","-0.2637"
"690","91","20","9","62","0","0.2198","0.0989","0.6813","0","0.3478","-0.1209"
"760","90","1","1","88","0","0.0111","0.0111","0.9778","0","0.3346","0"
"840","88","2","21","65","0","0.0227","0.2386","0.7386","0","0.5993","0.2159"
"550","87","4","36","47","0","0.046","0.4138","0.5402","0","0.6487","0.3678"
"900","85","1","17","67","0","0.0118","0.2","0.7882","0","0.514","0.1882"
"061","78","0","22","56","0","0","0.2821","0.7179","0","0.5928","0.2821"
"140","74","4","31","39","0","0.0541","0.4189","0.527","0","0.6635","0.3649"
"706","72","4","25","43","0","0.0556","0.3472","0.5972","0","0.6587","0.2917"
"004","71","1","27","43","0","0.0141","0.3803","0.6056","0","0.5844","0.3662"
"151","71","61","1","9","0","0.8592","0.0141","0.1268","0","0.0631","-0.8451"
"231","70","1","22","47","0","0.0143","0.3143","0.6714","0","0.6502","0.3"
"503","69","1","52","16","0","0.0145","0.7536","0.2319","0","0.8663","0.7391"
"017","65","0","17","48","0","0","0.2615","0.7385","0","0.6492","0.2615"
"617","63","40","12","11","0","0.6349","0.1905","0.1746","0","0.2798","-0.4444"
"892","63","18","9","36","0","0.2857","0.1429","0.5714","0","0.4412","-0.1429"
"615","60","2","6","52","0","0.0333","0.1","0.8667","0","0.6091","0.0667"
"142","59","2","17","40","0","0.0339","0.2881","0.678","0","0.5376","0.2542"
"575","56","1","19","36","0","0.0179","0.3393","0.6429","0","0.7064","0.3214"
"435","54","3","1","50","0","0.0556","0.0185","0.9259","0","0.5136","-0.037"
"692","54","2","43","9","0","0.037","0.7963","0.1667","0","0.8779","0.7593"
"125","49","4","15","30","0","0.0816","0.3061","0.6122","0","0.6967","0.2245"
"752","49","0","1","48","0","0","0.0204","0.9796","0","0.3453","0.0204"
"845","48","0","0","48","0","0","0","1","0","0.5486","0"
"527","47","41","2","4","0","0.8723","0.0426","0.0851","0","0.0745","-0.8298"
"585","47","2","0","45","0","0.0426","0","0.9574","0","0.4026","-0.0426"
"055","46","1","11","34","0","0.0217","0.2391","0.7391","0","0.5398","0.2174"
"005","42","1","23","18","0","0.0238","0.5476","0.4286","0","0.7118","0.5238"
"904","42","2","5","35","0","0.0476","0.119","0.8333","0","0.45","0.0714"
"850","41","3","9","29","0","0.0732","0.2195","0.7073","0","0.5321","0.1463"
"016","40","2","18","20","0","0.05","0.45","0.5","0","0.658","0.4"
"413","39","4","29","6","0","0.1026","0.7436","0.1538","0","0.8157","0.641"
"154","38","29","0","9","0","0.7632","0","0.2368","0","0.0965","-0.7632"
"416","38","6","23","9","0","0.1579","0.6053","0.2368","0","0.7081","0.4474"
"717","37","1","13","23","0","0.027","0.3514","0.6216","0","0.6699","0.3243"
"013","36","0","13","23","0","0","0.3611","0.6389","0","0.7615","0.3611"
"388","36","1","9","26","0","0.0278","0.25","0.7222","0","0.5512","0.2222"
