Unit,AbstractUnit,Role,TestClass,Dimension,Category,Count,UnitOccurrences,BaselineCount,Expected,Lift,Log2Lift,AssociationScore,Strength
176-740-090,R02-T01-A10,TerminalFiller,AffixOrFormulaAnchor,Symbol,Composite/Multiple,8,8,11,0.145,55.182,5.786,1.0,Strong
347,R32,InitialFiller,ControlOrLowPriority,Symbol,Composite/Multiple,8,8,11,0.145,55.182,5.786,1.0,Strong
104-645-590-235,R30-R25-A08-M01,InitialFiller,ControlOrLowPriority,Symbol,Cros,7,7,7,0.081,86.714,6.438,1.0,Strong
233-222-740,A04-R31-T01,TerminalFiller,ControlOrLowPriority,Material,Copper,5,5,17,0.14,35.706,5.158,0.997,Strong
501-405-002,R03-R01-A01,InitialFiller,ControlOrLowPriority,Type,TAB,29,29,116,5.542,5.233,2.388,0.987,Strong
176-740-090,R02-T01-A10,TerminalFiller,AffixOrFormulaAnchor,Type,TAB,8,8,116,1.529,5.233,2.388,0.987,Strong
347,R32,InitialFiller,ControlOrLowPriority,Type,TAB,8,8,116,1.529,5.233,2.388,0.987,Strong
104-645-590-235,R30-R25-A08-M01,InitialFiller,ControlOrLowPriority,Type,TAB,7,7,116,1.338,5.233,2.388,0.987,Strong
501-405-002,R03-R01-A01,InitialFiller,ControlOrLowPriority,Material,Unknown,28,29,111,5.303,5.28,2.401,0.979,Strong
233-222-740,A04-R31-T01,TerminalFiller,ControlOrLowPriority,Type,TAB,5,5,116,0.956,5.233,2.388,0.968,Strong
003,M05,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,LowEvidenceSequence,7,8,57,0.751,9.318,3.22,0.965,Strong
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,SemanticFrame,PrimeEntityAdministrativeFormula,7,8,12,0.158,44.26,5.468,0.965,Strong
806,M06,InitialFiller,AffixOrFormulaAnchor,Material,Copper,5,6,17,0.168,29.755,4.895,0.95,Strong
240-520,A02-T02,TerminalFiller,CrossFramePhoneticAnchor,Type,TAB,29,32,116,6.115,4.742,2.246,0.945,Strong
240-520,A02-T02,TerminalFiller,CrossFramePhoneticAnchor,Material,Unknown,28,32,111,5.852,4.785,2.258,0.938,Strong
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,Type,TAB,7,8,116,1.529,4.579,2.195,0.931,Strong
176-740-090,R02-T01-A10,TerminalFiller,AffixOrFormulaAnchor,Material,Clay,6,8,28,0.369,16.259,4.023,0.93,Strong
347,R32,InitialFiller,ControlOrLowPriority,Material,Clay,6,8,28,0.369,16.259,4.023,0.93,Strong
501-405-002,R03-R01-A01,InitialFiller,ControlOrLowPriority,Site,Harappa,29,29,174,8.313,3.489,1.803,0.922,Strong
176-740-090,R02-T01-A10,TerminalFiller,AffixOrFormulaAnchor,Site,Harappa,8,8,174,2.293,3.489,1.803,0.922,Strong
347,R32,InitialFiller,ControlOrLowPriority,Site,Harappa,8,8,174,2.293,3.489,1.803,0.922,Strong
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,Type,TAB,11,13,116,2.484,4.428,2.147,0.917,Strong
501-405-002,R03-R01-A01,InitialFiller,ControlOrLowPriority,Region,Inter-Riverine,29,29,185,8.839,3.281,1.714,0.912,Strong
176-740-090,R02-T01-A10,TerminalFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,8,8,185,2.438,3.281,1.714,0.912,Strong
347,R32,InitialFiller,ControlOrLowPriority,Region,Inter-Riverine,8,8,185,2.438,3.281,1.714,0.912,Strong
820-002-003,C01-A01-M05,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,4,4,36,0.237,16.861,4.076,0.907,Strong
820-060,C01-A06,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,ClassifierSlotTerminalFormula,4,4,86,0.567,7.058,2.819,0.901,Strong
240-520,A02-T02,TerminalFiller,CrossFramePhoneticAnchor,Site,Harappa,30,32,174,9.173,3.27,1.709,0.894,Strong
820,C01,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,ClassifierSlotTerminalFormula,7,10,86,1.417,4.941,2.305,0.894,Strong
806,M06,InitialFiller,AffixOrFormulaAnchor,Type,TAB,5,6,116,1.147,4.361,2.125,0.888,Strong
240-520,A02-T02,TerminalFiller,CrossFramePhoneticAnchor,Region,Inter-Riverine,30,32,185,9.753,3.076,1.621,0.884,Strong
171-032-031,R67-A07-M03,InitialFiller,ControlOrLowPriority,Type,TAB,4,4,116,0.764,5.233,2.388,0.884,Strong
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Cros,7,13,7,0.15,46.692,5.545,0.871,Strong
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,Site,Harappa,7,8,174,2.293,3.052,1.61,0.859,Strong
032,A07,TerminalFiller,CrossFramePhoneticAnchor,Site,Chanhu-daro,5,10,20,0.329,15.175,3.924,0.853,Strong
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,Region,Inter-Riverine,7,8,185,2.438,2.871,1.522,0.847,Strong
104-645-590-235,R30-R25-A08-M01,InitialFiller,ControlOrLowPriority,Material,Unknown,5,7,111,1.28,3.906,1.966,0.835,Strong
740,T01,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,ClassifierSlotTerminalFormula,6,10,86,1.417,4.235,2.082,0.833,Strong
861-002,C02-A01,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,PrimeEntityAdministrativeFormula,7,18,12,0.356,19.671,4.298,0.829,Strong
031-740,M03-T01,TerminalFiller,AffixOrFormulaAnchor,Symbol,Goat:4,3,3,3,0.015,202.333,7.661,0.824,Strong
240-904,A02-R19,PrimeEntityFiller,PrimeEntityContextNeeded,Symbol,Bull2,3,3,4,0.02,151.75,7.246,0.824,Strong
