Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,TextCount,TopRegion,TopSite,TopSymbol,TopType,TopMaterial,Frames,SemanticFrames,ExampleTexts
176,R02,PrimeEntityFiller,StrongOnomasticAnchor,0.79,5,5,Lower Indus:4; Gujarat/Kutch:1,Mohenjo-daro:4; Lothal:1,Bull:4; Gaur:1,SEAL:5,Steatite:5,002|740:4; <START>|741:1,PrimeEntitySealFormula:4; TerminalFormula:1,L-46@Lothal/Gaur; M-127@Mohenjo-daro/Bull; M-963@Mohenjo-daro/Bull; M-1755@Mohenjo-daro/Bull; M-15@Mohenjo-daro/Bull
032-220,A07-A09,PrimeEntityFiller,StrongOnomasticAnchor,0.757,2,2,Lower Indus:1; Inter-Riverine:1,Mohenjo-daro:1; Harappa:1,Bull:2,SEAL:2,Faience:1; Clay:1,002|740:1; <START>|233:1,PrimeEntitySealFormula:1; TerminalFormula:1,M-1763@Mohenjo-daro/Bull; H-601@Harappa/Bull
590-390,A08-M02,PrimeEntityFiller,StrongOnomasticAnchor,0.737,3,3,Gujarat/Kutch:1; Lower Indus:1; Inter-Riverine:1,Dholavira:1; Mohenjo-daro:1; Harappa:1,Bull:2; Unknown:1,SEAL:3,Steatite:3,002|740:3,PrimeEntitySealFormula:3,-@Dholavira/Bull; M-851@Mohenjo-daro/Bull; H-1692@Harappa/Unknown
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,0.664,8,8,Inter-Riverine:7; Lower Indus:1,Harappa:7; Mohenjo-daro:1,Unknown:5; Bull:2; Elephant:1,TAB:7; SEAL:1,Unknown:4; Clay:2; Steatite:1; Faience:1,002|740:8,PrimeEntityAdministrativeFormula:7; PrimeEntitySealFormula:1,M-280@Mohenjo-daro/Elephant; H-806@Harappa/Unknown; H-807@Harappa/Unknown; H-808@Harappa/Unknown; H-1130@Harappa/Unknown; H-1131@Harappa/Unknown; H-2010@Harappa/Bull; H-2011@Harappa/Bull
235-222,M01-R31,PrimeEntityFiller,StrongOnomasticAnchor,0.623,3,3,Lower Indus:2; Other:1,Chanhu-daro:2; Unknown:1,Bull:3,SEAL:3,Steatite:2; Unknown:1,002|740:3,PrimeEntitySealFormula:3,C-53@Chanhu-daro/Bull; C-58@Chanhu-daro/Bull; -@Unknown/Bull
240-176,A02-R02,PrimeEntityFiller,StrongOnomasticAnchor,0.608,2,2,Lower Indus:1; Inter-Riverine:1,Mohenjo-daro:1; Harappa:1,Tigr:1; Bull:1,SEAL:2,Steatite:2,002|740:2,PrimeEntitySealFormula:2,M-289@Mohenjo-daro/Tigr; H-408@Harappa/Bull
235-840-032,M01-R10-A07,PrimeEntityFiller,StrongOnomasticAnchor,0.6,2,2,Lower Indus:1; Inter-Riverine:1,Mohenjo-daro:1; Harappa:1,Elephant:1; Bull:1,SEAL:2,Steatite:1; Unknown:1,002|740:2,PrimeEntitySealFormula:2,M-1152@Mohenjo-daro/Elephant; H-1048@Harappa/Bull
235,M01,InitialFiller,CrossFramePhoneticAnchor,0.931,28,28,Lower Indus:17; Inter-Riverine:8; Gujarat/Kutch:3,Mohenjo-daro:16; Harappa:8; Dholavira:2; Chanhu-daro:1; Lothal:1,Unknown:9; Bull:4; Gaur:3; Composite/Multiple:2; S590:2,SEAL:16; TAB:11; POT:1,Steatite:11; Unknown:6; Clay:5; Copper:4,<START>|240:13; <START>|233:9; <START>|520:5; 002|740:1,TerminalFormula:25; LowEvidenceSequence:2; PrimeEntitySealFormula:1,H-148@Harappa/Unknown; -@Dholavira/Bull; M-1917@Mohenjo-daro/Tigr; M-653@Mohenjo-daro/Bull; C-70@Chanhu-daro/Bull; L-111@Lothal/Unknown; H-141@Harappa/Unknown; M-1885@Mohenjo-daro/Gaur
520,T02,TerminalFiller,CrossFramePhoneticAnchor,0.886,21,21,Inter-Riverine:7; Lower Indus:6; Gujarat/Kutch:5; Eastern Headwaters:2,Mohenjo-daro:6; Harappa:6; Dholavira:4; Banawali:2; Rahman-deri:1,Unknown:7; Bull:7; Composite/Multiple:2; MISC:1; Ass:1,SEAL:11; TAB:6; TAG:3; POT:1,Steatite:10; Clay:6; Unknown:3; Bone:1,235|<END>:7; 233|<END>:6; 031|<END>:4; 001|<END>:2; 002|<END>:2,TerminalFormula:19; ClassifierSlotTerminalFormula:2,M-686@Mohenjo-daro/Unknown; -@Dholavira/Bull; Rhd-1@Rahman-deri/MISC; -@Kanmer/Ass; M-1827@Mohenjo-daro/Bull; M-1836@Mohenjo-daro/Bull; H-922@Harappa/Unknown; H-923@Harappa/Unknown
740,T01,TerminalFiller,CrossFramePhoneticAnchor,0.878,10,10,Lower Indus:5; Gujarat/Kutch:3; Inter-Riverine:2,Mohenjo-daro:5; Kalibangan:2; Surkotada:1; Lothal:1; Dholavira:1,Unknown:5; Gavial:2; Bull:2; Buff:1,SEAL:8; TAB:2,Steatite:5; Unknown:3; Terracotta:2,861|<END>:4; 817|<END>:2; 002|<END>:2; 060|<END>:1; 235|<END>:1,ClassifierSlotTerminalFormula:6; TerminalFormula:2; PrimeEntitySealFormula:1; PrimeEntityAdministrativeFormula:1,M-1346@Mohenjo-daro/Unknown; Sktd-2@Surkotada/Unknown; K-78@Kalibangan/Gavial; M-1960@Mohenjo-daro/Unknown; L-60@Lothal/Unknown; M-389@Mohenjo-daro/Unknown; K-157@Kalibangan/Gavial; M-1903@Mohenjo-daro/Buff
