Unit,TextId,CISI,Region,Site,Type,Symbol,Material,Complete,ReadingTokens,Frame,Position,SemanticFrame,ReconstructionConfidence,StructuralParse
032,228.1,-,Inter-Riverine,Harappa,TAB,Unknown,Steatite,Y,032-001-904-031-740,<START>|001,1-1,TerminalFormula,0.59,PRODUCTIVE_SLOT(<START>_001)[032] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[904-031-740]
032,112.1,C-29,Lower Indus,Chanhu-daro,SEAL,Unknown,Steatite,N,032-634-840-032-384-740-031-032,031|<END>,8-8,TerminalFormula,0.55,032:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(032_740)[634-840-032-384] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032,71.1,C-53,Lower Indus,Chanhu-daro,SEAL,Bull,Steatite,Y,861-002-235-222-740-031-032,031|<END>,7-7,PrimeEntitySealFormula,0.71,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032,74.1,C-58,Lower Indus,Chanhu-daro,SEAL,Bull,Steatite,Y,861-002-235-222-740-031-032,031|<END>,7-7,PrimeEntitySealFormula,0.71,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032,73.1,C-68,Lower Indus,Chanhu-daro,SEAL,Bull,Steatite,Y,713-791-740-031-032,031|<END>,5-5,TerminalFormula,0.53,713:SIGN | 791:SIGN | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032,72.1,C-76,Lower Indus,Chanhu-daro,SEAL,Gaur,Steatite,Y,456-741-740-530-032-850-031-032,031|<END>,8-8,TerminalFormula,0.67,PRODUCTIVE_SLOT(<START>_741)[456] | 741:SLOT_INITIAL_MODIFIER | 740:TERMINAL_TITLE_OR_SUFFIX | 530:SIGN | 032:SLOT_INITIAL_MODIFIER | 850:SIGN | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032,229.1,H-1312,Inter-Riverine,Harappa,TAB,Unknown,Steatite,Y,032-001-904-031-740,<START>|001,1-1,TerminalFormula,0.59,PRODUCTIVE_SLOT(<START>_001)[032] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[904-031-740]
032,2212.1,M-165,Lower Indus,Mohenjo-daro,SEAL,Bull,Steatite,Y,032-390-741-001-760-740-194-740-817,<START>|390,1-1,ClassifierSlotTerminalFormula,0.71,PRODUCTIVE_SLOT(<START>_390)[032] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[760-740-194-740-817]
032,3993.1,M-1835,Lower Indus,Mohenjo-daro,SEAL,Bull,-,Y,032-390-001-004-900-154,<START>|390,1-1,LowEvidenceSequence,0.61,PRODUCTIVE_SLOT(<START>_390)[032] | 390:CLOSING_FORMULA_MARKER | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[004-900-154]
032,2461.1,M-1853,Lower Indus,Mohenjo-daro,SEAL,Bull,Steatite,Y,005-140-820-032,820|<END>,4-4,InitialClassifierFormula,0.53,005:SIGN | 140:LEADING_FORMULA_MARKER | 820:INITIAL_TITLE_OR_CLASSIFIER | PRODUCTIVE_SLOT(820_<END>)[032]
032-220,1544.1,H-601,Inter-Riverine,Harappa,SEAL,Bull,Clay,Y,032-220-233-717-740,<START>|233,1-2,TerminalFormula,0.58,PRODUCTIVE_SLOT(<START>_233)[032-220] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[717-740]
032-220,2313.1,M-1763,Lower Indus,Mohenjo-daro,SEAL,Bull,Faience,Y,861-002-032-220-740-565-001-416,002|740,3-4,PrimeEntitySealFormula,0.64,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[032-220] | 740:TERMINAL_TITLE_OR_SUFFIX | 565:SIGN | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[416]
140,775.1,H-1666,Inter-Riverine,Harappa,SEAL,Bull,Steatite,Y,140-741-097-161,<START>|741,1-1,LowEvidenceSequence,0.61,PRODUCTIVE_SLOT(<START>_741)[140] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[097-161]
140,371.2,H-1771,Inter-Riverine,Harappa,TAB,Goat:4,Faience,Y,140-001-031-740,<START>|001,1-1,TerminalFormula,0.63,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740]
140,400.2,H-1772,Inter-Riverine,Harappa,TAB,Goat:4,Faience,Y,140-001-031-740,<START>|001,1-1,TerminalFormula,0.63,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740]
140,383.2,H-1773,Inter-Riverine,Harappa,TAB,Goat:4,Faience,Y,140-001-031-740,<START>|001,1-1,TerminalFormula,0.63,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740]
140,3485.1,M-1114,Lower Indus,Mohenjo-daro,SEAL,Zebu,Steatite,Y,920-060-741-002-140-740,002|740,5-5,PrimeEntitySealFormula,0.75,PRODUCTIVE_SLOT(<START>_741)[920-060] | 741:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[140] | 740:TERMINAL_TITLE_OR_SUFFIX
140,2579.1,M-51,Lower Indus,Mohenjo-daro,SEAL,Bull,Steatite,Y,140-390-741-235-350-460-798-740,<START>|390,1-1,TerminalFormula,0.71,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[235-350-460-798-740]
140,3134.1,M-708,Lower Indus,Mohenjo-daro,SEAL,Bull,Steatite,Y,140-390-002-061-740,<START>|390,1-1,PrimeEntitySealFormula,0.74,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[061] | 740:TERMINAL_TITLE_OR_SUFFIX
176,2017.1,L-46,Gujarat/Kutch,Lothal,SEAL,Gaur,Steatite,Y,392-861-002-176-740-233-388-527,002|740,4-4,PrimeEntitySealFormula,0.71,392:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[388-527]
176,2654.1,M-127,Lower Indus,Mohenjo-daro,SEAL,Bull,Steatite,Y,176-741-220-740-565,<START>|741,1-1,TerminalFormula,0.61,PRODUCTIVE_SLOT(<START>_741)[176] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[220-740-565]
176,2543.1,M-15,Lower Indus,Mohenjo-daro,SEAL,Bull,Steatite,Y,861-002-176-740-090,002|740,3-3,PrimeEntitySealFormula,0.53,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER
176,2323.1,M-1755,Lower Indus,Mohenjo-daro,SEAL,Bull,Steatite,Y,861-002-176-740,002|740,3-3,PrimeEntitySealFormula,0.53,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX
