TextId,CISI,Region,Site,Type,Symbol,Material,Complete,Direction,Position,TextLength,OccurrenceRole,Before,After,LocalFrame,ReadingTokens,RawText
62.1,C-65,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,N,R/L,5,6,Medial,220,100,220|100,861-002-032-220-240-100,+000-100-240-220-032-002-861+
63.1,C-64,Lower Indus,Chanhu-daro,SEAL:S,Bull1:J,Steatite,N,R/L,1,5,Initial,<START>,705,<START>|705,240-705-033-838-220,]000-220-838-033-705-240+
70.1,C-70,Lower Indus,Chanhu-daro,SEAL:S,Bull1:II,Steatite,Y,R/L,2,6,Medial,235,740,235|740,235-240-740-151-031-032,+032-031/151-740-240-235+
77.1,C-51,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,1,4,Initial,<START>,100,<START>|100,240-100-740-151,+151-740-100-240+
81.1,C-78,Lower Indus,Chanhu-daro,SEAL:S,,Steatite,Y,R/L,3,5,Medial,002,636,002|636,817-002-240-636-740,+740-636-240/002-817+
95.1,C-7,Lower Indus,Chanhu-daro,SEAL:S,Bull,Steatite,N,R/L,3,6,Medial,798,705,798|705,002-798-240-705-033-520,+520-033-705-240-798-002-000[
97.1,C-9,Lower Indus,Chanhu-daro,SEAL:S,Bull1:J,Steatite,Y,R/L,1,6,Initial,<START>,705,<START>|705,240-705-033-803-233-151,+151-233-803-033-705-240+
99.1,C-11,Lower Indus,Chanhu-daro,SEAL:S,Bull1:I,Steatite,Y,R/L,4,8,Medial,001,232,001|232,920-060-001-240-232-140-615-590,+590-615-140/232-240-001-060-920+
121.2,C-40,Lower Indus,Chanhu-daro,IMPL,,Copper,N,R/L,5,7,Medial,235,835,235|835,066-900-031-235-240-835-740,+740-000-835-240-235-031-900-066+
123.1,Dlp-1,Gujarat/Kutch,Desalpur,SEAL:R,,-,Y,R/L,3,7,Medial,013,233,013|233,817-013-240-233-324-920-740,+740-920-324-233-240-013-817+
149.1,-,Eastern Headwaters,Farmana,SEAL:S,Bull1,Steatite,Y,L/R,2,2,Final,220,<END>,220|<END>,220-240,+240-220+
