StemSign,StemRole,Post240Class,StemScore,TotalCount,OP240Count,BareCount,TextCount,TopForms,TopFrame,TopFrameShare,Frames,Sites,Symbols,SemanticFrames,ValidationScore,ValidationStatuses,Examples
482,PHONETIC_READY_OP240_STEM,ROOT_OR_UNRESOLVED,1.000,18,16,2,9,240-482:8; 240-482-740:8; 482:1; 482-740:1,002|740,0.500,002|740:9; 002|<END>:9,Harappa:14; Lothal:2; Mohenjo-daro:2,Bull1:6; Elep:2,PrimeEntityAdministrativeFormula:16; PrimeEntitySealFormula:2,0.819,Morphology probe:5; Morphology constraint:4; Hold for more occurrences:4; Phonetic-ready after image check:2; Terminal probe:1,H-2010; H-2011; H-806; H-807; H-808; L-207; M-280; H-1130
904,PHONETIC_READY_OP240_STEM,ROOT_OR_UNRESOLVED,1.000,11,6,5,6,240-904:3; 240-904-740:3; 904:2; 904-740:1; 904-740-032-820:1; 904-832-001:1,002|<END>,0.545,002|<END>:6; 002|740:5,Harappa:6; Mohenjo-daro:4; Dholavira:1,Bull2:6,PrimeEntityAdministrativeFormula:8; PrimeEntitySealFormula:2; InitialClassifierFormula:1,0.819,Phonetic-ready after image check:2,-; H-697; M-1137; H-1100; M-2087
176,OP240_BARE_BRIDGE_STEM,ROOT_OR_UNRESOLVED,0.898,38,4,34,19,176:10; 176-740:3; 176-740-335:2; 176-740-335-740-317:2; 240-176:2; 240-176-740:2,002|740,0.500,002|740:19; 002|<END>:19,Mohenjo-daro:25; Harappa:9; Kalibangan:2; Lothal:2,Bull1:W:10; Gaur:3; Bull1:S:2; Bull1:L:2; Tigr:2,PrimeEntitySealFormula:24; PrimeEntityAdministrativeFormula:12; LowEvidenceSequence:1; ClassifierSlotTerminalFormula:1,0.822,Stem-semantic probe:4; Hold for more occurrences:3; Morphology constraint:2; Morphology probe:2,H-2016; H-408; H-464; H-811; K-44; L-46; M-2060; M-1880
415,OP240_BARE_BRIDGE_CANDIDATE,ROOT_OR_UNRESOLVED,0.620,31,8,23,18,415-100:7; 415-100-740:6; 240-415-100:4; 240-415-100-740:2; 240-415-100-740-090:2; 415-390:1,002|<END>,0.581,002|<END>:18; 002|740:13,Mohenjo-daro:28; Harappa:2; Lothal:1,Bull1:S:8; Bull1:W:6; Bull1:J:5; Bull1:L:4; Bull1:2,PrimeEntitySealFormula:26; LowEvidenceSequence:2; TerminalFormula:2; ClassifierSlotTerminalFormula:1,0.000,,H-31; L-145; M-1696; M-1746; M-109; M-144; M-154; M-199
017,OP240_BARE_BRIDGE_CANDIDATE,ROOT_OR_UNRESOLVED,0.508,18,2,16,10,017-585:4; 017-585-740:4; 017-575:2; 017-390:1; 240-017-585:1; 240-017-585-740:1,002|<END>,0.556,002|<END>:10; 002|740:8,Mohenjo-daro:10; Harappa:5; Kalibangan:2; Dholavira:1,Bull1:W:4; Bull1:I:3; Bull1:2; Bull1:V:2; Bull1:J:2,PrimeEntitySealFormula:16; LowEvidenceSequence:2,0.000,,H-3; H-82; H-272; K-2; M-1708; M-728; M-776; M-792
231,OP240_BARE_BRIDGE_CANDIDATE,ROOT_OR_UNRESOLVED,0.489,22,1,21,17,231-520:3; 231:2; 231-798:2; 231-798-740:2; 231-555-527:1; 231-233-798:1,002|<END>,0.773,002|<END>:17; 002|740:5,Mohenjo-daro:15; Harappa:2; Kalibangan:2; Dholavira:2; Lothal:1,Bull1:W:6; Bull1:6; Bull1:J:2; Bull1:S:2; Zebu:2,PrimeEntitySealFormula:10; ClassifierSlotTerminalFormula:4; InitialClassifierFormula:3; LowEvidenceSequence:3; TerminalFormula:2,0.000,,H-459; H-609; K-25; L-82; M-1674; M-1860; M-4; M-35
840,OP240_BARE_BRIDGE_CANDIDATE,ROOT_OR_UNRESOLVED,0.458,12,2,10,7,840-032:4; 840-032-740:3; 840-032-844-405:1; 840:1; 840-740:1; 240-840-032:1,002|<END>,0.583,002|<END>:7; 002|740:5,Harappa:4; Mohenjo-daro:4; Chanhu-daro:2; Bakkar Buthi:1; Dholavira:1,Bull1:W:2; Xhch:2; Bull1:S:2; Scene:2; Bull1:1,PrimeEntityAdministrativeFormula:6; PrimeEntitySealFormula:4; InitialClassifierFormula:1; LowEvidenceSequence:1,0.000,,-; C-57; H-844; H-904; M-1759; M-454
048,BARE_PRIME_STEM_CONTROL,ROOT_OR_UNRESOLVED,0.443,23,0,23,12,048:12; 048-740:11,002|<END>,0.522,002|<END>:12; 002|740:11,Lothal:21; Mohenjo-daro:2,Elep:20; Bull1:2,PrimeEntityAdministrativeFormula:20; PrimeEntitySealFormula:2; InitialClassifierFormula:1,0.822,Stem-semantic probe:2,L-84; L-161; L-162; L-163; L-164; L-165; L-166; L-167
061,BARE_PRIME_STEM_CONTROL,ROOT_OR_UNRESOLVED,0.432,30,0,30,17,061:9; 061-740:7; 061-702:2; 061-702-740:2; 061-142:2; 061-142-740:2,002|<END>,0.567,002|<END>:17; 002|740:13,Mohenjo-daro:21; Harappa:6; Unknown:2; Bala-kot:1,Bull1:S:7; Bull1:I:4; Bull1:W:3; Bull1:X:2; T-A-T:2,PrimeEntitySealFormula:20; PrimeEntityAdministrativeFormula:6; LowEvidenceSequence:2; InitialClassifierFormula:1; ClassifierSlotTerminalFormula:1,0.750,Stem-semantic probe:1,Blk-2; H-1865; H-1671; H-2338; M-1772; M-1787; M-164; M-204
350,OP240_BARE_BRIDGE_CANDIDATE,ROOT_OR_UNRESOLVED,0.426,11,1,10,9,350-001:1; 350-543:1; 350-460-798:1; 350-460-798-740:1; 240-350-504:1; 350-463-798:1,002|<END>,0.545,002|<END>:6; 002|740:5,Mohenjo-daro:9; Kalibangan:2,Bull1:3; Gaur:2; Bull1:S:2; Bull1:J:2; Elep:1,PrimeEntitySealFormula:6; LowEvidenceSequence:2; InitialClassifierFormula:1; ClassifierSlotTerminalFormula:1; TerminalFormula:1,0.000,,K-89; M-235; M-92; M-285; M-665; M-732; M-849; M-1085
