InitialSign,TotalCount,FrameCount,DistinctRemainders,DistinctFillers,SiteCount,DominantFrame,DominantFrameShare,RoleLead
002,444,13,306,307,16,861|<END>,0.3198,HIGH_REUSE_INITIAL_MODIFIER
240,255,15,110,111,10,002|<END>,0.3176,HIGH_REUSE_INITIAL_MODIFIER
032,162,18,96,97,12,002|<END>,0.2901,HIGH_REUSE_INITIAL_MODIFIER
235,125,14,75,76,9,002|<END>,0.264,HIGH_REUSE_INITIAL_MODIFIER
220,119,16,75,76,10,032|740,0.3025,HIGH_REUSE_INITIAL_MODIFIER
741,73,9,66,67,8,060|<END>,0.5205,HIGH_REUSE_INITIAL_MODIFIER
031,88,16,62,63,9,002|<END>,0.2386,HIGH_REUSE_INITIAL_MODIFIER
233,84,10,58,59,7,235|<END>,0.2619,HIGH_REUSE_INITIAL_MODIFIER
803,87,15,50,51,8,002|<END>,0.2989,HIGH_REUSE_INITIAL_MODIFIER
820,84,10,49,50,9,<START>|001,0.25,HIGH_REUSE_INITIAL_MODIFIER
003,90,15,43,44,12,002|<END>,0.3333,HIGH_REUSE_INITIAL_MODIFIER
861,80,11,40,41,7,<START>|240,0.3125,HIGH_REUSE_INITIAL_MODIFIER
060,43,7,39,40,6,820|<END>,0.5581,HIGH_REUSE_INITIAL_MODIFIER
001,55,10,38,39,6,820|<END>,0.2727,HIGH_REUSE_INITIAL_MODIFIER
705,95,12,37,38,6,233|<END>,0.2105,HIGH_REUSE_INITIAL_MODIFIER
798,60,13,33,34,5,002|<END>,0.2,HIGH_REUSE_INITIAL_MODIFIER
817,59,5,31,31,7,<START>|390,0.2542,HIGH_REUSE_INITIAL_MODIFIER
231,49,10,26,27,5,002|<END>,0.3265,HIGH_REUSE_INITIAL_MODIFIER
176,72,13,24,25,7,002|740,0.2361,HIGH_REUSE_INITIAL_MODIFIER
806,42,9,24,25,3,002|<END>,0.3095,HIGH_REUSE_INITIAL_MODIFIER
920,68,10,23,24,8,<START>|741,0.5735,HIGH_REUSE_INITIAL_MODIFIER
368,41,9,23,24,5,817|<END>,0.4878,HIGH_REUSE_INITIAL_MODIFIER
140,34,12,23,24,5,002|<END>,0.2353,HIGH_REUSE_INITIAL_MODIFIER
415,63,14,22,23,8,<START>|520,0.3333,HIGH_REUSE_INITIAL_MODIFIER
590,88,15,20,21,8,235|<END>,0.1932,HIGH_REUSE_INITIAL_MODIFIER
740,60,12,17,18,10,861|<END>,0.1833,POSSIBLE_PREFIX_OR_CLASSIFIER
350,22,8,17,18,4,002|<END>,0.2273,POSSIBLE_PREFIX_OR_CLASSIFIER
061,41,6,16,17,5,002|<END>,0.4146,POSSIBLE_PREFIX_OR_CLASSIFIER
503,22,10,16,17,3,002|740,0.3182,POSSIBLE_PREFIX_OR_CLASSIFIER
017,33,11,15,16,5,002|<END>,0.2727,POSSIBLE_PREFIX_OR_CLASSIFIER
706,28,9,15,16,3,233|<END>,0.1786,POSSIBLE_PREFIX_OR_CLASSIFIER
013,16,8,15,16,7,817|<END>,0.25,POSSIBLE_PREFIX_OR_CLASSIFIER
125,22,10,14,15,7,<START>|741,0.2727,POSSIBLE_PREFIX_OR_CLASSIFIER
033,22,10,13,14,8,<START>|520,0.2273,POSSIBLE_PREFIX_OR_CLASSIFIER
575,16,7,13,14,3,<START>|741,0.25,POSSIBLE_PREFIX_OR_CLASSIFIER
