Frame,FillerA,CountA,FillerB,CountB,Relation,CombinedCount,Lead
001|<END>,760-740,4,031-740,3,Substitution@1:760>031,7,MinimalAlternation
001|<END>,354,3,416,3,Substitution@1:354>416,6,MinimalAlternation
001|<END>,354,3,520,3,Substitution@1:354>520,6,MinimalAlternation
001|<END>,354,3,821,3,Substitution@1:354>821,6,MinimalAlternation
001|<END>,416,3,520,3,Substitution@1:416>520,6,MinimalAlternation
001|<END>,416,3,821,3,Substitution@1:416>821,6,MinimalAlternation
001|<END>,520,3,821,3,Substitution@1:520>821,6,MinimalAlternation
001|<END>,760-740,4,061-740,2,Substitution@1:760>061,6,MinimalAlternation
001|<END>,760-740,4,176-740,2,Substitution@1:760>176,6,MinimalAlternation
001|<END>,760-740,4,752-740,2,Substitution@1:760>752,6,MinimalAlternation
001|<END>,031-740,3,904-031-740,2,PrefixAddition:904,5,MinimalAlternation
001|<END>,031-740,3,061-740,2,Substitution@1:031>061,5,MinimalAlternation
001|<END>,031-740,3,176-740,2,Substitution@1:031>176,5,MinimalAlternation
001|<END>,031-740,3,752-740,2,Substitution@1:031>752,5,MinimalAlternation
001|<END>,354,3,003,2,Substitution@1:354>003,5,MinimalAlternation
001|<END>,354,3,090,2,Substitution@1:354>090,5,MinimalAlternation
001|<END>,354,3,100,2,Substitution@1:354>100,5,MinimalAlternation
001|<END>,354,3,215,2,Substitution@1:354>215,5,MinimalAlternation
001|<END>,354,3,353,2,Substitution@1:354>353,5,MinimalAlternation
001|<END>,354,3,435,2,Substitution@1:354>435,5,MinimalAlternation
001|<END>,416,3,003,2,Substitution@1:416>003,5,MinimalAlternation
001|<END>,416,3,090,2,Substitution@1:416>090,5,MinimalAlternation
001|<END>,416,3,100,2,Substitution@1:416>100,5,MinimalAlternation
001|<END>,416,3,215,2,Substitution@1:416>215,5,MinimalAlternation
001|<END>,416,3,353,2,Substitution@1:416>353,5,MinimalAlternation
001|<END>,416,3,435,2,Substitution@1:416>435,5,MinimalAlternation
001|<END>,520,3,003,2,Substitution@1:520>003,5,MinimalAlternation
001|<END>,520,3,090,2,Substitution@1:520>090,5,MinimalAlternation
001|<END>,520,3,100,2,Substitution@1:520>100,5,MinimalAlternation
001|<END>,520,3,215,2,Substitution@1:520>215,5,MinimalAlternation
001|<END>,520,3,353,2,Substitution@1:520>353,5,MinimalAlternation
001|<END>,520,3,435,2,Substitution@1:520>435,5,MinimalAlternation
001|<END>,821,3,003,2,Substitution@1:821>003,5,MinimalAlternation
001|<END>,821,3,090,2,Substitution@1:821>090,5,MinimalAlternation
001|<END>,821,3,100,2,Substitution@1:821>100,5,MinimalAlternation
001|<END>,821,3,215,2,Substitution@1:821>215,5,MinimalAlternation
001|<END>,821,3,353,2,Substitution@1:821>353,5,MinimalAlternation
001|<END>,821,3,435,2,Substitution@1:821>435,5,MinimalAlternation
001|<END>,003,2,090,2,Substitution@1:003>090,4,MinimalAlternation
001|<END>,003,2,100,2,Substitution@1:003>100,4,MinimalAlternation
001|<END>,003,2,215,2,Substitution@1:003>215,4,MinimalAlternation
001|<END>,003,2,353,2,Substitution@1:003>353,4,MinimalAlternation
001|<END>,003,2,435,2,Substitution@1:003>435,4,MinimalAlternation
001|<END>,061-740,2,176-740,2,Substitution@1:061>176,4,MinimalAlternation
001|<END>,061-740,2,752-740,2,Substitution@1:061>752,4,MinimalAlternation
001|<END>,090,2,100,2,Substitution@1:090>100,4,MinimalAlternation
001|<END>,090,2,215,2,Substitution@1:090>215,4,MinimalAlternation
001|<END>,090,2,353,2,Substitution@1:090>353,4,MinimalAlternation
001|<END>,090,2,435,2,Substitution@1:090>435,4,MinimalAlternation
001|<END>,100,2,215,2,Substitution@1:100>215,4,MinimalAlternation
001|<END>,100,2,353,2,Substitution@1:100>353,4,MinimalAlternation
001|<END>,100,2,435,2,Substitution@1:100>435,4,MinimalAlternation
001|<END>,176-740,2,752-740,2,Substitution@1:176>752,4,MinimalAlternation
001|<END>,215,2,353,2,Substitution@1:215>353,4,MinimalAlternation
001|<END>,215,2,435,2,Substitution@1:215>435,4,MinimalAlternation
001|<END>,353,2,435,2,Substitution@1:353>435,4,MinimalAlternation
001|<END>,003,2,003-423,2,SuffixAddition:423,4,MinimalAlternation
002|740,048,11,176,9,Substitution@1:048>176,20,MinimalAlternation
002|740,048,11,061,8,Substitution@1:048>061,19,MinimalAlternation
002|740,176,9,061,8,Substitution@1:176>061,17,MinimalAlternation
002|740,048,11,222,3,Substitution@1:048>222,14,MinimalAlternation
002|740,048,11,384,3,Substitution@1:048>384,14,MinimalAlternation
002|740,048,11,519,3,Substitution@1:048>519,14,MinimalAlternation
002|740,048,11,016,2,Substitution@1:048>016,13,MinimalAlternation
002|740,048,11,100,2,Substitution@1:048>100,13,MinimalAlternation
002|740,048,11,101,2,Substitution@1:048>101,13,MinimalAlternation
002|740,048,11,240,2,Substitution@1:048>240,13,MinimalAlternation
002|740,048,11,335,2,Substitution@1:048>335,13,MinimalAlternation
002|740,048,11,540,2,Substitution@1:048>540,13,MinimalAlternation
002|740,048,11,760,2,Substitution@1:048>760,13,MinimalAlternation
002|740,048,11,772,2,Substitution@1:048>772,13,MinimalAlternation
002|740,048,11,798,2,Substitution@1:048>798,13,MinimalAlternation
002|740,048,11,904,2,Substitution@1:048>904,13,MinimalAlternation
002|740,176,9,222,3,Substitution@1:176>222,12,MinimalAlternation
002|740,176,9,384,3,Substitution@1:176>384,12,MinimalAlternation
002|740,176,9,519,3,Substitution@1:176>519,12,MinimalAlternation
002|740,176,9,240-176,2,PrefixAddition:240,11,MinimalAlternation
002|740,415-100,7,240-415-100,4,PrefixAddition:240,11,MinimalAlternation
002|740,061,8,222,3,Substitution@1:061>222,11,MinimalAlternation
002|740,061,8,384,3,Substitution@1:061>384,11,MinimalAlternation
002|740,061,8,519,3,Substitution@1:061>519,11,MinimalAlternation
002|740,176,9,016,2,Substitution@1:176>016,11,MinimalAlternation
002|740,176,9,100,2,Substitution@1:176>100,11,MinimalAlternation
002|740,176,9,101,2,Substitution@1:176>101,11,MinimalAlternation
002|740,176,9,240,2,Substitution@1:176>240,11,MinimalAlternation
002|740,176,9,335,2,Substitution@1:176>335,11,MinimalAlternation
002|740,176,9,540,2,Substitution@1:176>540,11,MinimalAlternation
002|740,176,9,760,2,Substitution@1:176>760,11,MinimalAlternation
002|740,176,9,772,2,Substitution@1:176>772,11,MinimalAlternation
002|740,176,9,798,2,Substitution@1:176>798,11,MinimalAlternation
002|740,176,9,904,2,Substitution@1:176>904,11,MinimalAlternation
002|740,240-482,8,240-904,3,Substitution@2:482>904,11,MinimalAlternation
002|740,176,9,176-100,2,SuffixAddition:100,11,MinimalAlternation
002|740,061,8,016,2,Substitution@1:061>016,10,MinimalAlternation
002|740,061,8,100,2,Substitution@1:061>100,10,MinimalAlternation
002|740,061,8,101,2,Substitution@1:061>101,10,MinimalAlternation
002|740,061,8,240,2,Substitution@1:061>240,10,MinimalAlternation
002|740,061,8,335,2,Substitution@1:061>335,10,MinimalAlternation
002|740,061,8,540,2,Substitution@1:061>540,10,MinimalAlternation
002|740,061,8,760,2,Substitution@1:061>760,10,MinimalAlternation
002|740,061,8,772,2,Substitution@1:061>772,10,MinimalAlternation
002|740,061,8,798,2,Substitution@1:061>798,10,MinimalAlternation
002|740,061,8,904,2,Substitution@1:061>904,10,MinimalAlternation
002|740,240-482,8,240-176,2,Substitution@2:482>176,10,MinimalAlternation
002|740,240-482,8,240-773,2,Substitution@2:482>773,10,MinimalAlternation
002|740,061,8,061-142,2,SuffixAddition:142,10,MinimalAlternation
002|740,061,8,061-702,2,SuffixAddition:702,10,MinimalAlternation
002|740,240-482,8,240,2,SuffixDeletion:482,10,MinimalAlternation
002|740,415-100,7,100,2,PrefixDeletion:415,9,MinimalAlternation
002|740,415-100,7,176-100,2,Substitution@1:415>176,9,MinimalAlternation
002|740,590-390,5,235-590-390,2,PrefixAddition:235,7,MinimalAlternation
002|740,222,3,235-222,3,PrefixAddition:235,6,MinimalAlternation
002|740,222,3,384,3,Substitution@1:222>384,6,MinimalAlternation
002|740,222,3,519,3,Substitution@1:222>519,6,MinimalAlternation
002|740,384,3,519,3,Substitution@1:384>519,6,MinimalAlternation
002|740,017-585,4,017-575,2,Substitution@2:585>575,6,MinimalAlternation
002|740,840-032,3,235-840-032,2,PrefixAddition:235,5,MinimalAlternation
002|740,032-760,3,760,2,PrefixDeletion:032,5,MinimalAlternation
002|740,240-904,3,904,2,PrefixDeletion:240,5,MinimalAlternation
002|740,032-760,3,235-760,2,Substitution@1:032>235,5,MinimalAlternation
002|740,032-760,3,440-760,2,Substitution@1:032>440,5,MinimalAlternation
002|740,032-760,3,605-760,2,Substitution@1:032>605,5,MinimalAlternation
002|740,222,3,016,2,Substitution@1:222>016,5,MinimalAlternation
002|740,222,3,100,2,Substitution@1:222>100,5,MinimalAlternation
002|740,222,3,101,2,Substitution@1:222>101,5,MinimalAlternation
002|740,222,3,240,2,Substitution@1:222>240,5,MinimalAlternation
002|740,222,3,335,2,Substitution@1:222>335,5,MinimalAlternation
002|740,222,3,540,2,Substitution@1:222>540,5,MinimalAlternation
002|740,222,3,760,2,Substitution@1:222>760,5,MinimalAlternation
002|740,222,3,772,2,Substitution@1:222>772,5,MinimalAlternation
002|740,222,3,798,2,Substitution@1:222>798,5,MinimalAlternation
002|740,222,3,904,2,Substitution@1:222>904,5,MinimalAlternation
002|740,384,3,016,2,Substitution@1:384>016,5,MinimalAlternation
002|740,384,3,100,2,Substitution@1:384>100,5,MinimalAlternation
002|740,384,3,101,2,Substitution@1:384>101,5,MinimalAlternation
002|740,384,3,240,2,Substitution@1:384>240,5,MinimalAlternation
002|740,384,3,335,2,Substitution@1:384>335,5,MinimalAlternation
002|740,384,3,540,2,Substitution@1:384>540,5,MinimalAlternation
002|740,384,3,760,2,Substitution@1:384>760,5,MinimalAlternation
002|740,384,3,772,2,Substitution@1:384>772,5,MinimalAlternation
002|740,384,3,798,2,Substitution@1:384>798,5,MinimalAlternation
002|740,384,3,904,2,Substitution@1:384>904,5,MinimalAlternation
002|740,519,3,016,2,Substitution@1:519>016,5,MinimalAlternation
002|740,519,3,100,2,Substitution@1:519>100,5,MinimalAlternation
002|740,519,3,101,2,Substitution@1:519>101,5,MinimalAlternation
002|740,519,3,240,2,Substitution@1:519>240,5,MinimalAlternation
002|740,519,3,335,2,Substitution@1:519>335,5,MinimalAlternation
002|740,519,3,540,2,Substitution@1:519>540,5,MinimalAlternation
002|740,519,3,760,2,Substitution@1:519>760,5,MinimalAlternation
002|740,519,3,772,2,Substitution@1:519>772,5,MinimalAlternation
002|740,519,3,798,2,Substitution@1:519>798,5,MinimalAlternation
002|740,519,3,904,2,Substitution@1:519>904,5,MinimalAlternation
002|740,235-222,3,235-760,2,Substitution@2:222>760,5,MinimalAlternation
002|740,032-760,3,032-205,2,Substitution@2:760>205,5,MinimalAlternation
002|740,240-904,3,240-176,2,Substitution@2:904>176,5,MinimalAlternation
002|740,240-904,3,240-773,2,Substitution@2:904>773,5,MinimalAlternation
002|740,240-904,3,240,2,SuffixDeletion:904,5,MinimalAlternation
002|740,100,2,176-100,2,PrefixAddition:176,4,MinimalAlternation
002|740,798,2,803-798,2,PrefixAddition:803,4,MinimalAlternation
002|740,231-798,2,798,2,PrefixDeletion:231,4,MinimalAlternation
002|740,235-760,2,760,2,PrefixDeletion:235,4,MinimalAlternation
002|740,440-760,2,760,2,PrefixDeletion:440,4,MinimalAlternation
002|740,605-760,2,760,2,PrefixDeletion:605,4,MinimalAlternation
002|740,003-900,2,005-900,2,Substitution@1:003>005,4,MinimalAlternation
002|740,016,2,100,2,Substitution@1:016>100,4,MinimalAlternation
002|740,016,2,101,2,Substitution@1:016>101,4,MinimalAlternation
002|740,016,2,240,2,Substitution@1:016>240,4,MinimalAlternation
002|740,016,2,335,2,Substitution@1:016>335,4,MinimalAlternation
002|740,016,2,540,2,Substitution@1:016>540,4,MinimalAlternation
002|740,016,2,760,2,Substitution@1:016>760,4,MinimalAlternation
002|740,016,2,772,2,Substitution@1:016>772,4,MinimalAlternation
002|740,016,2,798,2,Substitution@1:016>798,4,MinimalAlternation
002|740,016,2,904,2,Substitution@1:016>904,4,MinimalAlternation
002|740,100,2,101,2,Substitution@1:100>101,4,MinimalAlternation
002|740,100,2,240,2,Substitution@1:100>240,4,MinimalAlternation
002|740,100,2,335,2,Substitution@1:100>335,4,MinimalAlternation
002|740,100,2,540,2,Substitution@1:100>540,4,MinimalAlternation
002|740,100,2,760,2,Substitution@1:100>760,4,MinimalAlternation
002|740,100,2,772,2,Substitution@1:100>772,4,MinimalAlternation
002|740,100,2,798,2,Substitution@1:100>798,4,MinimalAlternation
002|740,100,2,904,2,Substitution@1:100>904,4,MinimalAlternation
002|740,101,2,240,2,Substitution@1:101>240,4,MinimalAlternation
002|740,101,2,335,2,Substitution@1:101>335,4,MinimalAlternation
