Frame,Left,Right,Filler,FillerLength,Count,TextCount,SiteCount,RegionCount,TypeCount,FirstSign,FinalSign,StemMinusFinal,RestAfterInitial,DominantSite,DominantSiteShare,DominantRegion,DominantRegionShare,DominantType,DominantTypeShare,DominantSymbol,DominantSymbolShare,SealPct,CompletePct,Examples
001|<END>,001,<END>,055-220-740-090,4,11,11,1,1,3,055,090,055-220-740,220-740-090,Lothal,1.0,Gujarat/Kutch,1.0,TAG:L,0.4545,Bull1,1.0,0.0,1.0,2068.1/L-124/Lothal; 2069.1/L-125/Lothal; 2070.1/L-126/Lothal; 2071.1/L-128/Lothal; 2072.1/L-129/Lothal
001|<END>,001,<END>,142-617,2,7,7,1,1,3,142,617,142,617,Mohenjo-daro,1.0,Lower Indus,1.0,TAB:C,0.7143,Bull1:W,0.6667,0.2857,0.7143,278.1/M-592/Mohenjo-daro; 2994.1/M-519/Mohenjo-daro; 2995.1/M-520/Mohenjo-daro; 3044.1/M-574/Mohenjo-daro; 3374.1/M-981/Mohenjo-daro
001|<END>,001,<END>,004-407,2,4,4,2,2,3,004,407,004,407,Mohenjo-daro,0.75,Lower Indus,0.75,SEAL:R,0.5,Bull1:W,1.0,0.75,1.0,1422.1/H-420/Harappa; 3569.1/M-1262/Mohenjo-daro; 3615.1/M-1310/Mohenjo-daro; 3735.1/M-1458/Mohenjo-daro
001|<END>,001,<END>,760-740,2,4,4,2,2,1,760,740,760,740,Mohenjo-daro,0.75,Lower Indus,0.75,SEAL:S,1.0,Bull1:W,0.5,1.0,1.0,2377.1/M-707/Mohenjo-daro; 3181.1/M-758/Mohenjo-daro; 3908.1/M-1670/Mohenjo-daro; 4162.1/-/Dholavira
001|<END>,001,<END>,031-740,2,3,3,1,1,1,031,740,031,740,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,Goat:4,1.0,0.0,1.0,371.2/H-1771/Harappa; 383.2/H-1773/Harappa; 400.2/H-1772/Harappa
001|<END>,001,<END>,354,1,3,3,3,3,2,354,354,,,Harappa,0.3333,Inter-Riverine,0.3333,SEAL:R,0.6667,Bull1:W,1.0,1.0,0.3333,1069.1/H-8/Harappa; 3645.1/M-1340/Mohenjo-daro; 4895.1/-/Khirsara
001|<END>,001,<END>,416,1,3,3,1,1,2,416,416,,,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:R,0.6667,Bull1:W,1.0,1.0,1.0,2313.1/M-1763/Mohenjo-daro; 3574.1/M-1267/Mohenjo-daro; 3589.1/M-1284/Mohenjo-daro
001|<END>,001,<END>,520,1,3,3,2,2,2,520,520,,,Banawali,0.6667,Eastern Headwaters,0.6667,SEAL:S,0.6667,Goat:3,0.5,0.6667,0.6667,26.1/-/Banawali; 164.1/H-1507/Harappa; 5441.1/-/Banawali
001|<END>,001,<END>,821,1,3,3,1,1,1,821,821,,,Mohenjo-daro,1.0,Lower Indus,1.0,IMPL,1.0,,0.0,0.0,1.0,2362.1/M-2121/Mohenjo-daro; 2368.1/-/Mohenjo-daro; 2370.1/M-2118/Mohenjo-daro
001|<END>,001,<END>,003,1,2,2,2,2,2,003,003,,,Harappa,0.5,Inter-Riverine,0.5,SEAL:S,0.5,Bull1,1.0,1.0,0.5,1504.1/H-536/Harappa; 2854.1/M-358/Mohenjo-daro
001|<END>,001,<END>,003-423,2,2,2,2,2,2,003,423,003,423,Mohenjo-daro,0.5,Lower Indus,0.5,TAB:C,0.5,Gaur,1.0,0.5,1.0,3000.1/M-525/Mohenjo-daro; 4164.1/-/Dholavira
