Unit,AbstractUnit,Role,TestClass,ReadingClass,DossierConfidence,OccurrenceCount,DirectMinimalTests,ComponentMinimalTests,BestContext,BestContextStrength,TopSites,TopSymbols,TopTypes,Frames,SemanticFrames,AllowedLexicalSearch,BlockedShortcut,NextTest
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,institutional/admin label candidate,0.966,8,4,26,Site=Harappa,Strong,Harappa:7; Mohenjo-daro:1,Unknown:5; Bull:2; Elephant:1,TAB:7; SEAL:1,002|740:8,PrimeEntityAdministrativeFormula:7; PrimeEntitySealFormula:1,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,compare all 240-482 occurrences inside and outside Harappa; test regional/administrative value
176,R02,PrimeEntityFiller,StrongOnomasticAnchor,emblem-linked name/title candidate,0.796,5,17,13,Site=Mohenjo-daro,Moderate,Mohenjo-daro:4; Lothal:1,Bull:4; Gaur:1,SEAL:5,002|740:4; <START>|741:1,PrimeEntitySealFormula:4; TerminalFormula:1,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,compare all 176 occurrences inside and outside Mohenjo-daro; test regional/administrative value
590-390,A08-M02,PrimeEntityFiller,StrongOnomasticAnchor,emblem-linked name/title candidate,0.716,3,0,31,Material=Steatite,Moderate,Dholavira:1; Mohenjo-daro:1; Harappa:1,Bull:2; Unknown:1,SEAL:3,002|740:3,PrimeEntitySealFormula:3,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,compare artifact function for 590-390 in Steatite; test administrative/object-class value
235-222,M01-R31,PrimeEntityFiller,StrongOnomasticAnchor,emblem-linked name/title candidate,0.705,3,0,27,Symbol=Bull,Moderate,Chanhu-daro:2; Unknown:1,Bull:3,SEAL:3,002|740:3,PrimeEntitySealFormula:3,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,inspect seal images for all 235-222 occurrences with Bull; test emblem-linked reading
032-220,A07-A09,PrimeEntityFiller,StrongOnomasticAnchor,emblem-linked name/title candidate,0.681,2,1,28,Symbol=Bull,Moderate,Mohenjo-daro:1; Harappa:1,Bull:2,SEAL:2,002|740:1; <START>|233:1,PrimeEntitySealFormula:1; TerminalFormula:1,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,inspect seal images for all 032-220 occurrences with Bull; test emblem-linked reading
240-176,A02-R02,PrimeEntityFiller,StrongOnomasticAnchor,controlled lexical candidate,0.666,2,2,38,Material=Steatite,Moderate,Mohenjo-daro:1; Harappa:1,Tigr:1; Bull:1,SEAL:2,002|740:2,PrimeEntitySealFormula:2,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,compare artifact function for 240-176 in Steatite; test administrative/object-class value
235-840-032,M01-R10-A07,PrimeEntityFiller,StrongOnomasticAnchor,controlled lexical candidate,0.665,2,0,23,SemanticFrame=PrimeEntitySealFormula,Moderate,Mohenjo-daro:1; Harappa:1,Elephant:1; Bull:1,SEAL:2,002|740:2,PrimeEntitySealFormula:2,proper names; offices/titles; lineages/clans; places; institutions; emblem-linked identities,animal-name equation from icon alone; isolated Sanskrit/Dravidian lookalike without frame prediction,collect more context for 235-840-032; keep phonetic value unassigned
032,A07,TerminalFiller,CrossFramePhoneticAnchor,suffix/title/object-ending candidate,0.946,10,20,2,Site=Chanhu-daro,Strong,Chanhu-daro:5; Mohenjo-daro:3; Harappa:2,Bull:6; Unknown:3; Gaur:1,SEAL:8; TAB:2,031|<END>:5; <START>|390:2; <START>|001:2; 820|<END>:1,TerminalFormula:5; PrimeEntitySealFormula:2; ClassifierSlotTerminalFormula:1; LowEvidenceSequence:1; InitialClassifierFormula:1,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,compare all 032 occurrences inside and outside Chanhu-daro; test regional/administrative value
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,administrative object/formula candidate,0.935,13,1,79,Symbol=Cros,Strong,Mohenjo-daro:7; Harappa:5; Kalibangan:1,Cros:7; Bull:2; S590:2; Gavial:2,TAB:11; SEAL:2,235|<END>:11; 031|<END>:1; 060|<END>:1,TerminalFormula:12; ClassifierSlotTerminalFormula:1,suffixes; titles; terminal formulae; object labels; administrative endings,free-standing nouns unless the same unit appears independently,inspect seal images for all 240-740-090 occurrences with Cros; test emblem-linked reading
140,M07,InitialFiller,CrossFramePhoneticAnchor,administrative object/formula candidate,0.778,7,3,0,Symbol=Goat:4,Strong,Harappa:4; Mohenjo-daro:3,Bull:3; Goat:4:3; Zebu:1,SEAL:4; TAB:3,<START>|001:3; <START>|390:2; 002|740:1; <START>|741:1,TerminalFormula:4; PrimeEntitySealFormula:2; LowEvidenceSequence:1,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,inspect seal images for all 140 occurrences with Goat:4; test emblem-linked reading
820-060,C01-A06,InitialFiller,CrossFramePhoneticAnchor,classifier/title/prefix candidate,0.777,4,1,10,SemanticFrame=ClassifierSlotTerminalFormula,Strong,Mohenjo-daro:2; Kalibangan:1; Unknown:1,Bull:3; Composite Bull:1,SEAL:4,<START>|240:2; <START>|001:1; <START>|233:1,ClassifierSlotTerminalFormula:4,classifiers; titles; prefixes; office markers; formula openers,root nouns unless context and alternations require it,collect more context for 820-060; keep phonetic value unassigned
