Filler,Frequency,TopSite,TopSiteCount,SiteEntropy,SiteLocalization_p,TopIcon,TopIconCount,IconEntropy,IconLocalization_p
297-350-125-413,2,Bala-kot,1,1.000,0.1789,Bull1,1,1.000,0.1007
920-317,3,Chanhu-daro,1,1.000,0.0044,Bull1:W,2,0.918,0.4214
298-741,2,Chanhu-daro,1,1.000,0.4749,Bull1:I,1,1.000,0.0000
920-491,2,Harappa,2,0.000,0.2289,Unknown,2,0.000,0.2159
575,3,Harappa,3,0.000,0.1095,Unknown,2,0.918,0.0153
824,9,Mohenjo-daro,6,0.723,0.0000,Bull1:J,2,0.971,0.0000
390-095,2,Harappa,1,1.000,0.8060,Unknown,1,1.000,0.0193
002,2,Harappa,1,1.000,0.8060,Unknown,1,1.000,0.1310
690-921,2,Harappa,2,0.000,0.2289,Bull1:W,2,0.000,0.0053
031-892,2,Harappa,1,1.000,0.8060,Bull1:W,1,1.000,0.0820
610-125,2,Harappa,1,1.000,0.8060,Bull1:J,1,1.000,0.6145
405-501,29,Harappa,29,0.000,0.0000,Bull1:I,24,0.524,0.0000
416,3,Harappa,2,0.918,0.7755,Bull1:J,1,1.000,0.7282
368-260,2,Harappa,1,1.000,0.8060,Bull1:I,2,0.000,0.0005
741-060-920,2,Kalibangan,1,1.000,0.0581,Bull1:W,1,1.000,0.1297
056-091,8,Kalibangan,8,0.000,0.0000,Bull1,7,0.544,0.0000
700,2,Kot-Diji,1,1.000,0.0000,Unknown,1,1.000,0.0000
880,5,Lothal,2,0.960,0.0004,Unknown,2,0.961,0.1658
617,2,Lothal,2,0.000,0.0013,-,1,1.000,0.7872
285,2,Mohenjo-daro,1,1.000,0.0000,Zebu,1,1.000,0.9658
031,4,Mohenjo-daro,2,0.946,0.2829,-,2,0.946,0.0337
112,2,Mohenjo-daro,2,0.000,0.1147,Bull1:W,1,1.000,0.3640
390-125-632,2,Mohenjo-daro,2,0.000,0.1147,Bull1:J,1,1.000,0.8879
031-575,2,Mohenjo-daro,1,1.000,0.0782,Zebu,1,1.000,0.0000
502-031,2,Mohenjo-daro,2,0.000,0.1147,Unknown,2,0.000,0.2159
840-016,2,Mohenjo-daro,2,0.000,0.1147,Scene,2,0.000,0.0001
326,2,Mohenjo-daro,2,0.000,0.1147,Unknown,2,0.000,0.2159
365-460-495,2,Mohenjo-daro,2,0.000,0.1147,Othr,2,0.000,0.0001
808,2,Mohenjo-daro,1,1.000,0.0782,Bull1:W,1,1.000,0.1310
570,2,Mohenjo-daro,2,0.000,0.1147,Unknown,1,1.000,0.1007
370,2,Mohenjo-daro,2,0.000,0.1147,Unknown,2,0.000,0.2159
390-705,2,Mohenjo-daro,1,1.000,0.0782,Bull1,1,1.000,0.4432
