Filler,Frequency,TopSite,TopSiteCount,SiteEntropy,SiteLocalization_p,TopIcon,TopIconCount,IconEntropy,IconLocalization_p
824,9,Mohenjo-daro,6,0.723,0.0000,Bull1:J,2,0.971,0.0000
880,5,Lothal,2,0.960,0.0004,Unknown,2,0.961,0.1658
031,4,Mohenjo-daro,2,0.946,0.2829,-,2,0.946,0.0337
920-317,3,Chanhu-daro,1,1.000,0.0044,Bull1:W,2,0.918,0.4214
416,3,Harappa,2,0.918,0.7755,Bull1:J,1,1.000,0.7282
297-350-125-413,2,Bala-kot,1,1.000,0.1789,Bull1,1,1.000,0.1007
298-741,2,Chanhu-daro,1,1.000,0.4749,Bull1:I,1,1.000,0.0000
390-095,2,Harappa,1,1.000,0.8060,Unknown,1,1.000,0.0193
002,2,Harappa,1,1.000,0.8060,Unknown,1,1.000,0.1310
031-892,2,Harappa,1,1.000,0.8060,Bull1:W,1,1.000,0.0820
610-125,2,Harappa,1,1.000,0.8060,Bull1:J,1,1.000,0.6145
368-260,2,Harappa,1,1.000,0.8060,Bull1:I,2,0.000,0.0005
741-060-920,2,Kalibangan,1,1.000,0.0581,Bull1:W,1,1.000,0.1297
700,2,Kot-Diji,1,1.000,0.0000,Unknown,1,1.000,0.0000
285,2,Mohenjo-daro,1,1.000,0.0000,Zebu,1,1.000,0.9658
031-575,2,Mohenjo-daro,1,1.000,0.0782,Zebu,1,1.000,0.0000
808,2,Mohenjo-daro,1,1.000,0.0782,Bull1:W,1,1.000,0.1310
390-705,2,Mohenjo-daro,1,1.000,0.0782,Bull1,1,1.000,0.4432
