Pattern,Frequency
INITIAL -> MEDIAL,468
INITIAL -> MEDIAL -> MEDIAL,232
INITIAL -> MEDIAL -> MEDIAL -> MEDIAL,148
MEDIAL -> MEDIAL,139
INITIAL -> MEDIAL -> MEDIAL -> MEDIAL -> FINAL,133
INITIAL -> FINAL,128
INITIAL -> MEDIAL -> MEDIAL -> FINAL,97
INITIAL -> MEDIAL -> MEDIAL -> MEDIAL -> MEDIAL -> MEDIAL,75
INITIAL -> INITIAL -> MEDIAL -> MEDIAL,71
INITIAL -> INITIAL -> MEDIAL,71
INITIAL -> MEDIAL -> MEDIAL -> MEDIAL -> MEDIAL,68
MEDIAL -> INITIAL,61
INITIAL -> MEDIAL -> MEDIAL -> MEDIAL -> MEDIAL -> FINAL,53
MEDIAL -> MEDIAL -> MEDIAL,51
INITIAL -> MEDIAL -> FINAL,45
MEDIAL -> MEDIAL -> MEDIAL -> FINAL,44
MEDIAL -> MEDIAL -> MEDIAL -> MEDIAL,41
INITIAL -> MEDIAL -> MEDIAL -> MEDIAL -> MEDIAL -> MEDIAL -> MEDIAL,40
INITIAL -> RARE,39
MEDIAL -> MEDIAL -> FINAL,39
