Filler,NameScore,Frequency,NSites,IconEntropy,TermVar,ClassVar,FramePort,Complexity,Uniqueness,TopSite,TopIcon,Rank
000,0.680,48,7,0.804,1.000,0.370,1.000,1,0.974,Harappa,-,1
817-000,0.623,3,3,0.918,0.333,0.025,0.333,2,0.997,Harappa,Bull1,2
000-000,0.623,3,3,0.918,0.333,0.025,0.333,2,0.998,Kalibangan,-,3
920-317,0.621,3,3,0.918,0.333,0.025,0.333,2,0.964,Chanhu-daro,Bull1:W,4
824,0.601,9,4,0.971,0.333,0.076,0.333,1,0.719,Mohenjo-daro,Bull1:J,5
861-000,0.584,2,2,1.000,0.333,0.017,0.333,2,0.998,Allahdino,Elep,6
298-741,0.584,2,2,1.000,0.333,0.017,0.333,2,0.983,Chanhu-daro,Bull1:I,7
031-892,0.584,2,2,1.000,0.333,0.017,0.333,2,0.989,Harappa,Bull1:W,8
610-125-032,0.584,2,2,1.000,0.333,0.017,0.333,3,0.991,Harappa,Bull1:J,9
820-000,0.584,2,2,1.000,0.333,0.017,0.333,2,0.998,Harappa,,10
741-060-920,0.584,2,2,1.000,0.333,0.017,0.333,3,0.990,Kalibangan,Bull1:W,11
031-000,0.584,2,2,1.000,0.333,0.017,0.333,2,0.998,Mohenjo-daro,Bull1:J,12
031-575,0.584,2,2,1.000,0.333,0.017,0.333,2,0.988,Mohenjo-daro,Zebu,13
880,0.578,5,3,0.961,0.333,0.042,0.333,1,0.545,Lothal,,14
817,0.571,139,8,0.814,0.667,0.966,0.667,1,0.371,Mohenjo-daro,,15
151,0.566,6,2,0.970,0.333,0.008,0.333,1,0.936,Harappa,Scene,16
861-603,0.559,3,1,1.000,0.333,0.025,0.333,2,0.978,Mohenjo-daro,Gaur,17
575-000,0.548,3,1,0.918,0.333,0.025,0.333,2,0.997,Harappa,,18
400-740,0.546,3,1,0.918,0.333,0.008,0.333,2,0.998,Harappa,,19
820-741,0.544,2,1,1.000,0.333,0.017,0.333,2,0.991,Mohenjo-daro,Bull1:W,20
861-096,0.543,2,1,1.000,0.333,0.008,0.333,2,0.986,Mohenjo-daro,Bult,21
621-740,0.543,2,1,1.000,0.333,0.008,0.333,2,0.998,Mohenjo-daro,Bull1:W,22
130-035-171,0.541,2,1,1.000,0.333,0.017,0.333,3,0.927,Mohenjo-daro,Bull1:W,23
368,0.529,3,2,0.918,0.333,0.008,0.333,1,0.975,Mohenjo-daro,Bull1:J,24
297-350-125-413,0.526,2,2,1.000,0.333,0.017,0.333,4,0.955,Bala-kot,Bull1,25
161,0.520,2,2,1.000,0.333,0.008,0.333,1,0.846,Chanhu-daro,Bull1:L,26
861,0.516,136,10,0.810,0.667,1.000,0.667,1,0.500,Mohenjo-daro,,27
808,0.516,2,2,1.000,0.333,0.017,0.333,1,0.750,Mohenjo-daro,Bull1:W,28
285,0.509,2,2,1.000,0.333,0.017,0.333,1,0.600,Mohenjo-daro,Zebu,29
621,0.496,3,1,1.000,0.333,0.008,0.333,1,0.864,Mohenjo-daro,Bull1:W,30
056-091,0.494,8,1,0.544,0.333,0.008,0.333,2,0.579,Kalibangan,Bull1,31
820,0.493,95,10,0.821,0.667,0.697,0.667,1,0.611,Mohenjo-daro,,32
400,0.487,2,1,1.000,0.333,0.008,0.333,1,0.996,Mohenjo-daro,Bull1:S,33
832,0.485,2,1,1.000,0.333,0.008,0.333,1,0.956,Mohenjo-daro,Bull1,34
112,0.439,2,1,1.000,0.333,0.017,0.333,1,0.000,Mohenjo-daro,Bull1:W,35
570,0.439,2,1,1.000,0.333,0.017,0.333,1,0.000,Mohenjo-daro,,36
861-416,0.438,6,1,0.000,0.333,0.008,0.333,2,0.964,Harappa,,37
368-260,0.433,2,2,0.000,0.333,0.017,0.333,2,0.969,Harappa,Bull1:I,38
740,0.422,51,8,0.926,0.333,0.008,0.333,1,0.974,Harappa,,39
405-501,0.400,29,1,0.524,0.333,0.008,0.333,2,0.611,Harappa,Bull1:I,40
502-031,0.394,2,1,0.000,0.333,0.017,0.333,2,0.985,Mohenjo-daro,,41
900-003-590,0.394,2,1,0.000,0.333,0.017,0.333,3,0.990,Mohenjo-daro,Bull1:J,42
690-921,0.393,2,1,0.000,0.333,0.017,0.333,2,0.970,Harappa,Bull1:W,43
861-698,0.393,2,1,0.000,0.333,0.008,0.333,2,0.986,Mohenjo-daro,,44
861-533-717,0.393,2,1,0.000,0.333,0.017,0.333,3,0.982,Mohenjo-daro,,45
920-491,0.392,2,1,0.000,0.333,0.008,0.333,2,0.977,Harappa,,46
840-016,0.392,2,1,0.000,0.333,0.008,0.333,2,0.978,Mohenjo-daro,Scene,47
365-460-495,0.391,2,1,0.000,0.333,0.017,0.333,3,0.931,Mohenjo-daro,Othr,48
370,0.328,2,1,0.000,0.333,0.008,0.333,1,0.800,Mohenjo-daro,,49
326,0.323,2,1,0.000,0.333,0.008,0.333,1,0.714,Mohenjo-daro,,50
