Filler,NameScore,Frequency,TopSite,SiteCount,SitePMI,TopIcon,IconCount,IconPMI,Rank
817,74.334,149,Mohenjo-daro,79,0.647,,29,-1.253,1
861,73.946,141,Mohenjo-daro,77,0.690,,28,-1.224,2
405-501,57.452,29,Harappa,29,1.064,Bull1:I,24,5.187,3
000,46.985,49,Harappa,16,-0.551,-,14,1.609,4
820,43.748,94,Mohenjo-daro,48,0.593,,26,-0.746,5
056-091,18.023,8,Kalibangan,8,4.744,Bull1,7,3.771,6
824,13.733,9,Mohenjo-daro,6,0.977,Bull1:J,2,2.622,7
880,7.463,5,Lothal,2,3.449,,2,-0.214,8
861-416,6.925,6,Harappa,6,1.064,,6,1.108,9
920-317,6.550,3,Chanhu-daro,1,4.677,Bull1:W,2,3.200,10
000-000,5.833,3,Kalibangan,1,3.159,-,2,2.831,11
861-603,5.618,3,Mohenjo-daro,3,1.562,Gaur,1,3.944,12
861-000,5.316,2,Allahdino,1,7.886,Elep,1,5.384,13
297-350-125-413,5.072,2,Bala-kot,1,8.664,Bull1,1,2.964,14
298-741,4.745,2,Chanhu-daro,1,5.262,Bull1:I,1,4.460,15
840-016,4.525,2,Mohenjo-daro,2,1.562,Scene,2,7.045,16
817-000,4.430,3,Harappa,1,-0.521,Bull1,2,3.379,17
365-460-495,4.378,2,Mohenjo-daro,2,1.562,Othr,2,6.363,18
617,4.205,2,Lothal,2,4.771,-,1,2.416,19
741-060-920,4.037,2,Kalibangan,1,3.744,Bull1:W,1,2.785,20
900-003-590,3.991,2,Mohenjo-daro,2,1.562,Bull1:J,2,4.792,21
861-096,3.905,2,Mohenjo-daro,2,1.562,Bult,1,4.483,22
285,3.901,2,Mohenjo-daro,1,0.562,Zebu,1,5.471,23
031-575,3.901,2,Mohenjo-daro,1,0.562,Zebu,1,5.471,24
368-260,3.751,2,Harappa,1,0.064,Bull1:I,2,5.460,25
416,3.535,2,Harappa,2,1.064,Bull1:J,1,3.792,26
690-921,3.532,2,Harappa,2,1.064,Bull1:W,2,3.785,27
031-000,3.356,2,Mohenjo-daro,1,0.562,Bull1:J,1,3.792,28
112,3.353,2,Mohenjo-daro,2,1.562,Bull1:W,1,2.785,29
820-741,3.353,2,Mohenjo-daro,2,1.562,Bull1:W,1,2.785,30
130-035-171,3.353,2,Mohenjo-daro,2,1.562,Bull1:W,1,2.785,31
610-125-032,3.160,2,Harappa,1,0.064,Bull1:J,1,3.792,32
808,2.939,2,Mohenjo-daro,1,0.562,Bull1:W,1,2.785,33
575-000,2.851,3,Harappa,3,1.064,,2,0.523,34
031-892,2.695,2,Harappa,1,0.064,Bull1:W,1,2.785,35
861-698,2.600,2,Mohenjo-daro,2,1.562,,2,1.108,36
502-031,2.600,2,Mohenjo-daro,2,1.562,,2,1.108,37
861-533-717,2.600,2,Mohenjo-daro,2,1.562,,2,1.108,38
326,2.600,2,Mohenjo-daro,2,1.562,,2,1.108,39
370,2.600,2,Mohenjo-daro,2,1.562,,2,1.108,40
920-491,2.308,2,Harappa,2,1.064,,2,1.108,41
570,1.964,2,Mohenjo-daro,2,1.562,,1,0.108,42
003,1.551,2,Harappa,1,0.064,,2,1.108,43
820-000,0.316,2,Harappa,1,0.064,,1,0.108,44
