TextId,CISI,Region,Site,Type,Complete,Direction,RawText,ReadingTokens,Length,RoleTemplate,AnchorTemplate,TitleMarkers,NameBlocks,SlotFillers,HasAnchor
1.1,Agr-1,Eastern Headwaters,Alamgirpur,POT:T:g,Y,L/R,+410-017+,017-410,2,SIGN SIGN,SIGN SIGN,,,,N
2.1,Agr-2,Eastern Headwaters,Alamgirpur,POT:T:g,Y,L/R,+410-017+,017-410,2,SIGN SIGN,SIGN SIGN,,,,N
3.1,Agr-3,Eastern Headwaters,Alamgirpur,POT:T:g,Y,L/R,+405-017+,017-405,2,SIGN SIGN,SIGN SIGN,,,,N
4.1,-,Lower Indus,Allahdino,POT:T:g,N,-,+220-000+,220,1,SIGN,SIGN,,,,N
5.1,-,Lower Indus,Allahdino,TAG,Y,R/L,+740-235+,235-740,2,LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,235:LEADING_FORMULA_MARKER@1-1; 740:TERMINAL_TITLE_OR_SUFFIX@2-2,,235|<END>:740@2,Y
6.1,Ad-1,Lower Indus,Allahdino,SEAL:S,Y,R/L,+740-390-590+,590-390-740,3,SLOT_FILLER CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,390:CLOSING_FORMULA_MARKER@2-2; 740:TERMINAL_TITLE_OR_SUFFIX@3-3,,<START>|390:590@1,Y
7.1,Ad-2,Lower Indus,Allahdino,SEAL:S,Y,R/L,+368-390-125-033+,033-125-390-368,4,SIGN SIGN CLOSING_FORMULA_MARKER SIGN,SIGN SIGN CLOSING_FORMULA_MARKER SIGN,390:CLOSING_FORMULA_MARKER@3-3,,,Y
8.1,Ad-3,Lower Indus,Allahdino,SEAL:S,Y,R/L,+740-904-033-705-235+,235-705-033-904-740,5,LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,235:LEADING_FORMULA_MARKER@1-1; 740:TERMINAL_TITLE_OR_SUFFIX@5-5,,,Y
9.1,Ad-4,Lower Indus,Allahdino,SEAL:S,Y,R/L,+740-017-495-235-741-066+,066-741-235-495-017-740,6,SLOT_FILLER SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,235:LEADING_FORMULA_MARKER@3-3; 740:TERMINAL_TITLE_OR_SUFFIX@6-6,,<START>|741:066@1,Y
10.1,Ad-5,Lower Indus,Allahdino,SEAL:S,Y,R/L,+156-460-510+,510-460-156,3,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,156:TERMINAL_TITLE_OR_SUFFIX@3-3,,,Y
11.1,Ad-6,Lower Indus,Allahdino,SEAL:S,Y,R/L,+072-170-740-840-013+,013-840-740-170-072,5,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,740:TERMINAL_TITLE_OR_SUFFIX@3-3,,,Y
12.1,Ad-7,Lower Indus,Allahdino,SEAL:S,N,R/L,+740-142-000/000-388-000+,388-142-740,3,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@3-3,,,Y
13.1,Ad-8,Lower Indus,Allahdino,MISC,N,R/L,+740-440-503-002-861-000+,861-002-503-440-740,5,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,861:INITIAL_TITLE_OR_CLASSIFIER@1-1; 740:TERMINAL_TITLE_OR_SUFFIX@5-5,,,Y
14.1,Ad-9,Lower Indus,Allahdino,POT:T:g,N,-,]000-004-455+,455-004,2,SIGN SIGN,SIGN SIGN,,,,N
15.1,Ad-11,Lower Indus,Allahdino,MISC,N,-,]000-415+,415,1,SIGN,SIGN,,,,N
16.1,Alt-90,Central Asia,Altyn Depe,SEAL:S,Y,L/R,+390-415+,415-390,2,SLOT_FILLER CLOSING_FORMULA_MARKER,SIGN CLOSING_FORMULA_MARKER,390:CLOSING_FORMULA_MARKER@2-2,,<START>|390:415@1,Y
17.1,Ai-7,Lower Indus,Amri,POT:T:g,Y,L/R,+390-034+,034-390,2,SLOT_FILLER CLOSING_FORMULA_MARKER,SIGN CLOSING_FORMULA_MARKER,390:CLOSING_FORMULA_MARKER@2-2,,<START>|390:034@1,Y
18.1,-,Lower Indus,Bakkar Buthi,POT:T:g,Y,R/L,+405-844-032-840-002-861+,861-002-840-032-844-405,6,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN,861:INITIAL_TITLE_OR_CLASSIFIER@1-1,,,Y
19.1,Blk-1,Lower Indus,Bala-kot,SEAL:S,Y,R/L,+226-003-002-297-350-125-413+,413-125-350-297-002-003-226,7,SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,003:LEADING_FORMULA_MARKER@6-6,,,Y
20.1,Blk-2,Lower Indus,Bala-kot,SEAL:S,Y,R/L,+390-717-061-002-368-634+,634-368-002-061-717-390,6,SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,390:CLOSING_FORMULA_MARKER@6-6,,,Y
21.1,Blk-3,Lower Indus,Bala-kot,SEAL:S,N,R/L,+000-388-233-000-000+,233-388,2,SIGN SLOT_FILLER,SIGN SIGN,,,233|<END>:388@2,Y
22.1,Blk-4,Lower Indus,Bala-kot,SEAL:S,Y,R/L,+527-554-298-368-634+,634-368-298-554-527,5,SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,527:TERMINAL_TITLE_OR_SUFFIX@5-5,,,Y
23.1,Blk-6,Lower Indus,Bala-kot,BNGL,Y,R/L,+740-798+,798-740,2,SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@2-2,,,Y
24.1,Blk-5,Lower Indus,Bala-kot,SEAL:S,Y,NR,+415+,415,1,SIGN,SIGN,,,,N
26.1,-,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+520-001+,001-520,2,SLOT_FILLER TERMINAL_TITLE_OR_SUFFIX,SIGN TERMINAL_TITLE_OR_SUFFIX,520:TERMINAL_TITLE_OR_SUFFIX@2-2,,<START>|520:001@1; 001|<END>:520@2,Y
