Symbol,SemanticFrame,Count,SymbolTotal,FrameTotal,Expected,Lift
Bull2,PrimeEntityAdministrativeFormula,3,4,6,0.05,60.25
Gavial,PrimeEntityAdministrativeFormula,1,6,6,0.075,13.389
Anth,LowEvidenceSequence,1,1,42,0.087,11.476
Goat:2,LowEvidenceSequence,1,1,42,0.087,11.476
Comp,LowEvidenceSequence,2,3,42,0.261,7.651
Composite Bull,ClassifierSlotTerminalFormula,2,2,64,0.266,7.531
Scene,LowEvidenceSequence,1,2,42,0.174,5.738
Bull2,LowEvidenceSequence,1,4,42,0.349,2.869
Buff,InitialClassifierFormula,1,6,31,0.386,2.591
Rhinoceros,ClassifierSlotTerminalFormula,2,6,64,0.797,2.51
Zebu,LowEvidenceSequence,3,14,42,1.22,2.459
Tigr,PrimeEntitySealFormula,2,5,89,0.923,2.166
Elephant,PrimeEntitySealFormula,3,8,89,1.477,2.031
Composite/Multiple,TerminalFormula,11,11,247,5.637,1.951
Cros,TerminalFormula,7,7,247,3.587,1.951
Goat:4,TerminalFormula,3,3,247,1.537,1.951
S590,TerminalFormula,2,2,247,1.025,1.951
Ass,TerminalFormula,1,1,247,0.512,1.951
Bull/uncertain,TerminalFormula,1,1,247,0.512,1.951
Bull:i:S,TerminalFormula,1,1,247,0.512,1.951
Goat:3,TerminalFormula,1,1,247,0.512,1.951
Goat:7,TerminalFormula,1,1,247,0.512,1.951
MISC,TerminalFormula,1,1,247,0.512,1.951
Pipal,TerminalFormula,1,1,247,0.512,1.951
Plant,TerminalFormula,1,1,247,0.512,1.951
T-A-T,TerminalFormula,1,1,247,0.512,1.951
T-M-T,TerminalFormula,1,1,247,0.512,1.951
Elephant,InitialClassifierFormula,1,8,31,0.515,1.944
Buff,LowEvidenceSequence,1,6,42,0.523,1.913
Gavial,LowEvidenceSequence,1,6,42,0.523,1.913
Gaur,LowEvidenceSequence,4,27,42,2.353,1.7
Other,TerminalFormula,5,6,247,3.075,1.626
Zebu,PrimeEntitySealFormula,4,14,89,2.585,1.547
Tigr,ClassifierSlotTerminalFormula,1,5,64,0.664,1.506
Elephant,LowEvidenceSequence,1,8,42,0.697,1.435
Bull,NameLikeTerminalFormula,3,358,3,2.228,1.346
Gaur,TerminalFormula,18,27,247,13.836,1.301
Buff,ClassifierSlotTerminalFormula,1,6,64,0.797,1.255
Gavial,ClassifierSlotTerminalFormula,1,6,64,0.797,1.255
Other,ClassifierSlotTerminalFormula,1,6,64,0.797,1.255
Bull,InitialClassifierFormula,27,358,31,23.025,1.173
Bull,PrimeEntitySealFormula,76,358,89,66.104,1.15
Bull,ClassifierSlotTerminalFormula,53,358,64,47.535,1.115
Zebu,InitialClassifierFormula,1,14,31,0.9,1.111
Buff,TerminalFormula,3,6,247,3.075,0.976
Gavial,TerminalFormula,3,6,247,3.075,0.976
Rhinoceros,TerminalFormula,3,6,247,3.075,0.976
Scene,TerminalFormula,1,2,247,1.025,0.976
Elephant,ClassifierSlotTerminalFormula,1,8,64,1.062,0.941
Bull,TerminalFormula,171,358,247,183.456,0.932
Rhinoceros,PrimeEntitySealFormula,1,6,89,1.108,0.903
Bull,LowEvidenceSequence,26,358,42,31.195,0.833
Tigr,TerminalFormula,2,5,247,2.562,0.781
Zebu,TerminalFormula,5,14,247,7.174,0.697
Comp,TerminalFormula,1,3,247,1.537,0.65
Gaur,PrimeEntitySealFormula,3,27,89,4.985,0.602
Gaur,InitialClassifierFormula,1,27,31,1.737,0.576
Zebu,ClassifierSlotTerminalFormula,1,14,64,1.859,0.538
Elephant,TerminalFormula,2,8,247,4.1,0.488
Bull,PrimeEntityAdministrativeFormula,2,358,6,4.456,0.449
Gaur,ClassifierSlotTerminalFormula,1,27,64,3.585,0.279
