SignI,SignJ,CoocDocCount,PMI,HypergeomP,DirectedAdjacency,SameCommunity
479,749,2,11.133,9.91e-08,2,True
516,775,3,10.133,2.65e-10,3,True
250,579,2,8.963,3.57e-06,2,True
545,908,2,8.811,4.46e-06,2,True
200,380,3,8.718,1.48e-08,0,True
056,417,8,8.641,9.91e-23,0,True
732,794,2,8.548,6.54e-06,2,True
417,890,8,8.504,3.63e-22,8,True
056,890,8,8.352,1.82e-21,0,True
597,905,8,8.263,2.83e-21,0,True
066,942,3,7.963,5.41e-08,3,True
318,436,11,7.805,2.59e-27,0,True
851,924,3,7.589,2.77e-07,0,True
337,484,7,7.540,4.01e-16,7,True
091,417,8,7.504,7.02e-19,0,True
056,091,8,7.352,3.50e-18,8,True
091,890,8,7.214,1.28e-17,0,True
391,821,4,7.111,8.78e-09,0,True
018,336,2,7.089,8.14e-05,2,True
463,513,2,6.963,8.18e-05,2,True
578,824,4,6.953,6.98e-09,0,True
158,736,4,6.848,4.85e-09,0,True
048,851,3,6.741,1.87e-06,0,True
455,942,3,6.741,7.60e-07,0,True
519,849,3,6.718,2.05e-06,0,True
154,896,2,6.674,9.38e-05,2,True
167,704,2,6.641,1.51e-04,2,True
440,712,4,6.610,9.63e-09,0,True
035,171,17,6.608,1.27e-33,17,True
158,465,5,6.585,2.26e-10,0,True
310,350,3,6.548,1.15e-06,3,True
335,711,18,6.484,9.51e-36,18,True
380,484,2,6.433,2.14e-04,2,True
510,697,2,6.433,2.14e-04,2,True
158,470,3,6.433,2.41e-06,1,True
072,219,2,6.419,2.17e-04,2,True
533,717,2,6.405,1.37e-04,2,True
130,511,3,6.396,4.38e-06,3,True
317,625,2,6.378,2.33e-04,1,True
269,511,2,6.352,2.43e-04,2,True
388,444,2,6.300,1.58e-04,2,True
095,744,2,6.275,2.40e-04,0,True
321,845,14,6.252,4.23e-27,0,True
125,610,2,6.250,1.70e-04,2,True
125,304,2,6.250,1.70e-04,1,True
736,904,4,6.202,3.08e-08,4,True
495,776,5,6.188,2.91e-09,5,True
413,711,18,6.183,1.00e-33,0,True
154,468,7,6.159,6.17e-13,0,True
159,877,2,6.156,3.09e-04,2,True
350,543,3,6.133,4.55e-06,3,True
526,554,3,6.111,8.45e-06,3,True
632,930,3,6.053,8.33e-06,3,True
391,480,5,6.046,4.49e-09,0,True
697,838,2,6.046,3.73e-04,0,True
072,921,3,6.004,1.07e-05,3,True
063,315,2,5.973,4.19e-04,2,True
296,350,2,5.963,3.33e-04,1,True
526,555,4,5.909,3.62e-07,4,True
165,244,2,5.904,4.26e-04,2,True
104,423,2,5.904,4.40e-04,0,True
388,443,3,5.885,7.68e-06,3,True
420,595,3,5.842,1.06e-05,3,True
421,790,3,5.842,1.06e-05,0,True
142,597,9,5.829,1.01e-16,9,True
097,161,3,5.811,1.62e-05,3,True
527,555,18,5.802,9.92e-31,18,True
017,410,2,5.776,3.29e-04,2,True
190,297,2,5.767,5.63e-04,2,True
597,617,8,5.754,3.28e-14,0,True
455,922,2,5.741,5.06e-04,2,True
460,510,6,5.732,4.71e-10,6,True
215,480,4,5.724,5.57e-07,0,True
388,807,2,5.715,4.71e-04,2,True
104,645,7,5.712,2.15e-11,7,True
004,783,2,5.674,3.80e-04,2,True
417,892,8,5.641,6.29e-14,0,True
070,150,2,5.641,6.15e-04,0,True
575,711,18,5.625,3.25e-30,0,True
717,747,4,5.598,5.89e-07,4,False
035,130,5,5.597,3.25e-08,5,True
391,595,5,5.579,2.44e-08,5,True
595,744,2,5.579,6.34e-04,0,True
317,491,2,5.548,7.69e-04,0,True
158,472,2,5.526,7.23e-04,0,True
154,467,4,5.504,9.74e-07,0,True
706,928,2,5.489,4.91e-04,2,True
056,892,8,5.489,3.10e-13,0,True
482,842,2,5.454,7.99e-04,0,True
484,906,2,5.433,9.07e-04,0,True
391,850,5,5.433,4.12e-08,0,True
463,510,3,5.433,3.70e-05,3,True
140,287,2,5.419,5.41e-04,1,True
455,710,2,5.419,8.38e-04,2,True
140,919,2,5.419,5.41e-04,2,True
350,504,4,5.378,1.39e-06,4,True
007,503,3,5.378,2.23e-05,3,True
130,171,4,5.378,1.79e-06,0,True
335,413,21,5.371,3.06e-31,0,True
154,472,2,5.352,9.20e-04,0,True
890,892,8,5.352,1.12e-12,8,True
480,821,4,5.345,1.86e-06,0,True
151,229,3,5.275,2.77e-05,3,True
692,842,3,5.246,3.70e-05,0,True
799,840,4,5.238,4.69e-07,4,True
712,840,4,5.238,4.69e-07,4,True
829,892,2,5.226,9.29e-04,2,True
350,871,2,5.226,1.10e-03,0,True
405,501,29,5.217,3.96e-46,29,True
615,752,29,5.176,1.02e-41,29,True
742,849,3,5.164,5.80e-05,3,True
525,550,10,5.163,8.03e-16,10,True
055,500,11,5.162,1.10e-15,0,True
070,921,4,5.156,3.29e-06,4,True
070,267,2,5.156,1.28e-03,0,True
298,350,3,5.133,6.18e-05,3,True
413,824,12,5.132,8.63e-17,0,True
142,905,8,5.129,7.66e-12,0,True
151,330,2,5.105,1.10e-03,0,True
468,806,10,5.100,3.16e-16,10,True
472,806,5,5.100,1.96e-08,5,True
202,892,3,5.074,5.30e-05,3,False
318,690,11,5.072,1.17e-16,0,True
503,752,32,5.065,3.58e-45,1,True
321,407,14,5.056,1.32e-21,28,False
821,850,5,5.054,2.05e-07,0,True
436,690,14,5.033,1.14e-20,14,True
617,905,7,5.031,3.92e-10,0,True
104,406,2,5.030,1.59e-03,1,True
411,440,2,5.025,1.50e-03,2,True
407,845,49,4.989,5.96e-74,26,False
642,692,4,4.983,3.83e-06,0,True
630,794,3,4.963,9.90e-05,3,True
503,615,38,4.954,2.43e-52,37,True
467,806,8,4.930,3.72e-12,8,True
617,744,2,4.924,1.57e-03,0,True
318,407,11,4.915,4.06e-16,0,True
318,920,13,4.914,3.49e-20,13,True
055,150,2,4.904,1.71e-03,0,False
681,690,3,4.898,6.09e-05,3,True
687,690,3,4.898,6.09e-05,3,True
255,436,15,4.886,7.74e-22,15,True
595,821,4,4.878,7.02e-06,0,True
318,803,11,4.859,6.33e-16,0,True
353,460,2,4.848,1.99e-03,2,True
465,806,5,4.837,1.15e-07,5,True
527,554,6,4.834,2.71e-08,6,True
142,744,2,4.829,1.79e-03,0,True
255,318,11,4.826,8.19e-16,0,True
335,575,21,4.814,4.68e-27,21,True
017,585,30,4.800,7.38e-39,30,True
255,435,61,4.788,9.03e-87,61,True
595,747,2,4.771,2.18e-03,0,True
603,692,3,4.761,1.27e-04,0,True
824,892,14,4.761,6.21e-18,13,False
354,463,2,4.741,2.39e-03,2,True
326,405,4,4.728,5.48e-06,2,True
405,631,2,4.728,1.85e-03,2,True
095,585,10,4.714,1.14e-12,10,True
192,368,2,4.703,1.92e-03,1,True
330,368,2,4.703,1.92e-03,2,True
286,368,2,4.703,1.92e-03,1,True
415,578,5,4.699,8.01e-08,5,False
097,151,10,4.690,6.92e-13,10,True
502,806,3,4.685,9.49e-05,0,True
158,467,2,4.678,2.54e-03,0,True
158,592,2,4.678,2.54e-03,2,True
090,908,2,4.674,1.53e-03,0,True
090,683,2,4.674,1.53e-03,0,True
090,942,3,4.674,5.92e-05,3,True
125,812,3,4.666,1.71e-04,3,True
531,692,2,4.661,2.39e-03,0,True
243,617,5,4.661,7.67e-07,4,True
760,799,3,4.652,1.02e-04,0,True
268,760,3,4.652,1.02e-04,3,True
413,575,23,4.643,4.06e-28,23,True
142,747,3,4.607,1.74e-04,0,True
380,742,2,4.579,2.88e-03,1,False
407,561,2,4.571,2.30e-03,0,True
315,850,3,4.558,2.26e-04,3,False
845,850,15,4.558,8.54e-18,0,False
350,374,4,4.548,1.90e-05,0,True
645,999,2,4.548,3.14e-03,3,True
407,436,11,4.528,5.86e-14,0,True
142,617,30,4.527,1.27e-35,29,True
422,435,3,4.509,2.27e-04,0,True
323,690,4,4.506,1.25e-05,4,True
336,630,2,4.504,3.28e-03,2,True
171,636,3,4.504,2.76e-04,0,True
091,831,2,4.504,3.34e-03,1,True
706,868,6,4.489,8.69e-08,6,True
436,803,11,4.472,9.10e-14,0,True
318,415,11,4.458,1.48e-14,0,True
111,165,2,4.419,3.73e-03,1,True
176,299,2,4.419,2.18e-03,0,True
320,920,14,4.399,3.46e-17,14,True
435,690,39,4.389,2.52e-45,39,True
579,741,2,4.385,2.28e-03,0,True
060,201,5,4.365,2.58e-07,5,True
060,891,2,4.365,2.34e-03,2,True
460,495,5,4.362,3.22e-06,5,True
090,347,8,4.352,2.00e-10,0,True
091,892,8,4.352,1.85e-09,0,True
518,527,2,4.349,3.89e-03,0,True
100,421,3,4.341,2.43e-04,0,True
590,732,2,4.339,2.43e-03,0,False
605,760,9,4.330,6.16e-11,9,True
463,495,3,4.326,4.02e-04,3,True
365,495,2,4.326,4.26e-03,0,True
156,851,3,4.311,3.21e-04,0,True
321,705,14,4.306,2.57e-18,0,True
335,491,3,4.292,4.20e-04,0,True
436,920,11,4.286,3.87e-13,0,True
176,347,9,4.267,8.67e-12,0,False
017,095,10,4.240,3.55e-11,0,True
061,845,21,4.236,1.19e-22,21,False
347,741,9,4.233,1.08e-11,9,True
031,121,2,4.232,2.82e-03,0,True
003,422,8,4.226,5.94e-11,8,False
003,423,6,4.226,2.19e-08,6,True
003,122,2,4.226,2.84e-03,2,True
003,421,5,4.226,4.18e-07,5,False
235,770,2,4.191,2.99e-03,2,True
526,550,6,4.185,3.48e-07,5,True
842,920,3,4.177,3.41e-04,0,False
519,742,3,4.164,5.47e-04,3,True
066,455,3,4.156,5.63e-04,3,True
071,407,2,4.156,4.51e-03,2,True
091,500,2,4.150,5.44e-03,2,False
317,335,2,4.122,5.56e-03,0,True
406,742,2,4.119,5.55e-03,1,True
016,853,2,4.119,5.55e-03,2,True
617,747,2,4.116,5.33e-03,0,True
861,919,2,4.105,3.36e-03,0,True
533,861,2,4.105,3.36e-03,2,True
470,806,2,4.100,4.87e-03,2,True
318,590,11,4.098,2.41e-13,0,True
140,420,2,4.097,5.17e-03,0,False
176,421,4,4.097,2.24e-05,4,True
235,321,14,4.091,2.18e-17,0,True
004,408,3,4.089,5.60e-04,3,True
575,679,5,4.082,7.29e-06,0,True
590,868,10,4.076,4.32e-12,0,False
415,436,11,4.070,2.05e-12,0,True
744,760,2,4.067,5.10e-03,2,False
013,840,19,4.060,1.19e-19,18,True
165,831,2,4.056,6.17e-03,2,True
615,703,3,4.046,6.62e-04,3,True
060,842,4,4.043,2.60e-05,0,True
095,595,5,4.043,9.93e-06,4,True
527,550,26,4.023,2.81e-26,26,True
243,595,2,3.994,6.62e-03,0,True
200,705,3,3.990,4.00e-04,3,True
413,892,15,3.990,5.38e-15,15,False
527,812,2,3.986,6.54e-03,0,False
233,807,2,3.971,5.25e-03,0,True
368,634,2,3.966,6.18e-03,2,True
368,871,2,3.966,6.18e-03,0,False
422,900,3,3.950,7.12e-04,0,False
019,156,2,3.948,6.54e-03,2,True
090,160,3,3.937,5.58e-04,2,True
480,850,6,3.930,1.88e-06,6,True
150,840,2,3.916,6.60e-03,0,False
322,920,2,3.914,6.28e-03,2,True
003,426,4,3.904,3.81e-05,4,True
167,706,6,3.904,1.57e-06,6,True
