Sign,DocFrequency,Degree,WeightedDegree,DegreeCentrality,Betweenness,PageRank,Community,FunctionalClass,IsBridge
002,821,37,50.835,0.117,0.1255,0.066558,C2,SLOT_MODIFIER,False
032,496,20,48.525,0.063,0.0509,0.027641,C5,SLOT_MODIFIER,False
220,437,25,39.196,0.079,0.0643,0.023021,C8,SLOT_MODIFIER,False
740,1752,52,46.348,0.164,0.2040,0.020448,C15,TERMINAL,False
060,218,16,43.667,0.050,0.0294,0.019199,C11,SLOT_MODIFIER,False
741,215,29,70.238,0.091,0.0891,0.018815,C12,SLOT_MODIFIER,False
031,239,11,26.365,0.035,0.0183,0.018613,C9,FORMULA_MARKER,False
240,345,25,46.901,0.079,0.0413,0.018356,C11,SLOT_MODIFIER,False
001,208,29,69.457,0.091,0.0845,0.018207,C14,SLOT_MODIFIER,False
033,443,15,27.818,0.047,0.0193,0.017934,C5,SLOT_MODIFIER,False
820,220,8,12.722,0.025,0.0117,0.016983,C14,CLASSIFIER,False
861,261,11,29.970,0.035,0.0227,0.016876,C0,CLASSIFIER,False
003,240,10,30.937,0.032,0.0213,0.016612,C1,FORMULA_MARKER,False
817,211,8,17.956,0.025,0.0073,0.015903,C12,CLASSIFIER,False
235,246,21,43.499,0.066,0.0321,0.015032,C7,FORMULA_MARKER,False
705,212,23,54.596,0.073,0.0486,0.014479,C7,SLOT_MODIFIER,False
920,149,22,62.873,0.069,0.0384,0.011644,C8,FORMULA_MARKER,False
233,191,21,39.804,0.066,0.0406,0.010890,C7,SLOT_MODIFIER,False
590,222,22,48.707,0.069,0.0447,0.009991,C8,SLOT_MODIFIER,False
700,508,6,10.674,0.019,0.0081,0.009296,C5,ROOT_OR_UNRESOLVED,False
140,105,10,28.255,0.032,0.0179,0.009123,C0,FORMULA_MARKER,False
803,131,17,34.059,0.054,0.0145,0.008211,C8,SLOT_MODIFIER,False
415,173,15,35.798,0.047,0.0122,0.008068,C8,ROOT_OR_UNRESOLVED,False
368,115,15,45.612,0.047,0.0367,0.007438,C12,ROOT_OR_UNRESOLVED,False
840,119,11,35.094,0.035,0.0168,0.007254,C3,ROOT_OR_UNRESOLVED,False
706,100,10,30.041,0.032,0.0166,0.007242,C6,ROOT_OR_UNRESOLVED,False
390,259,15,29.981,0.047,0.0350,0.007225,C12,FORMULA_MARKER,False
255,134,15,37.956,0.047,0.0123,0.006691,C8,ROOT_OR_UNRESOLVED,False
900,109,13,37.407,0.041,0.0383,0.006664,C7,ROOT_OR_UNRESOLVED,False
806,131,21,65.986,0.066,0.0456,0.006610,C9,FORMULA_MARKER,False
550,114,7,20.121,0.022,0.0075,0.006550,C7,ROOT_OR_UNRESOLVED,False
798,147,17,36.112,0.054,0.0241,0.006320,C15,SLOT_MODIFIER,False
692,71,9,31.492,0.028,0.0117,0.005522,C11,ROOT_OR_UNRESOLVED,False
231,93,12,29.062,0.038,0.0132,0.005394,C14,ROOT_OR_UNRESOLVED,False
350,48,14,58.199,0.044,0.0339,0.005377,C10,ROOT_OR_UNRESOLVED,False
061,91,10,27.404,0.032,0.0087,0.005353,C11,ROOT_OR_UNRESOLVED,False
503,81,7,25.590,0.022,0.0076,0.004912,C15,ROOT_OR_UNRESOLVED,False
125,59,10,36.055,0.032,0.0221,0.004848,C10,ROOT_OR_UNRESOLVED,False
004,88,7,20.527,0.022,0.0168,0.004804,C12,ROOT_OR_UNRESOLVED,False
090,176,26,73.139,0.082,0.0719,0.004750,C12,SLOT_MODIFIER,False
892,80,13,51.437,0.041,0.0197,0.004728,C2,ROOT_OR_UNRESOLVED,False
575,78,9,30.307,0.028,0.0067,0.004719,C5,ROOT_OR_UNRESOLVED,False
176,210,9,22.766,0.028,0.0225,0.004576,C0,ROOT_OR_UNRESOLVED,False
013,43,4,9.261,0.013,0.0019,0.004356,C3,ROOT_OR_UNRESOLVED,False
491,16,3,12.837,0.009,0.0003,0.004286,C5,Unknown,False
850,52,14,50.966,0.044,0.0168,0.004226,C14,ROOT_OR_UNRESOLVED,False
142,79,9,35.422,0.028,0.0035,0.004222,C14,ROOT_OR_UNRESOLVED,False
742,47,9,31.031,0.028,0.0182,0.004205,C1,ROOT_OR_UNRESOLVED,False
595,47,17,63.989,0.054,0.0198,0.004118,C14,ROOT_OR_UNRESOLVED,False
413,53,8,31.521,0.025,0.0048,0.004046,C5,ROOT_OR_UNRESOLVED,False
407,126,28,78.870,0.088,0.0550,0.003985,C8,ROOT_OR_UNRESOLVED,False
520,309,22,45.288,0.069,0.0353,0.003888,C4,TERMINAL,False
405,113,11,30.104,0.035,0.0149,0.003857,C4,ROOT_OR_UNRESOLVED,False
017,82,9,29.493,0.028,0.0102,0.003819,C14,ROOT_OR_UNRESOLVED,False
100,133,11,21.699,0.035,0.0138,0.003817,C0,SLOT_MODIFIER,False
388,57,9,33.984,0.028,0.0149,0.003463,C7,ROOT_OR_UNRESOLVED,False
034,150,1,2.938,0.003,0.0000,0.003440,C5,ROOT_OR_UNRESOLVED,False
055,60,12,35.051,0.038,0.0209,0.003392,C12,ROOT_OR_UNRESOLVED,False
690,113,19,54.377,0.060,0.0328,0.003386,C8,ROOT_OR_UNRESOLVED,False
416,48,7,16.006,0.022,0.0131,0.003296,C3,ROOT_OR_UNRESOLVED,False
005,48,3,7.116,0.009,0.0006,0.003197,C7,ROOT_OR_UNRESOLVED,False
717,53,9,27.775,0.028,0.0148,0.003108,C0,ROOT_OR_UNRESOLVED,False
632,29,3,13.166,0.009,0.0067,0.003031,C10,ROOT_OR_UNRESOLVED,False
016,47,5,14.160,0.016,0.0033,0.003029,C3,ROOT_OR_UNRESOLVED,False
832,43,4,10.623,0.013,0.0009,0.002972,C4,ROOT_OR_UNRESOLVED,False
