SignI,SignJ,CosineSim,CommunityI,CommunityJ,Note
829,202,0.782,C2,C8,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
236,880,0.704,C9,C2,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
236,285,0.704,C9,C2,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
081,272,0.690,C12,C7,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
272,345,0.690,C7,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
272,361,0.690,C7,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
678,028,0.659,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
098,028,0.659,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
137,028,0.659,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
352,028,0.659,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
637,028,0.659,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
028,854,0.659,C5,C9,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
028,178,0.659,C5,C9,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
678,027,0.653,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
098,027,0.653,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
137,027,0.653,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
352,027,0.653,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
637,027,0.653,C9,C5,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
027,854,0.653,C5,C9,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
027,178,0.653,C5,C9,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
326,362,0.614,C4,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
326,683,0.614,C4,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
326,160,0.614,C4,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
812,518,0.612,C10,C7,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
812,370,0.612,C10,C7,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
634,871,0.604,C12,C10,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
192,871,0.604,C12,C10,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
871,263,0.604,C10,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
871,286,0.604,C10,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
868,134,0.597,C6,C8,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
101,326,0.585,C12,C4,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
531,552,0.581,C11,C3,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
792,326,0.578,C12,C4,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
287,420,0.574,C0,C14,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
347,299,0.569,C12,C0,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
530,081,0.564,C1,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
530,345,0.564,C1,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
530,361,0.564,C1,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
362,853,0.562,C12,C3,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
853,683,0.562,C3,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
853,160,0.562,C3,C12,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
005,631,0.547,C7,C4,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
101,853,0.536,C12,C3,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
746,063,0.534,C8,C3,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
561,063,0.534,C8,C3,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
063,071,0.534,C3,C8,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
121,136,0.531,C9,C0,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
792,853,0.530,C12,C3,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
353,720,0.528,C15,C14,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
353,786,0.528,C15,C14,"Similar co-occurrence partners despite different community -- candidate functional/allographic relation, not confirmed"
