CommunityID,Size,Members,TopSignsByPageRank,InternalDensity,DominantClass,AlignmentScore
C12,42,004; 055; 066; 081; 090; 097; 101; 151; 160; 161,741; 817; 368; 390; 004,0.066,Unlabeled,0.000
C7,30,005; 067; 200; 222; 233; 235; 272; 321; 337; 360,235; 705; 233; 900; 550,0.108,Unlabeled,0.000
C9,28,031; 098; 121; 137; 154; 155; 158; 178; 236; 352,031; 806; 904; 400; 775,0.103,Unlabeled,0.000
C14,27,001; 017; 095; 142; 215; 231; 241; 243; 324; 391,001; 820; 231; 850; 142,0.162,Unlabeled,0.000
C8,24,065; 071; 134; 202; 220; 255; 318; 320; 322; 323,220; 920; 590; 803; 415,0.225,Unlabeled,0.000
C5,23,025; 027; 028; 032; 033; 034; 059; 159; 205; 226,032; 033; 700; 575; 491,0.134,Unlabeled,0.000
C15,21,007; 175; 353; 354; 365; 460; 463; 495; 503; 510,740; 798; 503; 615; 495,0.162,Unlabeled,0.000
C11,19,035; 060; 061; 130; 171; 201; 240; 269; 482; 511,060; 240; 692; 061; 130,0.158,Unlabeled,0.000
C3,18,013; 016; 063; 257; 268; 315; 382; 411; 416; 440,840; 013; 416; 016; 440,0.137,Unlabeled,0.000
C1,17,003; 019; 048; 104; 122; 156; 406; 423; 426; 519,003; 742; 104; 999; 645,0.140,Unlabeled,0.000
C10,16,125; 190; 296; 297; 298; 304; 310; 350; 374; 504,350; 125; 632; 297; 190,0.133,Unlabeled,0.000
C0,14,096; 100; 136; 140; 176; 287; 299; 367; 421; 533,861; 140; 176; 100; 717,0.209,Unlabeled,0.000
C2,13,002; 056; 091; 111; 165; 244; 285; 417; 829; 831,002; 892; 091; 165; 831,0.269,Unlabeled,0.000
C4,13,070; 072; 150; 219; 267; 326; 405; 501; 515; 520,520; 405; 832; 070; 501,0.205,Unlabeled,0.000
C6,11,018; 167; 336; 630; 704; 706; 732; 794; 868; 923,706; 630; 794; 018; 923,0.182,Unlabeled,0.000
C13,2,479; 749,479; 749,1.000,Unlabeled,0.000
