Sign1,Sign2,Sign3,Count,CondProb
000,000,000,109,0.2906666666666667
740,390,590,54,0.9310344827586207
400,740,176,46,0.18699186991869918
741,060,920,38,1.0
740,032,840,35,0.5223880597014925
740,100,415,35,0.3125
740,690,435,35,0.5932203389830508
690,435,255,34,0.8947368421052632
520,033,705,33,0.5892857142857143
520,240,002,29,0.6304347826086957
240,002,405,29,0.3493975903614458
002,405,501,29,0.90625
740,752,615,29,0.5686274509803921
752,615,503,29,1.0
520,220,415,28,0.417910447761194
090,740,220,27,0.21774193548387097
220,032,002,27,0.391304347826087
740,000,000,27,0.1875
740,405,590,25,0.9259259259259259
033,705,235,24,0.23076923076923078
400,740,000,23,0.09349593495934959
335,575,413,21,1.0
407,061,845,21,0.84
000,000,002,19,0.050666666666666665
740,100,176,19,0.16964285714285715
400,740,032,19,0.07723577235772358
033,705,233,19,0.18269230769230768
220,415,798,19,0.2087912087912088
090,740,240,18,0.14516129032258066
711,335,575,18,1.0
740,407,590,17,0.8947368421052632
520,033,706,16,0.2857142857142857
240,002,861,16,0.1927710843373494
740,240,235,15,0.625
740,176,220,15,0.1056338028169014
845,033,705,15,1.0
740,900,850,15,0.3409090909090909
900,850,407,15,1.0
740,840,013,14,0.56
390,003,002,14,0.4827586206896552
740,636,240,14,0.875
156,435,255,14,1.0
740,575,017,14,0.8235294117647058
400,740,760,14,0.056910569105691054
690,436,255,14,1.0
090,740,176,14,0.11290322580645161
740,585,017,14,0.5
850,407,061,14,0.9333333333333333
061,845,806,14,0.6666666666666666
740,923,033,14,0.358974358974359
407,321,407,14,1.0
321,407,845,14,1.0
407,845,033,14,0.5384615384615384
033,705,240,13,0.125
740,760,000,13,0.10655737704918032
220,415,803,13,0.14285714285714285
033,711,335,13,0.8666666666666667
090,740,100,13,0.10483870967741936
235,002,861,12,0.3
000,002,820,12,0.2553191489361702
700,033,711,12,0.07947019867549669
740,176,741,12,0.08450704225352113
048,002,817,12,1.0
741,500,705,12,0.8
032,002,861,11,0.21568627450980393
407,590,690,11,0.5789473684210527
590,690,436,11,1.0
436,255,920,11,0.7333333333333333
255,920,318,11,0.9166666666666666
920,318,220,11,0.8461538461538461
318,220,415,11,1.0
824,892,413,11,0.9166666666666666
390,004,002,11,0.4782608695652174
400,740,405,11,0.044715447154471545
405,590,235,11,0.39285714285714285
032,002,820,11,0.21568627450980393
000,002,000,11,0.23404255319148937
000,740,000,11,0.23404255319148937
740,220,055,11,0.21153846153846154
220,055,001,11,0.9166666666666666
055,001,741,11,0.8461538461538461
001,741,500,11,0.7333333333333333
740,048,002,11,0.6470588235294118
923,033,706,11,0.7857142857142857
240,220,032,10,0.6666666666666666
240,002,817,10,0.12048192771084337
400,740,100,10,0.04065040650406504
400,156,435,10,0.7142857142857143
740,220,003,10,0.19230769230769232
740,900,005,10,0.22727272727272727
740,400,142,10,0.6666666666666666
032,520,095,10,0.9090909090909091
520,095,585,10,0.7142857142857143
095,585,017,10,1.0
740,100,240,9,0.08035714285714286
032,002,817,9,0.17647058823529413
400,090,740,9,0.5625
740,760,605,9,0.07377049180327869
740,176,002,9,0.06338028169014084
590,235,806,9,0.5
550,033,705,9,0.8181818181818182
390,590,002,9,0.1232876712328767
176,741,347,9,0.6
235,002,817,9,0.225
705,233,235,9,0.45
407,032,520,9,1.0
742,060,920,9,0.9
142,597,032,9,1.0
031,002,861,8,0.36363636363636365
000,000,220,8,0.021333333333333333
240,060,692,8,0.5
798,002,861,8,0.4444444444444444
617,142,001,8,0.26666666666666666
740,904,240,8,0.2962962962962963
690,368,817,8,1.0
740,760,840,8,0.06557377049180328
740,798,463,8,0.16
400,525,550,8,0.8888888888888888
740,061,002,8,0.38095238095238093
740,920,320,8,0.5714285714285714
740,482,240,8,0.2962962962962963
482,240,002,8,0.5333333333333333
740,017,503,8,0.8
033,705,231,8,0.07692307692307693
233,002,817,8,0.34782608695652173
803,002,820,8,0.23529411764705882
740,100,000,8,0.07142857142857142
740,176,233,8,0.056338028169014086
892,890,417,8,1.0
890,417,002,8,1.0
417,002,056,8,1.0
002,056,091,8,1.0
740,760,335,8,0.06557377049180328
585,017,231,8,0.26666666666666666
617,142,597,8,0.26666666666666666
597,032,905,8,0.8888888888888888
090,740,000,7,0.056451612903225805
003,002,861,7,0.23333333333333334
004,002,817,7,0.3181818181818182
031,032,171,7,0.7777777777777778
525,550,033,7,0.7
390,590,741,7,0.0958904109589041
400,740,636,7,0.028455284552845527
400,142,061,7,0.5833333333333334
176,220,235,7,0.3888888888888889
400,158,806,7,0.3684210526315789
740,900,003,7,0.1590909090909091
154,806,468,7,0.3888888888888889
740,877,032,7,1.0
100,415,240,7,0.16279069767441862
400,740,220,7,0.028455284552845527
390,590,032,7,0.0958904109589041
240,235,590,7,0.15555555555555556
235,590,645,7,1.0
590,645,104,7,1.0
845,240,798,7,0.875
100,415,002,7,0.16279069767441862
803,002,861,6,0.17647058823529413
000,220,000,6,0.13953488372093023
520,220,016,6,0.08955223880597014
740,100,140,6,0.05357142857142857
520,233,240,6,0.2608695652173913
002,861,416,6,0.034482758620689655
740,032,027,6,0.08955223880597014
033,705,000,6,0.057692307692307696
740,220,000,6,0.11538461538461539
003,002,820,6,0.2
033,705,220,6,0.057692307692307696
