Rank,Sign,Freq,LogRank,LogFreq,PredLogFreq
1,740,1889,0.0,7.543802867501509,10.314382602681725
2,000,1801,0.6931471805599453,7.496097345175956,9.214410958780803
3,002,839,1.0986122886681098,6.732210706467206,8.570968795242159
4,700,550,1.3862943611198906,6.309918278226516,8.114439314879881
5,032,534,1.6094379124341003,6.280395838960195,7.7603275391287365
6,400,497,1.791759469228055,6.208590026096629,7.470997151341235
7,033,480,1.9459101490553132,6.173786103901937,7.226371794052676
8,220,458,2.0794415416798357,6.126869184114185,7.014467670978958
9,240,351,2.1972245773362196,5.860786223465865,6.827554987802591
10,520,316,2.302585092994046,5.755742213586912,6.660355895227814
11,390,279,2.3978952727983707,5.631211781821365,6.509105918166428
12,861,265,2.4849066497880004,5.579729825986222,6.371025507440313
13,003,251,2.5649493574615367,5.5254529391317835,6.244003842761802
14,235,248,2.6390573296152584,5.5134287461649825,6.126400150151754
15,031,247,2.70805020110221,5.5093883366279774,6.016913731689169
16,820,228,2.772588722239781,5.429345628954441,5.914496027078036
17,590,226,2.833213344056216,5.420534999272286,5.818289381807654
18,741,223,2.8903717578961645,5.407171771460119,5.727583343901669
19,060,222,2.9444389791664403,5.402677381872279,5.641782792547227
20,705,216,2.995732273553991,5.375278407684165,5.560384251326892
21,176,216,3.044522437723423,5.375278407684165,5.482957986613109
22,817,215,3.091042453358316,5.3706380281276624,5.409134274265506
23,001,209,3.1354942159291497,5.342334251964811,5.338592721590021
24,233,192,3.1780538303479458,5.2574953720277815,5.27105386353939
25,090,190,3.2188758248682006,5.247024072160486,5.206272475575748
26,415,174,3.258096538021482,5.159055299214529,5.14403219886088
27,034,160,3.295836866004329,5.075173815233827,5.084141180363024
28,920,152,3.332204510175204,5.0238805208462765,5.0264285062508325
29,798,151,3.367295829986474,5.017279836814924,4.970741261431811
30,407,143,3.4011973816621555,4.962844630259907,4.916942087788247
31,255,136,3.4339872044851463,4.912654885736052,4.864907142937589
32,100,134,3.4657359027997265,4.897839799950911,4.814524383177114
33,760,134,3.4965075614664802,4.897839799950911,4.765692110726862
34,803,133,3.5263605246161616,4.890349128221754,4.718317737906732
35,806,133,3.5553480614894135,4.890349128221754,4.672316730499688
36,840,121,3.58351893845611,4.795790545596741,4.627611700000746
37,368,119,3.6109179126442243,4.77912349311153,4.584131620265657
38,550,119,3.6375861597263857,4.77912349311153,4.541811148646305
39,405,116,3.6635616461296463,4.7535901911063645,4.500590035322236
40,690,116,3.6888794541139363,4.7535901911063645,4.460412607425969
41,900,112,3.713572066704308,4.718498871295094,4.42122731687729
42,140,108,3.7376696182833684,4.68213122712422,4.382986342712187
43,156,101,3.7612001156935624,4.61512051684126,4.345645240210423
44,706,100,3.784189633918261,4.605170185988092,4.309162630364584
45,231,94,3.8066624897703196,4.543294782270004,4.273499924249602
46,004,93,3.828641396489095,4.532599493153256,4.238621077689098
47,061,93,3.8501476017100584,4.532599493153256,4.204492372308138
48,151,92,3.871201010907891,4.5217885770490405,4.1710822196384685
49,892,86,3.8918202981106265,4.454347296253507,4.1383609854236285
50,017,82,3.912023005428146,4.406719247264253,4.106300831674825
51,503,82,3.9318256327243257,4.406719247264253,4.074875574368088
52,142,80,3.9512437185814275,4.382026634673881,4.044060554959957
53,575,80,3.970291913552122,4.382026634673881,4.013832524142124
54,617,77,3.9889840465642745,4.343805421853684,3.984169536462102
55,692,74,4.007333185232471,4.30406509320417,3.9550508546134395
56,435,74,4.02535169073515,4.30406509320417,3.9264568623499088
57,615,72,4.04305126783455,4.276666119016055,3.89836898510766
