TerminalA,TerminalB,Dimension,Overlap,ChiSquared,CramersV,P_Asymptotic,P_MonteCarlo
033,032,sites,0.832,24.6,0.275,0.017,0.000
033,032,regions,0.850,16.2,0.223,0.003,0.002
033,032,materials,0.914,9.1,0.168,0.244,0.272
033,032,types,0.798,25.7,0.282,0.004,0.000
033,032,symbols,0.774,36.8,0.337,0.098,0.038
033,032,prec_signs,0.605,95.4,0.543,0.000,0.000
033,032,lengths,0.765,30.1,0.305,0.000,0.000
033,817,sites,0.378,138.6,0.664,0.000,0.000
033,817,regions,0.396,124.1,0.629,0.000,0.000
033,817,materials,0.692,42.5,0.368,0.000,0.000
033,817,types,0.292,162.6,0.720,0.000,0.000
033,817,symbols,0.393,136.3,0.659,0.000,0.000
033,817,prec_signs,0.013,308.5,0.991,0.000,0.000
033,817,lengths,0.200,216.1,0.830,0.000,0.000
033,861,sites,0.324,150.4,0.710,0.000,0.000
033,861,regions,0.336,139.4,0.684,0.000,0.000
033,861,materials,0.803,19.6,0.257,0.003,0.002
033,861,types,0.281,169.4,0.754,0.000,0.000
033,861,symbols,0.346,144.2,0.696,0.000,0.000
033,861,prec_signs,0.000,298.0,1.000,0.000,0.000
033,861,lengths,0.178,218.0,0.855,0.000,0.000
033,820,sites,0.296,159.8,0.740,0.000,0.000
033,820,regions,0.332,140.3,0.693,0.000,0.000
033,820,materials,0.739,29.0,0.315,0.000,0.000
033,820,types,0.243,170.9,0.765,0.000,0.000
033,820,symbols,0.374,132.5,0.674,0.000,0.000
033,820,prec_signs,0.026,281.6,0.982,0.000,0.000
033,820,lengths,0.174,214.3,0.857,0.000,0.000
033,003,sites,0.678,49.1,0.412,0.000,0.000
033,003,regions,0.721,37.9,0.362,0.000,0.000
033,003,materials,0.690,45.8,0.398,0.000,0.000
033,003,types,0.617,74.9,0.509,0.000,0.000
033,003,symbols,0.735,51.5,0.422,0.009,0.000
033,003,prec_signs,0.051,263.5,0.955,0.000,0.000
033,003,lengths,0.807,18.2,0.251,0.006,0.002
033,034,sites,0.917,10.4,0.192,0.320,0.264
033,034,regions,0.956,3.6,0.112,0.169,0.184
033,034,materials,0.841,13.6,0.219,0.094,0.034
033,034,types,0.777,21.3,0.274,0.019,0.004
033,034,symbols,0.822,23.1,0.285,0.235,0.156
033,034,prec_signs,0.788,32.7,0.340,0.207,0.060
033,034,lengths,0.892,9.2,0.180,0.164,0.112
033,235,sites,0.365,117.4,0.688,0.000,0.000
033,235,regions,0.383,106.3,0.655,0.000,0.000
033,235,materials,0.712,57.3,0.480,0.000,0.000
033,235,types,0.401,104.0,0.647,0.000,0.000
033,235,symbols,0.395,115.6,0.683,0.000,0.000
033,235,prec_signs,0.036,229.1,0.961,0.000,0.000
033,235,lengths,0.206,151.7,0.782,0.000,0.000
032,817,sites,0.513,80.7,0.514,0.000,0.000
032,817,regions,0.540,66.1,0.465,0.000,0.000
032,817,materials,0.720,41.0,0.366,0.000,0.000
032,817,types,0.455,98.5,0.567,0.000,0.000
032,817,symbols,0.550,81.0,0.515,0.000,0.000
032,817,prec_signs,0.000,306.0,1.000,0.000,0.000
032,817,lengths,0.395,130.7,0.653,0.000,0.000
032,861,sites,0.464,87.7,0.550,0.000,0.000
032,861,regions,0.474,80.9,0.528,0.000,0.000
032,861,materials,0.796,18.7,0.254,0.009,0.004
032,861,types,0.462,96.9,0.578,0.000,0.000
032,861,symbols,0.503,82.1,0.532,0.000,0.000
032,861,prec_signs,0.006,287.0,0.995,0.000,0.000
032,861,lengths,0.369,134.8,0.682,0.000,0.000
032,820,sites,0.439,92.4,0.570,0.000,0.000
032,820,regions,0.482,76.9,0.520,0.000,0.000
032,820,materials,0.744,27.5,0.311,0.001,0.000
032,820,types,0.413,102.1,0.600,0.000,0.000
032,820,symbols,0.503,84.3,0.545,0.000,0.000
032,820,prec_signs,0.048,264.6,0.965,0.000,0.000
032,820,lengths,0.361,129.8,0.676,0.000,0.000
032,003,sites,0.804,18.9,0.259,0.091,0.034
032,003,regions,0.857,9.6,0.185,0.087,0.058
032,003,materials,0.751,31.5,0.335,0.000,0.000
032,003,types,0.696,42.8,0.390,0.000,0.000
032,003,symbols,0.798,34.0,0.348,0.238,0.204
032,003,prec_signs,0.145,226.7,0.898,0.000,0.000
032,003,lengths,0.881,12.6,0.212,0.180,0.136
032,034,sites,0.779,28.6,0.323,0.003,0.000
032,034,regions,0.806,20.7,0.274,0.000,0.000
032,034,materials,0.883,12.9,0.217,0.229,0.188
032,034,types,0.678,45.7,0.408,0.000,0.000
032,034,symbols,0.670,49.4,0.424,0.004,0.000
032,034,prec_signs,0.602,60.9,0.471,0.004,0.000
032,034,lengths,0.657,45.0,0.404,0.000,0.000
032,235,sites,0.488,66.8,0.528,0.000,0.000
032,235,regions,0.520,54.1,0.475,0.000,0.000
032,235,materials,0.692,42.6,0.421,0.000,0.000
032,235,types,0.596,50.8,0.460,0.000,0.000
032,235,symbols,0.544,79.9,0.577,0.000,0.000
032,235,prec_signs,0.139,197.5,0.907,0.000,0.000
032,235,lengths,0.388,84.9,0.595,0.000,0.000
817,861,sites,0.844,15.7,0.237,0.265,0.190
817,861,regions,0.920,4.3,0.124,0.364,0.388
817,861,materials,0.881,7.6,0.164,0.182,0.148
817,861,types,0.805,34.2,0.349,0.001,0.000
817,861,symbols,0.796,28.5,0.319,0.597,0.654
817,861,prec_signs,0.857,28.3,0.318,0.058,0.002
817,861,lengths,0.873,11.1,0.199,0.272,0.256
817,820,sites,0.777,27.4,0.316,0.026,0.004
817,820,regions,0.872,6.6,0.156,0.157,0.176
817,820,materials,0.876,15.7,0.240,0.046,0.006
817,820,types,0.844,22.8,0.289,0.044,0.010
817,820,symbols,0.745,41.9,0.391,0.033,0.012
817,820,prec_signs,0.614,79.6,0.539,0.000,0.000
817,820,lengths,0.877,11.1,0.201,0.352,0.358
817,003,sites,0.650,43.6,0.401,0.000,0.000
817,003,regions,0.667,32.7,0.347,0.000,0.000
817,003,materials,0.894,15.3,0.238,0.032,0.012
817,003,types,0.450,100.0,0.607,0.000,0.000
817,003,symbols,0.548,68.3,0.502,0.000,0.000
817,003,prec_signs,0.023,261.0,0.981,0.000,0.000
817,003,lengths,0.329,132.1,0.698,0.000,0.000
817,034,sites,0.331,122.5,0.680,0.000,0.000
817,034,regions,0.352,115.0,0.659,0.000,0.000
817,034,materials,0.760,34.8,0.362,0.000,0.000
817,034,types,0.208,170.5,0.802,0.000,0.000
817,034,symbols,0.311,132.5,0.707,0.000,0.000
817,034,prec_signs,0.007,263.0,0.996,0.000,0.000
817,034,lengths,0.102,215.5,0.902,0.000,0.000
817,235,sites,0.856,14.4,0.250,0.279,0.232
817,235,regions,0.905,3.9,0.131,0.416,0.396
817,235,materials,0.693,43.5,0.435,0.000,0.000
817,235,types,0.620,58.8,0.506,0.000,0.000
817,235,symbols,0.607,68.7,0.547,0.000,0.000
817,235,prec_signs,0.007,226.0,0.991,0.000,0.000
817,235,lengths,0.661,33.3,0.380,0.000,0.000
861,820,sites,0.868,20.9,0.284,0.141,0.064
861,820,regions,0.931,7.2,0.167,0.127,0.140
861,820,materials,0.899,10.7,0.204,0.151,0.094
861,820,types,0.861,21.1,0.286,0.050,0.020
861,820,symbols,0.746,38.2,0.385,0.117,0.052
861,820,prec_signs,0.571,80.9,0.560,0.000,0.000
861,820,lengths,0.858,13.1,0.225,0.290,0.232
861,003,sites,0.591,48.4,0.436,0.000,0.000
861,003,regions,0.599,43.7,0.414,0.000,0.000
861,003,materials,0.865,13.7,0.231,0.034,0.024
861,003,types,0.459,99.1,0.624,0.000,0.000
861,003,symbols,0.485,80.3,0.561,0.000,0.000
861,003,prec_signs,0.016,247.1,0.984,0.000,0.000
861,003,lengths,0.301,139.1,0.738,0.000,0.000
861,034,sites,0.269,137.5,0.743,0.000,0.000
861,034,regions,0.292,128.8,0.719,0.000,0.000
861,034,materials,0.817,19.6,0.280,0.007,0.000
861,034,types,0.195,179.4,0.849,0.000,0.000
861,034,symbols,0.238,149.7,0.775,0.000,0.000
861,034,prec_signs,0.000,249.0,1.000,0.000,0.000
861,034,lengths,0.073,217.5,0.935,0.000,0.000
861,235,sites,0.870,14.9,0.264,0.246,0.214
861,235,regions,0.925,4.9,0.152,0.295,0.264
861,235,materials,0.743,32.7,0.391,0.000,0.000
861,235,types,0.586,51.1,0.488,0.000,0.000
861,235,symbols,0.579,57.1,0.516,0.001,0.002
861,235,prec_signs,0.023,207.7,0.985,0.000,0.000
861,235,lengths,0.543,45.8,0.462,0.000,0.000
820,003,sites,0.571,50.6,0.451,0.000,0.000
820,003,regions,0.604,41.2,0.407,0.000,0.000
820,003,materials,0.861,19.6,0.281,0.012,0.006
820,003,types,0.422,98.9,0.630,0.000,0.000
820,003,symbols,0.529,74.6,0.548,0.000,0.000
820,003,prec_signs,0.064,224.5,0.949,0.000,0.000
820,003,lengths,0.282,139.8,0.749,0.000,0.000
820,034,sites,0.248,142.5,0.766,0.000,0.000
820,034,regions,0.288,127.9,0.725,0.000,0.000
820,034,materials,0.786,22.9,0.307,0.006,0.000
820,034,types,0.168,176.3,0.852,0.000,0.000
820,034,symbols,0.303,129.7,0.731,0.000,0.000
820,034,prec_signs,0.008,241.0,0.996,0.000,0.000
820,034,lengths,0.067,215.0,0.941,0.000,0.000
820,235,sites,0.843,19.1,0.303,0.162,0.100
820,235,regions,0.949,2.8,0.116,0.594,0.616
820,235,materials,0.662,46.5,0.473,0.000,0.000
820,235,types,0.594,51.1,0.496,0.000,0.000
820,235,symbols,0.613,58.0,0.528,0.000,0.000
820,235,prec_signs,0.056,190.9,0.958,0.000,0.000
820,235,lengths,0.602,39.9,0.438,0.000,0.000
003,034,sites,0.619,52.1,0.466,0.000,0.000
003,034,regions,0.676,39.4,0.405,0.000,0.000
003,034,materials,0.776,32.6,0.369,0.000,0.000
003,034,types,0.563,71.1,0.544,0.000,0.000
003,034,symbols,0.676,46.4,0.440,0.008,0.000
003,034,prec_signs,0.058,216.5,0.950,0.000,0.000
003,034,lengths,0.709,35.3,0.384,0.000,0.000
003,235,sites,0.618,36.0,0.419,0.000,0.000
003,235,regions,0.654,23.8,0.341,0.000,0.000
003,235,materials,0.728,20.1,0.313,0.010,0.000
003,235,types,0.549,52.3,0.505,0.000,0.000
003,235,symbols,0.492,73.8,0.600,0.000,0.000
003,235,prec_signs,0.110,174.5,0.923,0.000,0.000
003,235,lengths,0.398,83.3,0.638,0.000,0.000
034,235,sites,0.331,104.0,0.723,0.000,0.000
034,235,regions,0.339,99.2,0.706,0.000,0.000
034,235,materials,0.605,51.1,0.507,0.000,0.000
034,235,types,0.318,115.2,0.761,0.000,0.000
034,235,symbols,0.331,106.6,0.732,0.000,0.000
034,235,prec_signs,0.009,195.3,0.991,0.000,0.000
034,235,lengths,0.107,160.7,0.899,0.000,0.000
