terminal,count,top_openers,top_sites,top_icons
032,206,700:89; 032:49; 740:23; 520:6; 400:5,Harappa:155; Mohenjo-daro:29; Dholavira:9; Kalibangan:4; Nausharo:3,Unknown:134; Bull1:W:12; Bull1:10; Bult:9; Bull1:J:7
033,191,700:126; 033:26; 520:4; 740:4; 151:3,Harappa:169; Mohenjo-daro:9; Kalibangan:5; Dholavira:4; Allahdino:1,Unknown:141; Bult:15; -:8; Bull1:W:4; Fish:3
817,148,740:66; 520:16; 390:12; 002:7; 690:7,Mohenjo-daro:70; Harappa:44; Lothal:14; Chanhu-daro:6; Dholavira:4,Unknown:40; Bull1:W:21; Bull1:S:14; Bull1:J:12; Elep:12
861,132,740:49; 390:11; 520:10; 151:5; 090:5,Mohenjo-daro:73; Harappa:31; Dholavira:8; Lothal:6; Chanhu-daro:4,Unknown:27; Bull1:W:27; Bull1:J:12; Bull1:S:11; Bull1:10
820,131,740:56; 390:9; 520:9; 820:5; 090:5,Mohenjo-daro:79; Harappa:31; Lothal:5; Kalibangan:3; Nausharo:3,Unknown:37; Bull1:W:30; Bull1:J:11; Bull1:8; Bull1:S:7
003,130,156:31; 861:29; 740:18; 390:9; 003:8,Harappa:79; Mohenjo-daro:37; Kalibangan:6; Dholavira:3; Bhirrana:1,Unknown:82; Bull1:6; Bull1:S:6; Bull1:W:4; Zebu:3
034,128,700:109; 034:13; 390:2; 031:1; 033:1,Harappa:120; Mohenjo-daro:3; Amri:1; Chanhu-daro:1; Kalibangan:1,Unknown:110; Bult:5; -:4; Fish:3; Tri4:2
235,83,740:36; 407:15; 520:9; 090:5; 400:4,Mohenjo-daro:47; Harappa:25; Lothal:4; Allahdino:2; Chanhu-daro:2,Unknown:26; Hare:12; Bull1:W:7; Bull1:4; Bull1:J:4
031,75,740:13; 031:11; 520:8; 156:8; 090:3,Harappa:29; Mohenjo-daro:29; Kanmer:5; Nausharo:5; Chanhu-daro:2,Unknown:24; Bull1:9; -:9; Bull1:W:8; Bull1:S:4
920,69,740:30; 520:4; 400:4; 842:3; 504:3,Mohenjo-daro:41; Harappa:14; Chanhu-daro:4; Lothal:4; Dholavira:3,Bull1:W:13; Unknown:13; Bull1:J:11; Bull1:8; Bull1:S:5
176,68,400:42; 740:13; 156:5; 064:2; 241:1,Harappa:52; Mohenjo-daro:13; Dholavira:2; Ganweriwala:1,Unknown:43; Bult:11; Bull1:3; Bull1:J:3; Bull:1
806,53,740:32; 400:8; 407:4; 520:3; 159:1,Mohenjo-daro:39; Harappa:13; Dholavira:1,Unknown:31; Anth:10; Bull1:W:4; Othr:3; Bull1:S:2
503,52,740:42; 400:7; 368:1; 154:1; 861:1,Mohenjo-daro:43; Harappa:8; Chanhu-daro:1,Othr:28; Unknown:9; Gavi:5; Bull1:W:2; Gaur:2
415,47,520:19; 740:6; 400:5; 824:4; 407:4,Harappa:29; Mohenjo-daro:14; Altyn Depe:1; Bala-kot:1; Rupar:1,Unknown:21; Bult:6; Loop:4; Phyt:3; Bull1:3
