NGram,Length,Count,TextCount,SiteCount,RegionCount,TypeCount,StartPct,EndPct,WholeTextPct,InternalPct,PositionEntropy10,DominantLeft,DominantLeftShare,DominantRight,DominantRightShare,DominantFrame,DominantFrameShare,LeftEntropy,RightEntropy,NeighborDiversity,DominantSite,DominantSiteShare,DominantRegion,DominantRegionShare,SealPct,CompletePct,NameAnchorScore,TitleMarkerScore,CrossSiteAnchorScore,FormulaRiskScore,WorkingClass,Examples
740-679,2,10,10,2,2,2,0.0,1.0,0.0,0.0,1.0,575,0.4,<END>,1.0,575|<END>,0.4,0.8982,0.0,0.4491,Mohenjo-daro,0.9,Lower Indus,0.9,1.0,1.0,0.9663,0.682,0.7382,0.557,RepeatedNameLikeBlockCandidate,1423.1/H-421/Harappa; 2176.1/M-1989/Mohenjo-daro; 2176.2/M-1989/Mohenjo-daro; 2484.1/M-1720/Mohenjo-daro; 2889.1/M-393/Mohenjo-daro
002-003-390,3,14,14,5,2,2,0.0,1.0,0.0,0.0,0.0,820,0.2857,<END>,1.0,820|<END>,0.2857,0.9107,0.0,0.4553,Mohenjo-daro,0.6429,Lower Indus,0.7857,0.9286,1.0,0.9657,0.5596,0.8059,0.5717,RepeatedNameLikeBlockCandidate,61.1/C-66/Chanhu-daro; 634.1/H-1680/Harappa; 1412.1/H-407/Harappa; 1938.1/K-82/Kalibangan; 2228.1/M-1697/Mohenjo-daro
460-740,2,10,10,2,2,3,0.0,1.0,0.0,0.0,0.8813,510,0.4,<END>,1.0,510|<END>,0.4,0.861,0.0,0.4305,Mohenjo-daro,0.9,Lower Indus,0.9,0.9,0.9,0.9463,0.6638,0.7212,0.557,RepeatedNameLikeBlockCandidate,1943.1/K-88/Kalibangan; 2460.1/M-1820/Mohenjo-daro; 2507.1/M-1730/Mohenjo-daro; 2586.1/M-58/Mohenjo-daro; 2802.1/M-281/Mohenjo-daro
772-740,2,8,8,2,2,2,0.0,1.0,0.0,0.0,0.9544,240,0.5,<END>,1.0,240|<END>,0.5,0.875,0.0,0.4375,Mohenjo-daro,0.875,Lower Indus,0.875,1.0,1.0,0.9459,0.6698,0.7311,0.5443,RepeatedNameLikeBlockCandidate,1075.1/H-14/Harappa; 2348.1/M-1988/Mohenjo-daro; 2645.1/M-118/Mohenjo-daro; 2679.1/M-152/Mohenjo-daro; 3132.1/M-705/Mohenjo-daro
920-060-742,3,9,9,2,1,2,1.0,0.0,0.0,0.0,0.8289,<START>,1.0,440,0.1111,<START>|440,0.1111,0.0,1.0,0.5,Mohenjo-daro,0.8889,Lower Indus,1.0,1.0,0.7778,0.9446,0.5426,0.6806,0.5459,RepeatedNameLikeBlockCandidate,2493.1/M-709/Mohenjo-daro; 2587.1/M-59/Mohenjo-daro; 2596.1/M-68/Mohenjo-daro; 2632.1/M-105/Mohenjo-daro; 2865.1/M-369/Mohenjo-daro
706-033-520,3,16,16,3,3,2,0.125,1.0,0.125,0.0,0.8869,240,0.1875,<END>,1.0,240|<END>,0.1875,0.9641,0.0,0.482,Mohenjo-daro,0.5,Lower Indus,0.5,1.0,0.9375,0.9425,0.5745,0.8049,0.5983,RepeatedNameLikeBlockCandidate,138.1/-/Dholavira; 322.1/H-1027/Harappa; 1103.1/H-44/Harappa; 1112.1/H-53/Harappa; 1401.1/H-388/Harappa
773-740,2,9,9,2,2,3,0.1111,1.0,0.1111,0.0,0.8528,240,0.3333,<END>,1.0,240|<END>,0.3333,0.941,0.0,0.4705,Mohenjo-daro,0.8889,Lower Indus,0.8889,0.7778,1.0,0.939,0.6585,0.7064,0.5676,RepeatedNameLikeBlockCandidate,1176.1/H-135/Harappa; 2270.1/M-1668/Mohenjo-daro; 2534.1/M-5/Mohenjo-daro; 3041.1/M-571/Mohenjo-daro; 3133.1/M-706/Mohenjo-daro
820-060,2,26,26,5,4,7,1.0,0.0385,0.0385,0.0,0.7031,<START>,1.0,235,0.1154,<START>|235,0.1154,0.0,0.976,0.488,Mohenjo-daro,0.6923,Lower Indus,0.6923,0.8462,0.8846,0.9341,0.7129,0.8865,0.6197,RepeatedNameLikeBlockCandidate,681.2/H-2090/Harappa; 705.1/H-2264/Harappa; 1619.1/H-715/Harappa; 1891.1/K-16/Kalibangan; 1999.1/L-21/Lothal
017-585-740,3,14,14,4,3,2,0.1429,1.0,0.1429,0.0,0.8637,002,0.2857,<END>,1.0,002|<END>,0.2857,0.8982,0.0,0.4491,Mohenjo-daro,0.5,Lower Indus,0.5,0.9286,0.8571,0.9271,0.5514,0.8174,0.5931,RepeatedNameLikeBlockCandidate,1064.1/H-3/Harappa; 1293.1/H-268/Harappa; 1296.1/H-272/Harappa; 1398.1/H-383/Harappa; 1878.1/K-2/Kalibangan
817-002-048,3,12,12,2,2,3,1.0,0.0833,0.0833,0.0,0.4138,<START>,1.0,740,0.9167,<START>|740,0.9167,0.0,0.4138,0.2069,Lothal,0.9167,Gujarat/Kutch,0.9167,0.1667,1.0,0.925,0.4339,0.6404,0.5751,RepeatedNameLikeBlockCandidate,2038.1/L-84/Lothal; 2093.1/L-161/Lothal; 2094.1/L-162/Lothal; 2095.1/L-163/Lothal; 2096.1/L-164/Lothal
