Frame,Left,Right,Count,DistinctFillers,TopFiller,TopFillerShare,FillerEntropy,SiteCount,RegionCount,TypeCount,SealPct,CompletePct,NameSlotScore,Examples
002|740,002,740,345,247,048,0.0319,0.9625,15,6,15,0.8145,0.8493,0.957,13.1/Ad-8/Allahdino; 27.1/B-1/Banawali; 69.1/C-60/Chanhu-daro; 71.1/C-53/Chanhu-daro; 74.1/C-58/Chanhu-daro
060|<END>,060,<END>,193,176,690-740,0.0259,0.9912,15,7,13,0.7927,0.8342,0.949,40.1/B-21/Banawali; 64.1/C-54/Chanhu-daro; 66.1/C-69/Chanhu-daro; 67.1/C-75/Chanhu-daro; 83.1/C-62/Chanhu-daro
<START>|390,<START>,390,236,163,590,0.0593,0.9528,20,7,15,0.7373,0.8136,0.9409,6.1/Ad-1/Allahdino; 7.1/Ad-2/Allahdino; 16.1/Alt-90/Altyn Depe; 17.1/Ai-7/Amri; 20.1/Blk-2/Bala-kot
002|<END>,002,<END>,705,508,240-520,0.0411,0.956,22,8,20,0.7376,0.7461,0.9374,13.1/Ad-8/Allahdino; 18.1/-/Bakkar Buthi; 19.1/Blk-1/Bala-kot; 20.1/Blk-2/Bala-kot; 27.1/B-1/Banawali
741|<END>,741,<END>,198,163,001-055-220-740-090,0.0556,0.9659,14,5,13,0.7374,0.8081,0.9357,9.1/Ad-4/Allahdino; 68.1/C-55/Chanhu-daro; 93.1/C-5/Chanhu-daro; 96.1/C-8/Chanhu-daro; 104.1/C-16/Chanhu-daro
060|740,060,740,101,85,690,0.0495,0.9796,11,7,8,0.7723,0.9604,0.9276,67.1/C-75/Chanhu-daro; 198.1/H-1138/Harappa; 378.1/H-1776/Harappa; 424.2/H-1845/Harappa; 646.2/H-1824/Harappa
001|<END>,001,<END>,177,131,055-220-740-090,0.0621,0.9609,15,7,15,0.7345,0.774,0.9257,26.1/-/Banawali; 99.1/C-11/Chanhu-daro; 148.1/-/Failaka; 164.1/H-1507/Harappa; 228.1/-/Harappa
820|<END>,820,<END>,170,147,002,0.0588,0.9739,16,6,12,0.7529,0.7235,0.9239,52.1/-/Bhirrana; 84.1/C-85/Chanhu-daro; 144.1/-/Dholavira; 246.1/H-1045/Harappa; 288.1/H-1402/Harappa
820|740,820,740,74,72,002,0.0405,0.996,7,4,9,0.8919,0.8919,0.9229,246.1/H-1045/Harappa; 288.1/H-1402/Harappa; 1086.1/H-26/Harappa; 1104.1/H-45/Harappa; 1119.1/H-60/Harappa
235|<END>,235,<END>,206,128,240-740-090,0.0631,0.9364,11,6,11,0.6602,0.8058,0.9221,5.1/-/Allahdino; 8.1/Ad-3/Allahdino; 9.1/Ad-4/Allahdino; 65.1/C-59/Chanhu-daro; 70.1/C-70/Chanhu-daro
<START>|001,<START>,001,184,136,820,0.0815,0.9421,15,8,15,0.6848,0.7772,0.9181,79.1/C-56/Chanhu-daro; 99.1/C-11/Chanhu-daro; 148.1/-/Failaka; 164.1/H-1507/Harappa; 228.1/-/Harappa
233|<END>,233,<END>,174,105,520,0.1149,0.9266,10,4,9,0.7069,0.8103,0.9172,21.1/Blk-3/Bala-kot; 87.1/C-67/Chanhu-daro; 96.1/C-8/Chanhu-daro; 97.1/C-9/Chanhu-daro; 123.1/Dlp-1/Desalpur
<START>|520,<START>,520,277,171,501-405-002-240,0.1047,0.9054,15,7,12,0.5848,0.8231,0.9171,26.1/-/Banawali; 41.1/B-23/Banawali; 87.1/C-67/Chanhu-daro; 92.1/C-4/Chanhu-daro; 95.1/C-7/Chanhu-daro
817|<END>,817,<END>,184,133,002,0.0707,0.9419,11,6,13,0.6685,0.7772,0.9164,30.1/B-5/Banawali; 31.1/B-7/Banawali; 36.1/B-15/Banawali; 61.1/C-66/Chanhu-daro; 75.1/C-79/Chanhu-daro
