"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"740","1361","43","885","433","0","0.0316","0.6503","0.3181","0","0.849","0.6187"
"002","593","8","22","563","0","0.0135","0.0371","0.9494","0","0.3572","0.0236"
"700","448","88","338","22","0","0.1964","0.7545","0.0491","0","0.7783","0.558"
"032","395","142","46","207","0","0.3595","0.1165","0.5241","0","0.3823","-0.243"
"033","362","152","45","165","0","0.4199","0.1243","0.4558","0","0.3755","-0.2956"
"400","360","30","296","34","0","0.0833","0.8222","0.0944","0","0.8787","0.7389"
"220","308","30","24","254","0","0.0974","0.0779","0.8247","0","0.4822","-0.0195"
"240","278","58","10","210","0","0.2086","0.036","0.7554","0","0.4377","-0.1727"
"520","255","8","206","41","0","0.0314","0.8078","0.1608","0","0.8979","0.7765"
"861","212","125","41","46","0","0.5896","0.1934","0.217","0","0.2808","-0.3962"
"390","208","14","98","96","0","0.0673","0.4712","0.4615","0","0.7361","0.4038"
"003","195","113","6","76","0","0.5795","0.0308","0.3897","0","0.2621","-0.5487"
"235","194","82","1","111","0","0.4227","0.0052","0.5722","0","0.2475","-0.4175"
"060","181","2","2","177","0","0.011","0.011","0.9779","0","0.296","0"
"741","170","15","4","151","0","0.0882","0.0235","0.8882","0","0.346","-0.0647"
"176","166","63","6","97","0","0.3795","0.0361","0.5843","0","0.3595","-0.3434"
"590","166","36","13","117","0","0.2169","0.0783","0.7048","0","0.4568","-0.1386"
"820","165","123","16","26","0","0.7455","0.097","0.1576","0","0.1677","-0.6485"
"817","164","144","6","14","0","0.878","0.0366","0.0854","0","0.075","-0.8415"
"031","163","54","19","90","0","0.3313","0.1166","0.5521","0","0.3872","-0.2147"
"001","151","7","12","132","0","0.0464","0.0795","0.8742","0","0.4962","0.0331"
"705","147","39","3","105","0","0.2653","0.0204","0.7143","0","0.3272","-0.2449"
"233","146","31","4","111","0","0.2123","0.0274","0.7603","0","0.4059","-0.1849"
"034","132","107","21","4","0","0.8106","0.1591","0.0303","0","0.1803","-0.6515"
"415","129","39","11","79","0","0.3023","0.0853","0.6124","0","0.3401","-0.2171"
"090","125","8","97","20","0","0.064","0.776","0.16","0","0.87","0.712"
"407","123","1","67","55","0","0.0081","0.5447","0.4472","0","0.8276","0.5366"
"920","119","67","5","47","0","0.563","0.042","0.395","0","0.2109","-0.521"
"806","111","53","1","57","0","0.4775","0.009","0.5135","0","0.2582","-0.4685"
"798","107","28","1","78","0","0.2617","0.0093","0.729","0","0.3735","-0.2523"
"803","106","42","1","63","0","0.3962","0.0094","0.5943","0","0.3136","-0.3868"
"100","98","2","3","93","0","0.0204","0.0306","0.949","0","0.649","0.0102"
"255","98","34","4","60","0","0.3469","0.0408","0.6122","0","0.3522","-0.3061"
"405","93","2","33","58","0","0.0215","0.3548","0.6237","0","0.609","0.3333"
"156","92","7","67","18","0","0.0761","0.7283","0.1957","0","0.8431","0.6522"
"368","91","7","27","57","0","0.0769","0.2967","0.6264","0","0.5199","0.2198"
"690","91","8","21","62","0","0.0879","0.2308","0.6813","0","0.643","0.1429"
"760","90","1","1","88","0","0.0111","0.0111","0.9778","0","0.6802","0"
"840","88","20","3","65","0","0.2273","0.0341","0.7386","0","0.4121","-0.1932"
"550","87","34","6","47","0","0.3908","0.069","0.5402","0","0.3743","-0.3218"
"900","85","16","2","67","0","0.1882","0.0235","0.7882","0","0.4977","-0.1647"
"061","78","20","2","56","0","0.2564","0.0256","0.7179","0","0.4328","-0.2308"
"140","74","28","7","39","0","0.3784","0.0946","0.527","0","0.377","-0.2838"
"706","72","25","4","43","0","0.3472","0.0556","0.5972","0","0.3413","-0.2917"
"004","71","22","6","43","0","0.3099","0.0845","0.6056","0","0.486","-0.2254"
"151","71","3","59","9","0","0.0423","0.831","0.1268","0","0.9087","0.7887"
"231","70","22","1","47","0","0.3143","0.0143","0.6714","0","0.3498","-0.3"
"503","69","52","1","16","0","0.7536","0.0145","0.2319","0","0.1337","-0.7391"
"017","65","14","3","48","0","0.2154","0.0462","0.7385","0","0.4072","-0.1692"
"617","63","13","39","11","0","0.2063","0.619","0.1746","0","0.7043","0.4127"
"892","63","10","17","36","0","0.1587","0.2698","0.5714","0","0.5429","0.1111"
"615","60","6","2","52","0","0.1","0.0333","0.8667","0","0.3909","-0.0667"
"142","59","15","4","40","0","0.2542","0.0678","0.678","0","0.4963","-0.1864"
"575","56","18","2","36","0","0.3214","0.0357","0.6429","0","0.3204","-0.2857"
"435","54","1","3","50","0","0.0185","0.0556","0.9259","0","0.4988","0.037"
"692","54","40","5","9","0","0.7407","0.0926","0.1667","0","0.1777","-0.6481"
"125","49","15","4","30","0","0.3061","0.0816","0.6122","0","0.3033","-0.2245"
"752","49","1","0","48","0","0.0204","0","0.9796","0","0.6547","-0.0204"
"845","48","0","0","48","0","0","0","1","0","0.4514","0"
"527","47","2","41","4","0","0.0426","0.8723","0.0851","0","0.9255","0.8298"
