Probe,Side,Unit,TextId,CISI,Frame,TargetFrame,Site,Type,Symbol,Material,SemanticFrame,ReadingTokens,StructuralParse
240-482 :: 520,Neighbor,520,3122.1,M-686,235|<END>,002|<END>,Mohenjo-daro,SEAL,Unknown,Steatite,TerminalFormula,806-235-520,PRODUCTIVE_SLOT(<START>_520)[806-235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 520,Neighbor,520,4232.1,-,235|<END>,002|<END>,Dholavira,SEAL,Bull,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 520,Neighbor,520,5269.1,Rhd-1,031|<END>,002|<END>,Rahman-deri,SEAL,MISC,Bone,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
240-482 :: 520,Neighbor,520,5421.1,-,031|<END>,002|<END>,Kanmer,SEAL,Ass,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
240-482 :: 520,Neighbor,520,2262.1,M-1827,233|<END>,002|<END>,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-482 :: 520,Neighbor,520,2426.1,M-1836,233|<END>,002|<END>,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-482 :: 520,Neighbor,520,1802.2,H-922,031|<END>,002|<END>,Harappa,TAB,Unknown,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
240-482 :: 520,Neighbor,520,1803.2,H-923,031|<END>,002|<END>,Harappa,TAB,Unknown,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
240-482 :: 520,Neighbor,520,2969.1,M-486,235|<END>,002|<END>,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 520,Neighbor,520,2970.1,M-487,235|<END>,002|<END>,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 520,Neighbor,520,613.1,-,235|<END>,002|<END>,Harappa,POT,Unknown,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 520,Neighbor,520,26.1,-,001|<END>,002|<END>,Banawali,SEAL,Goat:3,Steatite,TerminalFormula,001-520,PRODUCTIVE_SLOT(<START>_520)[001] | PRODUCTIVE_SLOT(001_<END>)[520]
240-482 :: 520,Neighbor,520,5441.1,-,001|<END>,002|<END>,Banawali,SEAL,Scene,Steatite,TerminalFormula,001-520,PRODUCTIVE_SLOT(<START>_520)[001] | PRODUCTIVE_SLOT(001_<END>)[520]
240-482 :: 520,Neighbor,520,4216.1,-,235|<END>,002|<END>,Dholavira,SEAL,Unknown,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
