AnchorTemplate,Count,SiteCount,TypeCount,Examples
SIGN SIGN,827,29,22,1.1/Agr-1/Alamgirpur; 2.1/Agr-2/Alamgirpur; 3.1/Agr-3/Alamgirpur; 14.1/Ad-9/Allahdino; 21.1/Blk-3/Bala-kot; 28.1/B-3/Banawali
SIGN,773,31,23,4.1/-/Allahdino; 15.1/Ad-11/Allahdino; 24.1/Blk-5/Bala-kot; 34.1/B-10/Banawali; 35.1/B-12/Banawali; 45.1/B-29/Banawali
SIGN TERMINAL_TITLE_OR_SUFFIX,345,12,16,23.1/Blk-6/Bala-kot; 26.1/-/Banawali; 29.1/B-4/Banawali; 32.1/B-8/Banawali; 39.1/B-19/Banawali; 57.1/C-87/Chanhu-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,266,20,11,10.1/Ad-5/Allahdino; 12.1/Ad-7/Allahdino; 41.1/B-23/Banawali; 54.1/Ch-2/Chandigarh; 118.1/C-37/Chanhu-daro; 127.1/-/Dholavira
SIGN SIGN SIGN,193,13,16,44.1/B-28/Banawali; 79.1/C-56/Chanhu-daro; 119.1/C-38/Chanhu-daro; 120.1/C-39/Chanhu-daro; 177.1/-/Harappa; 185.1/H-1410/Harappa
TERMINAL_TITLE_OR_SUFFIX,164,14,16,46.1/B-30/Banawali; 122.1/Dmd-1/Daimabad; 142.1/-/Dholavira; 155.1/-/Farmana; 163.2/H-1128/Harappa; 169.1/H-1360/Harappa
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,141,8,15,67.1/C-75/Chanhu-daro; 139.1/-/Dholavira; 189.1/H-1399/Harappa; 220.1/H-1142/Harappa; 222.2/H-1354/Harappa; 256.1/H-1038/Harappa
SIGN SIGN SIGN SIGN,105,13,13,37.1/B-17/Banawali; 101.1/C-13/Chanhu-daro; 124.1/Dlp-2/Desalpur; 134.1/-/Dholavira; 135.1/-/Dholavira; 148.1/-/Failaka
SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,96,6,8,156.1/-/Ganweriwala; 170.1/H-1397/Harappa; 260.2/-/Harappa; 265.1/H-1273/Harappa; 267.1/-/Harappa; 273.1/H-1102/Harappa
SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,87,10,8,22.1/Blk-4/Bala-kot; 68.1/C-55/Chanhu-daro; 198.1/H-1138/Harappa; 424.2/H-1845/Harappa; 485.2/H-1953/Harappa; 512.1/H-1816/Harappa
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,74,4,5,77.1/C-51/Chanhu-daro; 215.1/-/Harappa; 258.1/H-1121/Harappa; 266.1/H-1158/Harappa; 406.2/H-1895/Harappa; 410.2/H-1897/Harappa
