Unit,TextId,CISI,Site,Type,Symbol,SemanticFrame,ClauseType,Frame,SkeletonReading,TokenSkeleton,StructuralParse,ConstraintTier
032,228.1,-,Harappa,TAB,Unknown,TerminalFormula,object or closing formula,<START>|001,TERMINAL_TITLE_OR_OBJECT_ENDING,[TERMINAL_TITLE_OR_OBJECT_ENDING:032] 001 904 031 740,PRODUCTIVE_SLOT(<START>_001)[032] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[904-031-740],A
032,112.1,C-29,Chanhu-daro,SEAL,Unknown,TerminalFormula,object or closing formula,031|<END>,TERMINAL_TITLE_OR_OBJECT_ENDING,[TERMINAL_TITLE_OR_OBJECT_ENDING:032] 634 840 [TERMINAL_TITLE_OR_OBJECT_ENDING:032] 384 740 031 [TERMINAL_TITLE_OR_OBJECT_ENDING:032],032:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(032_740)[634-840-032-384] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],A
032,71.1,C-53,Chanhu-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,031|<END>,TERMINAL_TITLE_OR_OBJECT_ENDING,861 002 235 222 740 031 [TERMINAL_TITLE_OR_OBJECT_ENDING:032],861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],A
032,74.1,C-58,Chanhu-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,031|<END>,TERMINAL_TITLE_OR_OBJECT_ENDING,861 002 235 222 740 031 [TERMINAL_TITLE_OR_OBJECT_ENDING:032],861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],A
032,73.1,C-68,Chanhu-daro,SEAL,Bull,TerminalFormula,object or closing formula,031|<END>,TERMINAL_TITLE_OR_OBJECT_ENDING,713 791 740 031 [TERMINAL_TITLE_OR_OBJECT_ENDING:032],713:SIGN | 791:SIGN | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],A
032,72.1,C-76,Chanhu-daro,SEAL,Gaur,TerminalFormula,object or closing formula,031|<END>,TERMINAL_TITLE_OR_OBJECT_ENDING,456 741 740 530 [TERMINAL_TITLE_OR_OBJECT_ENDING:032] 850 031 [TERMINAL_TITLE_OR_OBJECT_ENDING:032],PRODUCTIVE_SLOT(<START>_741)[456] | 741:SLOT_INITIAL_MODIFIER | 740:TERMINAL_TITLE_OR_SUFFIX | 530:SIGN | 032:SLOT_INITIAL_MODIFIER | 850:SIGN | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],A
032,229.1,H-1312,Harappa,TAB,Unknown,TerminalFormula,object or closing formula,<START>|001,TERMINAL_TITLE_OR_OBJECT_ENDING,[TERMINAL_TITLE_OR_OBJECT_ENDING:032] 001 904 031 740,PRODUCTIVE_SLOT(<START>_001)[032] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[904-031-740],A
032,2212.1,M-165,Mohenjo-daro,SEAL,Bull,ClassifierSlotTerminalFormula,classifier-title-terminal formula,<START>|390,TERMINAL_TITLE_OR_OBJECT_ENDING,[TERMINAL_TITLE_OR_OBJECT_ENDING:032] 390 741 001 760 740 194 740 817,PRODUCTIVE_SLOT(<START>_390)[032] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[760-740-194-740-817],A
032,3993.1,M-1835,Mohenjo-daro,SEAL,Bull,LowEvidenceSequence,low-evidence or mixed formula,<START>|390,TERMINAL_TITLE_OR_OBJECT_ENDING,[TERMINAL_TITLE_OR_OBJECT_ENDING:032] 390 001 004 900 154,PRODUCTIVE_SLOT(<START>_390)[032] | 390:CLOSING_FORMULA_MARKER | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[004-900-154],A
032,2461.1,M-1853,Mohenjo-daro,SEAL,Bull,InitialClassifierFormula,initial classifier formula,820|<END>,TERMINAL_TITLE_OR_OBJECT_ENDING,005 140 820 [TERMINAL_TITLE_OR_OBJECT_ENDING:032],005:SIGN | 140:LEADING_FORMULA_MARKER | 820:INITIAL_TITLE_OR_CLASSIFIER | PRODUCTIVE_SLOT(820_<END>)[032],A
032-220,1544.1,H-601,Harappa,SEAL,Bull,TerminalFormula,object or closing formula,<START>|233,ENTITY_STEM + FINAL_QUALIFIER,[ENTITY_STEM + FINAL_QUALIFIER:032-220] 233 717 740,PRODUCTIVE_SLOT(<START>_233)[032-220] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[717-740],C
032-220,2313.1,M-1763,Mohenjo-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,ENTITY_STEM + FINAL_QUALIFIER,861 002 [ENTITY_STEM + FINAL_QUALIFIER:032-220] 740 565 001 416,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[032-220] | 740:TERMINAL_TITLE_OR_SUFFIX | 565:SIGN | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[416],C
140,775.1,H-1666,Harappa,SEAL,Bull,LowEvidenceSequence,low-evidence or mixed formula,<START>|741,ADMINISTRATIVE_FORMULA_OPENER,[ADMINISTRATIVE_FORMULA_OPENER:140] 741 097 161,PRODUCTIVE_SLOT(<START>_741)[140] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[097-161],C
140,371.2,H-1771,Harappa,TAB,Goat:4,TerminalFormula,object or closing formula,<START>|001,ADMINISTRATIVE_FORMULA_OPENER,[ADMINISTRATIVE_FORMULA_OPENER:140] 001 031 740,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740],C
140,400.2,H-1772,Harappa,TAB,Goat:4,TerminalFormula,object or closing formula,<START>|001,ADMINISTRATIVE_FORMULA_OPENER,[ADMINISTRATIVE_FORMULA_OPENER:140] 001 031 740,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740],C
140,383.2,H-1773,Harappa,TAB,Goat:4,TerminalFormula,object or closing formula,<START>|001,ADMINISTRATIVE_FORMULA_OPENER,[ADMINISTRATIVE_FORMULA_OPENER:140] 001 031 740,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740],C
140,3485.1,M-1114,Mohenjo-daro,SEAL,Zebu,PrimeEntitySealFormula,seal/entity formula,002|740,ADMINISTRATIVE_FORMULA_OPENER,920 060 741 002 [ADMINISTRATIVE_FORMULA_OPENER:140] 740,PRODUCTIVE_SLOT(<START>_741)[920-060] | 741:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[140] | 740:TERMINAL_TITLE_OR_SUFFIX,C
140,2579.1,M-51,Mohenjo-daro,SEAL,Bull,TerminalFormula,object or closing formula,<START>|390,ADMINISTRATIVE_FORMULA_OPENER,[ADMINISTRATIVE_FORMULA_OPENER:140] 390 741 235 350 460 798 740,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[235-350-460-798-740],C
140,3134.1,M-708,Mohenjo-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,<START>|390,ADMINISTRATIVE_FORMULA_OPENER,[ADMINISTRATIVE_FORMULA_OPENER:140] 390 002 061 740,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[061] | 740:TERMINAL_TITLE_OR_SUFFIX,C
176,2017.1,L-46,Lothal,SEAL,Gaur,PrimeEntitySealFormula,seal/entity formula,002|740,ENTITY_STEM,392 861 002 [ENTITY_STEM:176] 740 233 388 527,392:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[388-527],B
176,2654.1,M-127,Mohenjo-daro,SEAL,Bull,TerminalFormula,object or closing formula,<START>|741,ENTITY_STEM,[ENTITY_STEM:176] 741 220 740 565,PRODUCTIVE_SLOT(<START>_741)[176] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[220-740-565],B
176,2543.1,M-15,Mohenjo-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,ENTITY_STEM,861 002 [ENTITY_STEM:176] 740 090,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER,B
176,2323.1,M-1755,Mohenjo-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,ENTITY_STEM,861 002 [ENTITY_STEM:176] 740,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX,B
