"SignA","SignB","ReviewTier","VisualClass","DistributionalSimilarity","PositionalSimilarity","GeographicSeparation","ChronologySeparation","ChronologyCoverage","AllographScore","RegionalAllographyScore","ChronologicalLayeringScore","ModifierScore","FunctionalClusterScore","TopHypothesis","RecommendedNextStep"
"681","687","Sparse","Unreviewed","0.928571","1","0","0.393156","0.9","0.7875","0","0.328566","0.179464","0.777678","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"027","028","Sparse","Unreviewed","1","1","0.108032","0.540852","0.8182","0.777032","0.082488","0.442525","0.178633","0.8375","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"636","642","Sparse","Unreviewed","0.999777","1","0.038512","0.363232","0.6333","0.766259","0.026654","0.229984","0.175934","0.837313","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"773","923","Sparse","Unreviewed","0.894208","0.9722","0.022633","0.390434","0.3889","0.759062","0.018435","0.132002","0.174971","0.72808","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"222","773","Sparse","Unreviewed","0.892679","0.9861","0.131505","0.537698","0.5","0.758295","0.105598","0.23666","0.173003","0.737227","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"100","760","Sparse","Unreviewed","0.896519","0.9712","0.03732","0.165303","0.5448","0.748002","0.027928","0.078413","0.134888","0.729211","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"545","853","Sparse","Unreviewed","0.896854","0.9","0.095471","0.58607","0.5714","0.744346","0.073438","0.270305","0.142883","0.676004","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"201","692","Sparse","Unreviewed","0.988031","0.7909","0.113497","0.72407","0.5244","0.7349","0.076193","0.296712","0.193938","0.654451","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"347","849","Sparse","Unreviewed","0.992278","0.8889","0.230304","0.528957","0.8889","0.732321","0.135829","0.414724","0.18115","0.738705","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"520","740","Sparse","Unreviewed","0.897513","0.84135","0.029952","0.06188","0.5087","0.731854","0.021846","0.02377","0.184608","0.632415","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"565","621","Sparse","Unreviewed","0.899462","0.90275","0.085013","0.324702","0.6757","0.728017","0.057533","0.178151","0.176022","0.680041","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"176","362","Sparse","Unreviewed","0.902176","0.91765","0.187463","0.712824","0.5811","0.726703","0.123153","0.342927","0.173899","0.693351","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"422","423","Sparse","Unreviewed","0.951875","0.9167","0.095938","1","0.4","0.725551","0.056211","0.349034","0.174972","0.730789","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"772","773","Sparse","Unreviewed","0.924473","0.8889","0.010977","0.311278","0.6316","0.723904","0.006953","0.161561","0.17735","0.688227","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"151","621","Sparse","Unreviewed","0.897272","0.85415","0.169585","0.34469","0.5603","0.723684","0.115761","0.148016","0.180959","0.641864","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"467","468","Sparse","Unreviewed","0.975376","0.875","0.086485","0.660365","0.7895","0.714877","0.045391","0.444955","0.178104","0.714768","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"760","773","Sparse","Unreviewed","0.917987","0.9","0.156801","0.400225","0.5804","0.71346","0.090393","0.191916","0.17319","0.691933","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"176","388","Sparse","Unreviewed","0.898303","0.84035","0.092127","0.192552","0.5471","0.711635","0.057789","0.079524","0.142198","0.632219","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"440","540","Sparse","Unreviewed","0.898992","0.88045","0.087454","0.12376","0.575","0.708542","0.051354","0.056326","0.136429","0.662896","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"423","426","Sparse","Unreviewed","0.951303","0.8","0.421438","1","0.6429","0.706781","0.238037","0.489274","0.184853","0.637373","RegionalAllographyTest","Test whether the pair separates by site or region while retaining syntactic behavior."
"101","362","Sparse","Unreviewed","0.898146","0.9167","0.185301","1","0.5385","0.702327","0.097947","0.443363","0.130323","0.689539","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"482","773","Sparse","Unreviewed","0.915337","0.9495","0.236333","0.790988","0.48","0.698133","0.106657","0.32998","0.163104","0.727882","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"467","472","Sparse","Unreviewed","0.940753","0.775","0.270655","0.548795","0.6","0.696198","0.145609","0.24007","0.185068","0.610607","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"241","740","Sparse","Unreviewed","0.897086","0.85945","0.22438","0.625574","0.5098","0.687954","0.111423","0.245886","0.133859","0.645713","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"465","467","Sparse","Unreviewed","0.942111","0.7917","0.146183","1","0.7333","0.685915","0.0696","0.546946","0.180444","0.624666","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"031","416","Sparse","Unreviewed","0.895563","0.7236","0.153896","0.187302","0.527","0.681301","0.082744","0.063966","0.149139","0.542725","NeedsVisualReview","Acquire or inspect visual evidence before interpreting the distributional match."
"773","927","Sparse","Unreviewed","0.912871","0.7778","0.047241","0.453283","0.55","0.680858","0.023346","0.177015","0.180186","0.594651","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"137","234","Sparse","Unreviewed","0.898513","0.875","0.230292","0.790988","0.72","0.676558","0.097563","0.447749","0.129102","0.658442","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"285","817","Sparse","Unreviewed","0.893538","0.7521","0.40809","0.885559","0.4867","0.675651","0.205481","0.289646","0.144114","0.562825","RegionalAllographyTest","Test whether the pair separates by site or region while retaining syntactic behavior."
"263","634","Sparse","Unreviewed","0.916698","0.8333","0.745484","1","0.2727","0.672797","0.307996","0.208311","0.171329","0.639753","RegionalAllographyTest","Test whether the pair separates by site or region while retaining syntactic behavior."
"028","905","Sparse","Unreviewed","0.990443","0.9091","0.443775","1","0.3333","0.671838","0.094321","0.300107","0.163458","0.754095","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"201","920","Sparse","Unreviewed","0.946676","0.5798","0.214815","0.663341","0.5127","0.665739","0.099792","0.186672","0.202002","0.459689","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"465","468","Sparse","Unreviewed","0.961161","0.9167","0.01812","0.727881","0.625","0.655417","0.00291","0.400833","0.157671","0.737918","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"110","942","Sparse","Unreviewed","0.989949","0.9375","0.770756","0.635522","0.5625","0.643357","0","0.33177","0.152776","0.777265","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"156","423","Sparse","Unreviewed","0.893368","0.92985","0.501746","0.840986","0.7368","0.642159","0.095913","0.514733","0.113518","0.69571","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"110","777","Sparse","Unreviewed","0.991241","0.92855","0.706846","1","0.5385","0.641572","0","0.495644","0.15348","0.770849","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"422","426","Sparse","Unreviewed","0.941742","0.75","0.426451","1","0.4","0.638913","0.119084","0.282523","0.173897","0.591532","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"468","472","Sparse","Unreviewed","0.927686","0.65","0.192679","0.689392","0.5","0.637878","0.068307","0.20785","0.185787","0.505009","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"027","905","Sparse","Unreviewed","0.990443","0.9091","0.800106","1","0.4737","0.63643","0","0.426525","0.154606","0.754095","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"698","777","Sparse","Unreviewed","0.930233","0.82145","0.245631","1","0.4118","0.623575","0.037703","0.314673","0.160843","0.639967","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"777","942","Sparse","Unreviewed","0.981278","0.86605","0.003119","1","0.2353","0.62246","0","0.199966","0.156266","0.711737","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"110","698","Sparse","Unreviewed","0.914991","0.75","0.23752","1","0.75","0.610811","0.044078","0.514682","0.166202","0.574729","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"110","515","Sparse","Unreviewed","0.9","0.75","0.674989","0.679455","0.7083","0.607215","0.128225","0.324849","0.164929","0.565313","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"540","777","Sparse","Unreviewed","0.900765","0.82145","0.267852","0.609987","0.5517","0.600033","0.022333","0.24901","0.154221","0.619694","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"110","749","Sparse","Unreviewed","0.917663","0.8","1","0","0.5","0.583682","0","0","0.153237","0.614834","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"110","540","Sparse","Unreviewed","0.90007","0.75","0.396843","0.529143","0.7143","0.583119","0.032316","0.255147","0.158907","0.565356","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
