"SignA","SignB","ReviewTier","Cosine","PositionalDistance","PositionalSimilarity","VisualClass","VisualReviewed","VisualStrength","RegionJSD","RegionCoverage","RegionPermutationP","SiteJSD","SiteCoverage","SitePermutationP","TypeJSD","TypeCoverage","TypePermutationP","PeriodJSD","PeriodCoverage","PeriodPermutationP","PhaseJSD","PhaseCoverage","PhasePermutationP","TimeJSD","TimeCoverage","TimePermutationP","SameCluster","VisualNote"
"817","861","Tier1","0.96502","0.277","0.723","ModerateEnclosedFamily","Y","0.65","0.008404","1","0.8289","0.033165","1","0.6184","0.082325","1","0.0132","0.088996","0.4381","0.2105","0.062535","0.4767","0.4211","0.052702","0.5254","0.25","Y","Both enclosed signs with angular internal marking, but outline and internal geometry differ."
"817","820","Tier1","0.956926","0.1402","0.8598","ModerateEnclosedFamily","Y","0.65","0.008933","1","0.8816","0.070727","1","0.0132","0.085713","1","0.0132","0.120357","0.4022","0.0263","0.061158","0.4796","0.4605","0.049195","0.4968","0.3421","Y","Both enclosed signs, but internal structure differs."
"705","706","Tier1","0.953396","0.11825","0.88175","StrongBaseFamily","Y","1","0.018087","1","0.3026","0.058832","1","0.0789","0.118154","1","0.0132","0.129494","0.3333","0.25","0.124666","0.3988","0.2895","0.081679","0.3988","0.4474","Y","Same open-U/long-stem family with an added or emphasized inner nested stroke."
"692","920","Tier1","0.95317","0.2223","0.7777","WeakVisualMatch","Y","0.15","0.019198","1","0.3553","0.064155","1","0.3158","0.067115","1","0.4868","0.111398","0.387","0.6184","0.091817","0.4957","0.9737","0.097381","0.5043","0.3421","Y","Crossed/X-shaped sign versus curved single-stroke sign."
"526","527","Tier2","0.982841","0.1277","0.8723","Unreviewed","N","0.25","0.123502","1","0.1316","0.295934","1","0.0132","0.36599","1","0.0132","1","0.4079","0.0132","0.899303","0.4737","0.0132","0.73068","0.4079","0.0132","Y","No catalog-level visual adjudication yet."
"090","565","Tier2","0.953096","0.0612","0.9388","Unreviewed","N","0.25","0.13315","1","0.0395","0.157385","1","0.2368","0.278065","1","0.0526","0.214498","0.5333","0.6316","0.203998","0.5524","0.9079","0.198362","0.5571","0.6316","Y","No catalog-level visual adjudication yet."
"400","565","Tier2","0.950984","0.19445","0.80555","Unreviewed","N","0.25","0.189361","1","0.0132","0.206747","1","0.0132","0.439123","1","0.0132","0.266922","0.3656","0.0132","0.371607","0.619","0.0526","0.179467","0.6983","0.5789","Y","No catalog-level visual adjudication yet."
"167","868","Tier3","0.967096","0","1","Unreviewed","N","0.25","0.332474","1","0.0132","0.332474","1","0.0132","0.476947","1","0.0132","0.236453","0.5","0.2763","0.438808","0.7188","0.1316","0.22768","0.6875","0.4605","Y","No catalog-level visual adjudication yet."
"090","400","Tier3","0.949789","0.13325","0.86675","Unreviewed","N","0.25","0.167572","1","0.0132","0.184769","1","0.0132","0.210794","1","0.0132","0.143572","0.406","0.0132","0.223222","0.594","0.0132","0.052083","0.6542","0.0395","Y","No catalog-level visual adjudication yet."
"435","436","Tier3","0.949715","0.0185","0.9815","Unreviewed","N","0.25","0.228402","1","0.0132","0.266701","1","0.0132","0.4679","1","0.0132","0.402304","0.3261","0.7632","0.453757","0.5326","0.0526","0.176353","0.5652","0.6447","Y","No catalog-level visual adjudication yet."
