Filler,TotalCount,FrameCount,SiteCount,Frames,DominantSite,DominantSiteShare,Lead
002,55,11,9,861|<END>:20; 817|<END>:13; 820|<END>:10; <START>|240:3; 820|740:3; 002|<END>:1; 741|<END>:1; <START>|233:1; <START>|520:1; 031|<END>:1; <START>|390:1,Harappa,0.3091,SameFillerAcrossFrames
240,31,10,6,<START>|233:9; <START>|520:8; 002|<END>:4; 060|740:2; 741|<END>:2; 002|740:2; 031|<END>:1; 235|<END>:1; 060|<END>:1; 032|740:1,Harappa,0.5484,SameFillerAcrossFrames
003,21,10,5,<START>|390:9; 741|<END>:2; 001|<END>:2; 002|<END>:2; <START>|741:1; 861|<END>:1; <START>|233:1; <START>|001:1; 817|<END>:1; 031|<END>:1,Harappa,0.4286,SameFillerAcrossFrames
220,23,9,6,<START>|520:7; 002|<END>:5; 032|740:4; <START>|240:2; 002|740:1; 233|<END>:1; <START>|233:1; 060|740:1; <START>|001:1,Harappa,0.5217,SameFillerAcrossFrames
740,34,8,9,031|<END>:9; 861|<END>:9; 817|<END>:4; 002|<END>:4; 235|<END>:3; 233|<END>:3; <START>|001:1; 060|<END>:1,Harappa,0.4412,SameFillerAcrossFrames
032,25,8,5,031|<END>:8; 820|<END>:5; 002|<END>:4; <START>|001:2; <START>|240:2; <START>|390:2; 060|740:1; <START>|520:1,Chanhu-daro,0.28,SameFillerAcrossFrames
176-740,20,8,6,233|<END>:7; 002|<END>:3; 741|<END>:3; 031|<END>:2; 001|<END>:2; 060|<END>:1; 235|<END>:1; <START>|001:1,Mohenjo-daro,0.55,SameFillerAcrossFrames
031,16,8,8,<START>|520:4; <START>|240:3; 002|<END>:2; 031|<END>:2; <START>|001:2; 820|740:1; 817|<END>:1; 820|<END>:1,Mohenjo-daro,0.375,SameFillerAcrossFrames
032-220,11,7,4,<START>|240:3; 002|<END>:3; 060|<END>:1; <START>|233:1; 002|740:1; 817|<END>:1; <START>|520:1,Harappa,0.4545,SameFillerAcrossFrames
520,42,6,10,233|<END>:20; 235|<END>:10; 031|<END>:5; 001|<END>:3; 002|<END>:3; <START>|390:1,Mohenjo-daro,0.3333,SameFillerAcrossFrames
