FinalSign,TotalCount,FrameCount,DistinctStems,DistinctFillers,SiteCount,DominantFrame,DominantFrameShare,RoleLead
740,870,14,512,513,19,002|<END>,0.3092,HIGH_REUSE_FINAL_MODIFIER
520,242,13,114,115,13,002|<END>,0.3471,HIGH_REUSE_FINAL_MODIFIER
220,133,15,69,70,12,<START>|520,0.4887,HIGH_REUSE_FINAL_MODIFIER
390,151,16,67,68,16,002|<END>,0.3046,HIGH_REUSE_FINAL_MODIFIER
090,118,12,56,57,11,741|<END>,0.2119,HIGH_REUSE_FINAL_MODIFIER
760,59,9,43,44,9,002|740,0.5932,HIGH_REUSE_FINAL_MODIFIER
590,78,8,42,43,7,<START>|390,0.8333,HIGH_REUSE_FINAL_MODIFIER
400,70,12,42,43,4,235|<END>,0.2143,HIGH_REUSE_FINAL_MODIFIER
100,57,9,39,40,10,002|740,0.5263,HIGH_REUSE_FINAL_MODIFIER
002,165,12,38,39,12,<START>|240,0.503,HIGH_REUSE_FINAL_MODIFIER
033,60,12,38,39,9,<START>|520,0.65,HIGH_REUSE_FINAL_MODIFIER
151,47,9,37,38,5,002|<END>,0.3191,HIGH_REUSE_FINAL_MODIFIER
527,49,12,33,34,4,002|<END>,0.3673,HIGH_REUSE_FINAL_MODIFIER
235,87,7,32,33,6,<START>|240,0.4943,HIGH_REUSE_FINAL_MODIFIER
240,95,14,29,30,9,<START>|520,0.4737,HIGH_REUSE_FINAL_MODIFIER
032,62,15,29,30,9,002|740,0.1774,HIGH_REUSE_FINAL_MODIFIER
798,57,12,29,30,5,<START>|240,0.3509,HIGH_REUSE_FINAL_MODIFIER
405,36,14,28,29,6,002|<END>,0.3056,HIGH_REUSE_FINAL_MODIFIER
741,44,11,26,27,7,<START>|001,0.3409,HIGH_REUSE_FINAL_MODIFIER
233,41,11,25,26,6,<START>|520,0.561,HIGH_REUSE_FINAL_MODIFIER
031,49,16,24,25,12,<START>|240,0.2041,HIGH_REUSE_FINAL_MODIFIER
368,37,9,24,25,5,<START>|001,0.2703,HIGH_REUSE_FINAL_MODIFIER
003,51,12,22,23,8,<START>|390,0.5882,HIGH_REUSE_FINAL_MODIFIER
803,42,12,20,21,9,<START>|233,0.3333,HIGH_REUSE_FINAL_MODIFIER
231,26,11,19,20,5,<START>|520,0.3462,POSSIBLE_SUFFIX_OR_FINAL_MODIFIER
407,36,11,18,18,3,233|<END>,0.25,POSSIBLE_SUFFIX_OR_FINAL_MODIFIER
004,26,4,17,18,8,<START>|390,0.8846,POSSIBLE_SUFFIX_OR_FINAL_MODIFIER
585,20,4,17,17,4,002|740,0.6,POSSIBLE_SUFFIX_OR_FINAL_MODIFIER
621,18,7,17,17,2,002|<END>,0.4444,POSSIBLE_SUFFIX_OR_FINAL_MODIFIER
001,22,10,16,17,7,<START>|240,0.2727,POSSIBLE_SUFFIX_OR_FINAL_MODIFIER
060,67,8,15,16,10,<START>|741,0.5672,POSSIBLE_SUFFIX_OR_FINAL_MODIFIER
226,21,9,15,16,6,002|<END>,0.4762,POSSIBLE_SUFFIX_OR_FINAL_MODIFIER
