TextId,CISI,Region,Site,Type,Symbol,Material,Complete,Direction,RawText,ReadingTokens,Frame,Left,Right,Filler,FillerLength,StartPos,EndPos,LeftContext,RightContext,SlotScore
5.1,-,Lower Indus,Allahdino,TAG,Bull,Clay,Y,R/L,+740-235+,235-740,235|<END>,235,<END>,740,1,2,2,235,,0.9221
6.1,Ad-1,Lower Indus,Allahdino,SEAL:S,Bull1,Steatite,Y,R/L,+740-390-590+,590-390-740,<START>|390,<START>,390,590,1,1,1,,390 740,0.9409
7.1,Ad-2,Lower Indus,Allahdino,SEAL:S,Bull1:J,Steatite,Y,R/L,+368-390-125-033+,033-125-390-368,<START>|390,<START>,390,033-125,2,1,2,,390 368,0.9409
8.1,Ad-3,Lower Indus,Allahdino,SEAL:S,Bull1:II,Steatite,Y,R/L,+740-904-033-705-235+,235-705-033-904-740,235|<END>,235,<END>,705-033-904-740,4,2,5,235,,0.9221
9.1,Ad-4,Lower Indus,Allahdino,SEAL:S,Bull1:II,Steatite,Y,R/L,+740-017-495-235-741-066+,066-741-235-495-017-740,741|<END>,741,<END>,235-495-017-740,4,3,6,066 741,,0.9357
9.1,Ad-4,Lower Indus,Allahdino,SEAL:S,Bull1:II,Steatite,Y,R/L,+740-017-495-235-741-066+,066-741-235-495-017-740,235|<END>,235,<END>,495-017-740,3,4,6,066 741 235,,0.9221
9.1,Ad-4,Lower Indus,Allahdino,SEAL:S,Bull1:II,Steatite,Y,R/L,+740-017-495-235-741-066+,066-741-235-495-017-740,<START>|741,<START>,741,066,1,1,1,,741 235 495,0.9111
13.1,Ad-8,Lower Indus,Allahdino,MISC,Elep,Clay,N,R/L,+740-440-503-002-861-000+,861-002-503-440-740,002|740,002,740,503-440,2,3,4,861 002,740,0.957
13.1,Ad-8,Lower Indus,Allahdino,MISC,Elep,Clay,N,R/L,+740-440-503-002-861-000+,861-002-503-440-740,002|<END>,002,<END>,503-440-740,3,3,5,861 002,,0.9374
13.1,Ad-8,Lower Indus,Allahdino,MISC,Elep,Clay,N,R/L,+740-440-503-002-861-000+,861-002-503-440-740,861|<END>,861,<END>,002-503-440-740,4,2,5,861,,0.9141
16.1,Alt-90,Central Asia,Altyn Depe,SEAL:S,,Soft stone,Y,L/R,+390-415+,415-390,<START>|390,<START>,390,415,1,1,1,,390,0.9409
17.1,Ai-7,Lower Indus,Amri,POT:T:g,,Clay,Y,L/R,+390-034+,034-390,<START>|390,<START>,390,034,1,1,1,,390,0.9409
18.1,-,Lower Indus,Bakkar Buthi,POT:T:g,,Clay,Y,R/L,+405-844-032-840-002-861+,861-002-840-032-844-405,002|<END>,002,<END>,840-032-844-405,4,3,6,861 002,,0.9374
18.1,-,Lower Indus,Bakkar Buthi,POT:T:g,,Clay,Y,R/L,+405-844-032-840-002-861+,861-002-840-032-844-405,861|<END>,861,<END>,002-840-032-844-405,5,2,6,861,,0.9141
19.1,Blk-1,Lower Indus,Bala-kot,SEAL:S,Bull1,-,Y,R/L,+226-003-002-297-350-125-413+,413-125-350-297-002-003-226,002|<END>,002,<END>,003-226,2,6,7,350 297 002,,0.9374
20.1,Blk-2,Lower Indus,Bala-kot,SEAL:S,Bull1,-,Y,R/L,+390-717-061-002-368-634+,634-368-002-061-717-390,<START>|390,<START>,390,634-368-002-061-717,5,1,5,,390,0.9409
20.1,Blk-2,Lower Indus,Bala-kot,SEAL:S,Bull1,-,Y,R/L,+390-717-061-002-368-634+,634-368-002-061-717-390,002|<END>,002,<END>,061-717-390,3,4,6,634 368 002,,0.9374
21.1,Blk-3,Lower Indus,Bala-kot,SEAL:S,Bull1:II,-,N,R/L,+000-388-233-000-000+,233-388,233|<END>,233,<END>,388,1,2,2,233,,0.9172
26.1,-,Eastern Headwaters,Banawali,SEAL:S,Goat:3,Steatite,Y,R/L,+520-001+,001-520,001|<END>,001,<END>,520,1,2,2,001,,0.9257
26.1,-,Eastern Headwaters,Banawali,SEAL:S,Goat:3,Steatite,Y,R/L,+520-001+,001-520,<START>|520,<START>,520,001,1,1,1,,520,0.9171
27.1,B-1,Eastern Headwaters,Banawali,SEAL:S,Bull1:O,Steatite,Y,R/L,+090-740-220-002-368-550-821+,821-550-368-002-220-740-090,002|740,002,740,220,1,5,5,550 368 002,740 090,0.957
27.1,B-1,Eastern Headwaters,Banawali,SEAL:S,Bull1:O,Steatite,Y,R/L,+090-740-220-002-368-550-821+,821-550-368-002-220-740-090,002|<END>,002,<END>,220-740-090,3,5,7,550 368 002,,0.9374
30.1,B-5,Eastern Headwaters,Banawali,SEAL:S,Bull3,-,Y,R/L,+002-817+,817-002,817|<END>,817,<END>,002,1,2,2,817,,0.9164
31.1,B-7,Eastern Headwaters,Banawali,SEAL:S,Buff,Steatite,Y,R/L,+002-817+,817-002,817|<END>,817,<END>,002,1,2,2,817,,0.9164
33.1,B-9,Eastern Headwaters,Banawali,SEAL:S,Goat:3,Steatite,Y,R/L,+390-004+,004-390,<START>|390,<START>,390,004,1,1,1,,390,0.9409
36.1,B-15,Eastern Headwaters,Banawali,SEAL:S,Rhin,Steatite,Y,R/L,+002-817+,817-002,817|<END>,817,<END>,002,1,2,2,817,,0.9164
37.1,B-17,Eastern Headwaters,Banawali,SEAL:S,Htgr,Steatite,Y,R/L,+236-002-308-072+,072-308-002-236,002|<END>,002,<END>,236,1,4,4,072 308 002,,0.9374
38.1,B-18,Eastern Headwaters,Banawali,SEAL:S,-,-,N,R/L,]000-002-861+,861-002,861|<END>,861,<END>,002,1,2,2,861,,0.9141
40.1,B-21,Eastern Headwaters,Banawali,SEAL:R,,Steatite,Y,R/L,+426-003-060-692+,692-060-003-426,060|<END>,060,<END>,003-426,2,3,4,692 060,,0.949
41.1,B-23,Eastern Headwaters,Banawali,TAG,Scene,-,?,T/B,+520-220-002[,002-220-520,002|<END>,002,<END>,220-520,2,2,3,002,,0.9374
41.1,B-23,Eastern Headwaters,Banawali,TAG,Scene,-,?,T/B,+520-220-002[,002-220-520,<START>|520,<START>,520,002-220,2,1,2,,520,0.9171
50.1,-,Eastern Headwaters,Bhirrana,SEAL:S,Buff,-,Y,L/R,+390-003-003+,003-003-390,<START>|390,<START>,390,003-003,2,1,2,,390,0.9409
52.1,-,Eastern Headwaters,Bhirrana,SEAL:S,Bull1,-,Y,R/L,+236-002-820+,820-002-236,002|<END>,002,<END>,236,1,3,3,820 002,,0.9374
52.1,-,Eastern Headwaters,Bhirrana,SEAL:S,Bull1,-,Y,R/L,+236-002-820+,820-002-236,820|<END>,820,<END>,002-236,2,2,3,820,,0.9239
61.1,C-66,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+390-003-002-817+,817-002-003-390,<START>|390,<START>,390,817-002-003,3,1,3,,390,0.9409
61.1,C-66,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+390-003-002-817+,817-002-003-390,002|<END>,002,<END>,003-390,2,3,4,817 002,,0.9374
61.1,C-66,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+390-003-002-817+,817-002-003-390,817|<END>,817,<END>,002-003-390,3,2,4,817,,0.9164
62.1,C-65,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,N,R/L,+000-100-240-220-032-002-861+,861-002-032-220-240-100,002|<END>,002,<END>,032-220-240-100,4,3,6,861 002,,0.9374
62.1,C-65,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,N,R/L,+000-100-240-220-032-002-861+,861-002-032-220-240-100,<START>|240,<START>,240,861-002-032-220,4,1,4,,240 100,0.9149
62.1,C-65,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,N,R/L,+000-100-240-220-032-002-861+,861-002-032-220-240-100,861|<END>,861,<END>,002-032-220-240-100,5,2,6,861,,0.9141
64.1,C-54,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+842-032-031-592-031-060-920+,920-060-031-592-031-032-842,060|<END>,060,<END>,031-592-031-032-842,5,3,7,920 060,,0.949
64.1,C-54,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+842-032-031-592-031-060-920+,920-060-031-592-031-032-842,031|<END>,031,<END>,592-031-032-842,4,4,7,920 060 031,,0.9116
64.1,C-54,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+842-032-031-592-031-060-920+,920-060-031-592-031-032-842,031|<END>,031,<END>,032-842,2,6,7,031 592 031,,0.9116
65.1,C-59,Lower Indus,Chanhu-daro,SEAL:S,Bull1:V,Steatite,Y,R/L,+740-482-235+,235-482-740,235|<END>,235,<END>,482-740,2,2,3,235,,0.9221
66.1,C-69,Lower Indus,Chanhu-daro,SEAL:S,Bull1:J,Steatite,Y,R/L,+390-844-060-575-717+,717-575-060-844-390,060|<END>,060,<END>,844-390,2,4,5,717 575 060,,0.949
66.1,C-69,Lower Indus,Chanhu-daro,SEAL:S,Bull1:J,Steatite,Y,R/L,+390-844-060-575-717+,717-575-060-844-390,<START>|390,<START>,390,717-575-060-844,4,1,4,,390,0.9409
67.1,C-75,Lower Indus,Chanhu-daro,SEAL:S,Elep,Steatite,Y,R/L,+740-531-060-692+,692-060-531-740,060|<END>,060,<END>,531-740,2,3,4,692 060,,0.949
67.1,C-75,Lower Indus,Chanhu-daro,SEAL:S,Elep,Steatite,Y,R/L,+740-531-060-692+,692-060-531-740,060|740,060,740,531,1,3,3,692 060,740,0.9276
68.1,C-55,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+740-067-741-647-892+,892-647-741-067-740,741|<END>,741,<END>,067-740,2,4,5,892 647 741,,0.9357
68.1,C-55,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+740-067-741-647-892+,892-647-741-067-740,<START>|741,<START>,741,892-647,2,1,2,,741 067 740,0.9111
69.1,C-60,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+740-176-032-002-861+,861-002-032-176-740,002|740,002,740,032-176,2,3,4,861 002,740,0.957
69.1,C-60,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+740-176-032-002-861+,861-002-032-176-740,002|<END>,002,<END>,032-176-740,3,3,5,861 002,,0.9374
69.1,C-60,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+740-176-032-002-861+,861-002-032-176-740,861|<END>,861,<END>,002-032-176-740,4,2,5,861,,0.9141
69.1,C-60,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+740-176-032-002-861+,861-002-032-176-740,032|740,032,740,176,1,4,4,861 002 032,740,0.9103
70.1,C-70,Lower Indus,Chanhu-daro,SEAL:S,Bull1:II,Steatite,Y,R/L,+032-031/151-740-240-235+,235-240-740-151-031-032,235|<END>,235,<END>,240-740-151-031-032,5,2,6,235,,0.9221
70.1,C-70,Lower Indus,Chanhu-daro,SEAL:S,Bull1:II,Steatite,Y,R/L,+032-031/151-740-240-235+,235-240-740-151-031-032,<START>|240,<START>,240,235,1,1,1,,240 740 151,0.9149
70.1,C-70,Lower Indus,Chanhu-daro,SEAL:S,Bull1:II,Steatite,Y,R/L,+032-031/151-740-240-235+,235-240-740-151-031-032,031|<END>,031,<END>,032,1,6,6,740 151 031,,0.9116
71.1,C-53,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,002|740,002,740,235-222,2,3,4,861 002,740 031 032,0.957
71.1,C-53,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,002|<END>,002,<END>,235-222-740-031-032,5,3,7,861 002,,0.9374
71.1,C-53,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,235|<END>,235,<END>,222-740-031-032,4,4,7,861 002 235,,0.9221
71.1,C-53,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,031|<END>,031,<END>,032,1,7,7,222 740 031,,0.9116
72.1,C-76,Lower Indus,Chanhu-daro,SEAL:S,Gaur,Steatite,Y,R/L,+032-031/850-032-530-740-741-456+,456-741-740-530-032-850-031-032,031|<END>,031,<END>,032,1,8,8,032 850 031,,0.9116
72.1,C-76,Lower Indus,Chanhu-daro,SEAL:S,Gaur,Steatite,Y,R/L,+032-031/850-032-530-740-741-456+,456-741-740-530-032-850-031-032,<START>|741,<START>,741,456,1,1,1,,741 740 530,0.9111
73.1,C-68,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-791-713+,713-791-740-031-032,031|<END>,031,<END>,032,1,5,5,791 740 031,,0.9116
74.1,C-58,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,002|740,002,740,235-222,2,3,4,861 002,740 031 032,0.957
74.1,C-58,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,002|<END>,002,<END>,235-222-740-031-032,5,3,7,861 002,,0.9374
74.1,C-58,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,235|<END>,235,<END>,222-740-031-032,4,4,7,861 002 235,,0.9221
74.1,C-58,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,031|<END>,031,<END>,032,1,7,7,222 740 031,,0.9116
75.1,C-79,Lower Indus,Chanhu-daro,SEAL:S,-,Steatite,Y,L/R,+226-014-817+,817-014-226,817|<END>,817,<END>,014-226,2,2,3,817,,0.9164
76.1,C-74,Lower Indus,Chanhu-daro,SEAL:S,Gaur,Steatite,Y,R/L,+125-002-861+,861-002-125,002|<END>,002,<END>,125,1,3,3,861 002,,0.9374
76.1,C-74,Lower Indus,Chanhu-daro,SEAL:S,Gaur,Steatite,Y,R/L,+125-002-861+,861-002-125,861|<END>,861,<END>,002-125,2,2,3,861,,0.9141
78.1,C-71,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,N,-,+000-000-000/000-861-002-906-003+,003-906-002-861,002|<END>,002,<END>,861,1,4,4,003 906 002,,0.9374
79.1,C-56,Lower Indus,Chanhu-daro,SEAL:S,Bull1:I,Steatite,Y,R/L,+001-368-767+,767-368-001,<START>|001,<START>,001,767-368,2,1,2,,001,0.9181
81.1,C-78,Lower Indus,Chanhu-daro,SEAL:S,,Steatite,Y,R/L,+740-636-240/002-817+,817-002-240-636-740,002|740,002,740,240-636,2,3,4,817 002,740,0.957
81.1,C-78,Lower Indus,Chanhu-daro,SEAL:S,,Steatite,Y,R/L,+740-636-240/002-817+,817-002-240-636-740,002|<END>,002,<END>,240-636-740,3,3,5,817 002,,0.9374
81.1,C-78,Lower Indus,Chanhu-daro,SEAL:S,,Steatite,Y,R/L,+740-636-240/002-817+,817-002-240-636-740,817|<END>,817,<END>,002-240-636-740,4,2,5,817,,0.9164
81.1,C-78,Lower Indus,Chanhu-daro,SEAL:S,,Steatite,Y,R/L,+740-636-240/002-817+,817-002-240-636-740,<START>|240,<START>,240,817-002,2,1,2,,240 636 740,0.9149
82.1,C-57,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,N,R/L,+740-032-840-002-296-530-000+,530-296-002-840-032-740,002|740,002,740,840-032,2,4,5,530 296 002,740,0.957
82.1,C-57,Lower Indus,Chanhu-daro,SEAL:S,Bull1:W,Steatite,N,R/L,+740-032-840-002-296-530-000+,530-296-002-840-032-740,002|<END>,002,<END>,840-032-740,3,4,6,530 296 002,,0.9374
83.1,C-62,Lower Indus,Chanhu-daro,SEAL:S,Bull1:S,Steatite,?,R/L,]176-220-415-060-920+,920-060-415-220-176,060|<END>,060,<END>,415-220-176,3,3,5,920 060,,0.949
