Frame,Stem,TotalCount,DistinctFinals,FinalSet,ParadigmLead
861|<END>,002,17,14,236:3; 235:2; 125:1; 031:1; 226:1; 740:1; 832:1; 003:1; 240:1; 495:1; 231:1; 016:1; 705:1; 136:1,StemWithAlternatingFinals
817|<END>,002,14,13,832:2; 031:1; 034:1; 233:1; 900:1; 048:1; 506:1; 005:1; 416:1; 004:1; 772:1; 798:1; 838:1,StemWithAlternatingFinals
002|740,240,23,12,482:8; 904:3; 176:2; 773:2; 636:1; 643:1; 639:1; 806:1; 637:1; 772:1; 717:1; 923:1,StemWithAlternatingFinals
820|<END>,002,15,12,032:2; 740:2; 520:2; 236:1; 104:1; 240:1; 803:1; 137:1; 139:1; 003:1; 406:1; 049:1,StemWithAlternatingFinals
032|740,220,13,10,923:3; 176:2; 231:1; 803:1; 904:1; 094:1; 055:1; 773:1; 100:1; 440:1,StemWithAlternatingFinals
820|740,002,10,10,101:1; 441:1; 482:1; 042:1; 388:1; 222:1; 540:1; 803:1; 904:1; 100:1,StemWithAlternatingFinals
<START>|390,861-002,13,8,590:3; 003:3; 016:2; 004:1; 015:1; 803:1; 710:1; 869:1,StemWithAlternatingFinals
002|740,233,8,8,803:1; 100:1; 565:1; 560:1; 717:1; 482:1; 335:1; 440:1,StemWithAlternatingFinals
002|740,235,10,7,222:3; 760:2; 380:1; 770:1; 240:1; 482:1; 100:1,StemWithAlternatingFinals
002|<END>,031,7,7,520:1; 760:1; 415:1; 820:1; 136:1; 157:1; 575:1,StemWithAlternatingFinals
002|740,032,9,6,760:3; 205:2; 176:1; 384:1; 220:1; 904:1,StemWithAlternatingFinals
<START>|240,861-002,7,6,798:2; 220:1; 233:1; 806:1; 031:1; 803:1,StemWithAlternatingFinals
002|<END>,140,6,6,100:1; 136:1; 226:1; 740:1; 484:1; 840:1,StemWithAlternatingFinals
060|740,741,6,6,821:1; 440:1; 042:1; 460:1; 416:1; 927:1,StemWithAlternatingFinals
235|<END>,240,6,6,740:1; 520:1; 151:1; 226:1; 705:1; 255:1,StemWithAlternatingFinals
<START>|233,861-002,6,6,049:1; 220:1; 803:1; 798:1; 031:1; 550:1,StemWithAlternatingFinals
002|<END>,003,18,5,390:14; 226:1; 405:1; 122:1; 426:1,StemWithAlternatingFinals
060|740,240,9,5,603:3; 642:2; 636:2; 772:1; 798:1,StemWithAlternatingFinals
<START>|390,820-002,8,5,003:4; 844:1; 531:1; 004:1; 590:1,StemWithAlternatingFinals
001|<END>,003,6,5,423:2; 422:1; 427:1; 137:1; 424:1,StemWithAlternatingFinals
002|<END>,803,6,5,241:2; 235:1; 226:1; 740:1; 240:1,StemWithAlternatingFinals
060|<END>,003,6,5,390:2; 426:1; 423:1; 156:1; 405:1,StemWithAlternatingFinals
