StructuralTemplate,Count
SIGN,542
SIGN SIGN,372
SIGN TERMINAL_TITLE_OR_SUFFIX,249
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,240
PRODUCTIVE_SLOT PRODUCTIVE_SLOT,230
TERMINAL_TITLE_OR_SUFFIX,164
SLOT_FINAL_MODIFIER SIGN,158
SLOT_FINAL_MODIFIER,133
SLOT_INITIAL_MODIFIER SIGN,130
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,128
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,116
LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,114
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER,111
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,102
PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX,99
SLOT_INITIAL_MODIFIER,98
INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,90
SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,79
SIGN SLOT_FINAL_MODIFIER,78
SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,72
NAME_LIKE_BLOCK NAME_LIKE_BLOCK,68
SIGN SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,63
SIGN SIGN SIGN,61
PRODUCTIVE_SLOT PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,47
TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,41
INITIAL_TITLE_OR_CLASSIFIER,39
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,38
SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,38
LEADING_FORMULA_MARKER,37
SIGN SIGN SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,35
SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,35
SIGN SLOT_INITIAL_MODIFIER,35
LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,35
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER,33
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,33
SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,30
SIGN INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,30
LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,29
SIGN SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,28
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,27
SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,24
LEADING_FORMULA_MARKER SIGN,24
SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,23
SIGN SIGN SIGN SIGN,22
SIGN SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,22
NAME_LIKE_BLOCK PRODUCTIVE_SLOT,21
NAME_LIKE_BLOCK,21
SIGN LEADING_FORMULA_MARKER,20
CLOSING_FORMULA_MARKER,20
LEADING_FORMULA_MARKER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,19
SIGN LEADING_FORMULA_MARKER SIGN,19
SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,19
SLOT_INITIAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,17
SLOT_FINAL_MODIFIER SIGN SIGN,17
SIGN SLOT_INITIAL_MODIFIER SIGN,16
SIGN SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,15
SLOT_FINAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,15
SIGN NAME_LIKE_BLOCK,14
SIGN SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,14
SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX,13
SIGN LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,13
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SIGN,12
SLOT_INITIAL_MODIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,12
