TextId,CISI,Region,Site,Type,Symbol,Material,Complete,Direction,RawText,ReadingTokens,StructuralParse,StructuralTemplate,SemanticFrame,SemanticOptions,SlotFillers,NameLikeBlocks,CrossFrameReuse,MinimalPairEvidence,ReconstructionConfidence,PhoneticReadiness,NextTest
2851.1,M-355,Lower Indus,Mohenjo-daro,SEAL:R,,Steatite,Y,R/L,+740-877-032-033-705-231-235-002-861-360-520-919-140+,140-919-520-360-861-002-235-231-705-033-032-877-740,PRODUCTIVE_SLOT(<START>_520)[140-919] | 520:TERMINAL_TITLE_OR_SUFFIX | 360:SIGN | NAME_LIKE_BLOCK[861-002-235] | 231:SIGN | 705:SLOT_INITIAL_MODIFIER | 033:SLOT_FINAL_MODIFIER | 032:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(032_740)[877] | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN NAME_LIKE_BLOCK SIGN SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX,ClassifierSlotTerminalFormula,classifier + entity/title/place + terminal marker,<START>|520:140-919@1-2; 032|740:877@12-12,861-002-235@5-7,,877,0.77,High,"compare all artifacts in frames 032|740, <START>|520; inspect minimal alternation(s) involving 877"
3485.1,M-1114,Lower Indus,Mohenjo-daro,SEAL:S,Zebu,Steatite,Y,R/L,+740-140-002-741-060-920+,920-060-741-002-140-740,PRODUCTIVE_SLOT(<START>_741)[920-060] | 741:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[140] | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|741:920-060@1-2; 002|740:140@5-5,,140; 920-060,140,0.75,High,"compare all artifacts in frames 002|740, <START>|741; test reused filler(s) 140, 920-060 across frames; inspect minimal alternation(s) involving 140"
1189.1,H-148,Inter-Riverine,Harappa,SEAL:R,,Steatite,Y,R/L,+520-240-235+,235-240-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:235@1-1; 235|<END>:240-520@2-3,,235; 240-520,235; 240-520,0.74,High,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235, 240-520 across frames; inspect minimal alternation(s) involving 235, 240-520"
1430.1,H-440,Inter-Riverine,Harappa,SEAL:S,Bull1:W,Steatite,Y,R/L,+090-740-240-031+,031-240-740-090,PRODUCTIVE_SLOT(<START>_240)[031] | PRODUCTIVE_SLOT(031_<END>)[240-740-090],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:031@1-1; 031|<END>:240-740-090@2-4,,031; 240-740-090,031; 240-740-090,0.74,High,"compare all artifacts in frames 031|<END>, <START>|240; test reused filler(s) 031, 240-740-090 across frames; inspect minimal alternation(s) involving 031, 240-740-090"
2013.1,L-41,Gujarat/Kutch,Lothal,SEAL:S,Bull,Clay,Y,R/L,+090-740-233-002-817+,817-002-233-740-090,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233] | PRODUCTIVE_SLOT(233_<END>)[740-090],PRODUCTIVE_SLOT PRIME_ENTITY_SLOT PRODUCTIVE_SLOT,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|233:817-002@1-2; 002|740:233@3-3; 233|<END>:740-090@4-5,,233; 817-002,233; 740-090; 817-002,0.74,High,"compare all artifacts in frames 002|740, 233|<END>, <START>|233; test reused filler(s) 233, 817-002 across frames; inspect minimal alternation(s) involving 233, 740-090, 817-002"
3122.1,M-686,Lower Indus,Mohenjo-daro,SEAL,,Steatite,Y,R/L,+520-235-806+,806-235-520,PRODUCTIVE_SLOT(<START>_520)[806-235] | PRODUCTIVE_SLOT(235_<END>)[520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|520:806-235@1-2; 235|<END>:520@3-3,,520,520; 806-235,0.74,High,"compare all artifacts in frames 235|<END>, <START>|520; test reused filler(s) 520 across frames; inspect minimal alternation(s) involving 520, 806-235"
3134.1,M-708,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+740-061-002-390-140+,140-390-002-061-740,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[061] | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|390:140@1-1; 002|740:061@4-4,,140,061; 140,0.74,High,"compare all artifacts in frames 002|740, <START>|390; test reused filler(s) 140 across frames; inspect minimal alternation(s) involving 061, 140"
4232.1,-,Gujarat/Kutch,Dholavira,SEAL:S,Bull1:J,-,Y,R/L,+520-235+,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|520:235@1-1; 235|<END>:520@2-2,,235; 520,235; 520,0.74,High,"compare all artifacts in frames 235|<END>, <START>|520; test reused filler(s) 235, 520 across frames; inspect minimal alternation(s) involving 235, 520"
5269.1,Rhd-1,Upper Indus,Rahman-deri,SEAL,MISC,Bone,Y,-,+520-031+,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|520:031@1-1; 031|<END>:520@2-2,,031; 520,031; 520,0.74,High,"compare all artifacts in frames 031|<END>, <START>|520; test reused filler(s) 031, 520 across frames; inspect minimal alternation(s) involving 031, 520"
5421.1,-,Gujarat/Kutch,Kanmer,SEAL:S,Ass,Steatite,Y,R/L,+520-031+,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|520:031@1-1; 031|<END>:520@2-2,,031; 520,031; 520,0.74,High,"compare all artifacts in frames 031|<END>, <START>|520; test reused filler(s) 031, 520 across frames; inspect minimal alternation(s) involving 031, 520"
