"SignA","SignB","Cosine","SharedFeatures","TotalA","TotalB","CandidateA","CandidateB","StartPctA","StartPctB","EndPctA","EndPctB","MedialPctA","MedialPctB","SiteJaccard","TypeJaccard","SameTextCount","AdjacentCount","ClusterIds","SameCluster","ReviewRank","ReviewTier","ReviewAction","VisualCatalogStatus","PreliminaryVerdict"
"817","861","0.96502","7","221","272","InitialCandidate","Unclassified","0.8902","0.6132","0.0244","0.1698","0.0854","0.217","0.45","0.4444","2","0","N005","Y","1","Tier1","Immediate visual/catalog review","Pending","Distributional candidate only"
"817","820","0.956926","11","221","244","InitialCandidate","Unclassified","0.8902","0.7353","0.0244","0.0824","0.0854","0.1529","0.3333","0.5","4","0","N005","Y","1","Tier1","Immediate visual/catalog review","One-sided local partial visual","Visual evidence incomplete; inspect counterpart before verdict"
"705","706","0.953396","24","219","102","Unclassified","Unclassified","0.2703","0.3378","0.0135","0.0541","0.7095","0.5811","0.5","0.45","0","0","N014","Y","1","Tier1","Immediate visual/catalog review","Pending","Distributional candidate only"
"692","920","0.95317","10","77","153","InitialCandidate","Unclassified","0.7818","0.5798","0.0364","0.0252","0.1636","0.395","0.3571","0.4375","7","0","N008","Y","1","Tier1","Immediate visual/catalog review","One-sided local partial visual","Visual evidence incomplete; inspect counterpart before verdict"
"526","527","0.982841","5","13","63","Unclassified","TerminalCandidate","0","0.0426","1","0.8723","0","0.0851","0.3333","0.3333","0","0","N010","Y","2","Tier2","High-priority visual/catalog review","Pending","Distributional candidate only"
"090","565","0.953096","5","195","15","TerminalCandidate","Unclassified","0.0625","0.0833","0.7578","0.6667","0.1562","0.1667","0.1429","0.1875","0","0","N002","Y","2","Tier2","High-priority visual/catalog review","Pending","Distributional candidate only"
"400","565","0.950984","6","502","15","DominantCode;TerminalCandidate","Unclassified","0.0028","0.0833","0.9028","0.6667","0.0944","0.1667","0.1538","0.2308","1","1","N002","Y","2","Tier2","High-priority visual/catalog review","Pending","Distributional candidate only"
"167","868","0.967096","3","19","13","Unclassified","Unclassified","0","0","1","1","0","0","0.3333","0.5","0","0","N018","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"090","400","0.949789","10","195","502","TerminalCandidate","DominantCode;TerminalCandidate","0.0625","0.0028","0.7578","0.9028","0.1562","0.0944","0.4211","0.6111","19","17","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"435","436","0.949715","3","75","17","MedialCandidate","Unclassified","0.0185","0","0.0556","0.0667","0.9259","0.9333","0.3333","0.3333","0","0","N009","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"090","679","0.946794","3","195","19","TerminalCandidate","Unclassified","0.0625","0.25","0.7578","0.6875","0.1562","0","0.2143","0.1875","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"482","772","0.944688","5","41","10","MedialCandidate","Unclassified","0.0606","0","0.0303","0","0.9091","1","0.5","0.1667","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"151","740","0.94302","34","94","1928","TerminalCandidate","DominantCode","0.0139","0.0029","0.8472","0.674","0.125","0.3158","0.2143","0.3636","13","13","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"565","679","0.940234","3","15","19","Unclassified","Unclassified","0.0833","0.25","0.6667","0.6875","0.1667","0","0.6667","0.5","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"176","927","0.94012","9","217","11","Unclassified","Unclassified","0.4096","0.3333","0.006","0","0.5843","0.6667","0.3","0.3333","0","0","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"098","137","0.937473","3","10","16","Unclassified","Unclassified","0.5556","0.5833","0","0.25","0.2222","0.0833","0.5","0.6","0","0","N012","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"176","792","0.936572","4","217","13","Unclassified","Unclassified","0.4096","0.5556","0.006","0","0.5843","0.4444","0.2","0.2727","2","2","N001","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"151","161","0.928616","5","94","13","TerminalCandidate","Unclassified","0.0139","0","0.8472","1","0.125","0","0.4","0.2222","0","0","N002","Y","3","Tier3","Review after Tier1/Tier2","Pending","Distributional candidate only"
"820","861","0.924203","9","244","272","Unclassified","Unclassified","0.7353","0.6132","0.0824","0.1698","0.1529","0.217","0.5","0.5789","6","1","N005","Y","3","Tier3","Review after Tier1/Tier2","One-sided local partial visual","Visual evidence incomplete; inspect counterpart before verdict"
