"SignA","SignB","ReviewRank","ReviewTier","Id","Cisi","Site","Type","Complete","Direction","Text"
"692","920","1","Tier1","1068.1","H-7","Harappa","SEAL:S","Y","R/L","+920-440-692-001-542-250+"
"692","920","1","Tier1","2551.1","M-23","Mohenjo-daro","SEAL:S","Y","R/L","+842-871-192-368/740-482-060-692-520-220-235-001-920+"
"692","920","1","Tier1","2673.1","M-146","Mohenjo-daro","SEAL:S","Y","R/L","+740-255-920-060-692+"
"692","920","1","Tier1","2757.1","M-234","Mohenjo-daro","SEAL:S","Y","R/L","+842-535-099-004/740-482-060-692-520-220-235-001-920+"
"692","920","1","Tier1","894.1","H-2135","Harappa","TAB:I","Y","R/L","+740-920-318-700-692+"
"817","820","1","Tier1","1935.1","K-78","Kalibangan","TAB:B","Y","R/L","+740-817-390-002-820+"
"817","820","1","Tier1","2832.1","M-314","Mohenjo-daro","SEAL:S","Y","R/L","+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+"
"817","820","1","Tier1","3495.1","M-1126","Mohenjo-daro","SEAL:S","N","R/L","+820/000-000-031-002-817+"
"817","820","1","Tier1","5571.1","-","Dholavira","SEAL:R","Y","R/L","+031-820-104-013-817+"
"817","861","1","Tier1","3267.1","M-855","Mohenjo-daro","SEAL:S","Y","R/L","+861-260-832-390-590-002-817-690-544+"
"817","861","1","Tier1","771.2","H-1930","Harappa","TAB:B","Y","R/L","+408-817-920-002-861+"
"400","565","2","Tier2","1154.1","H-99","Harappa","SEAL:S","Y","L/R","+400-565+"
"033","034","3","Tier3","1059.1","-","Harappa","MISC","Y","SYM","+033-034+"
"033","034","3","Tier3","213.1","H-1369","Harappa","POT:T:g","N","-","+034-000-033+"
"033","034","3","Tier3","5308.1","K-183","Kalibangan","POT:T:g","Y","SYM","+034-033-033+"
"090","400","3","Tier3","237.1","H-1056","Harappa","SEAL:S","Y","R/L","+400-090-740-220-003+"
"090","400","3","Tier3","239.1","H-1339","Harappa","TAB:B","N","L/R","]400-090-000["
"090","400","3","Tier3","338.1","-","Harappa","POT:T:g","?","R/L","+740-066-090-400["
"090","400","3","Tier3","417.1","H-1957","Harappa","TAB:B","Y","R/L","+400-090+"
"090","400","3","Tier3","554.2","H-1906","Harappa","TAB:B","Y","R/L","+400-090-740-400-090+"
"151","400","3","Tier3","1319.1","H-297","Harappa","TAB:I","Y","R/L","+400-151-336-630-706+"
"151","400","3","Tier3","1828.1","H-948","Harappa","TAB:I","Y","R/L","+400-151-229+"
"151","400","3","Tier3","5428.1","-","Unknown","SEAL:S","Y","R/L","+151-400-142+"
"151","400","3","Tier3","627.2","H-1917","Harappa","TAB:B","Y","R/L","+400-151-097+"
"151","400","3","Tier3","869.2","H-1995","Harappa","TAB:B","Y","R/L","+400-151-142+"
"151","740","3","Tier3","506.2","H-1867","Harappa","TAB:B","Y","R/L","+151-740-221+"
"151","740","3","Tier3","508.2","H-1869","Harappa","TAB:B","Y","R/L","+151-740-222+"
"151","740","3","Tier3","509.2","H-1868","Harappa","TAB:B","Y","R/L","+151-740-222+"
"151","740","3","Tier3","70.1","C-70","Chanhu-daro","SEAL:S","Y","R/L","+032-031/151-740-240-235+"
"151","740","3","Tier3","77.1","C-51","Chanhu-daro","SEAL:S","Y","R/L","+151-740-100-240+"
"176","792","3","Tier3","824.1","H-1775","Harappa","TAB:B","Y","R/L","+740-100-415-176-792-102+"
"176","792","3","Tier3","928.2","H-1837","Harappa","TAB:B","N","R/L","]000-415-176-792-085+"
"820","861","3","Tier3","1881.1","K-6","Kalibangan","SEAL:S","Y","BUS","+622-740-717/368-861-820-551+"
"820","861","3","Tier3","2378.1","M-1701","Mohenjo-daro","SEAL:S","Y","R/L","+820-297-861+"
"820","861","3","Tier3","3650.1","M-1346","Mohenjo-daro","SEAL:R","Y","R/L","+740-861-032-233-803-002-820+"
"820","861","3","Tier3","4034.1","M-2087","Mohenjo-daro","ROD","N","R/L","+820-000-032-740-904-002-861+"
"820","861","3","Tier3","4195.1","-","Dholavira","SEAL:S","Y","R/L","+820-390-590-002-861+"
"820","880","3","Tier3","2535.1","M-6","Mohenjo-daro","SEAL:S","Y","R/L","+820-880-065-244+"
